date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-07-22,5232395,3113,0,2,249851128,148824,0,249999760,3872692484000,2306772000,0,3874996280000,15500.0,,15500.0,15500.0,249850936.0,1399-05-01
2020-07-25,21,0,6571,9,308772,0,308349,423,5023720440,0,5016838230,6882210,16270.0,16270.0,,16270.0,423.0,1399-05-04
2020-07-26,83,0,6591,14,3244979,0,310302,2934677,53022956860,0,5070334680,47952622180,16340.0,16340.0,,16340.0,2934677.0,1399-05-05
2020-07-27,74,1,7214,4,3149736,100000,338640,2911096,54017972400,1715000000,5807676000,49925296400,17150.0,17150.0,17150.0,17150.0,2811096.0,1399-05-06
2020-07-28,86,0,8047,16,3246570,0,372145,2874425,58438260000,0,6698610000,51739650000,18000.0,18000.0,,18000.0,2874425.0,1399-05-07
2020-07-29,30,0,13387,22,3253612,0,617683,2635929,61493266800,0,11674208700,49819058100,18900.0,18900.0,,18900.0,2635929.0,1399-05-08
2020-08-01,74,1,10294,21,3177174,100000,480774,2796400,63035132160,1984000000,9538556160,55480576000,19840.0,19840.0,19840.0,19840.0,2696400.0,1399-05-11
2020-08-02,95,2,10717,21,2542226,130000,501317,2170909,52954567580,2707900000,10442433110,45220034470,20830.0,20830.0,20830.0,20830.0,2040909.0,1399-05-12
2020-08-03,103,0,9504,8,2674410,0,439122,2235288,58489346700,0,9603598140,48885748560,21870.0,21870.0,,21870.0,2235288.0,1399-05-13
2020-08-04,85,1,10721,15,2556944,100000,488820,2168124,58707434240,2296000000,11223307200,49780127040,22960.0,22960.0,22960.0,22960.0,2068124.0,1399-05-14
2020-08-05,33,1,8868,9,1626617,100000,402803,1323814,39201469700,2410000000,9707552300,31903917400,24100.0,24100.0,24100.0,24100.0,1223814.0,1399-05-15
2020-08-11,6,0,6166,7,281950,0,281614,336,7014916000,0,7006556320,8359680,24880.0,24880.0,,24880.0,336.0,1399-05-21
2020-08-12,77,1,4372,12,2014643,99987,274150,1840480,50466807150,2504674350,6867457500,46104024000,25050.0,25050.0,25050.0,25050.0,1740493.0,1399-05-22
2020-08-15,58,0,5852,5,1647019,0,271357,1375662,43316599700,0,7136689100,36179910600,26300.0,26300.0,,26300.0,1375662.0,1399-05-25
2020-08-16,51,1,4754,4,1994861,25451,220216,1800096,54619294180,696848380,6029514080,49286628480,27380.0,27380.0,27380.0,27380.0,1774645.0,1399-05-26
2020-08-17,37,0,11192,20,2068785,0,517921,1550864,59456880900,0,14885049540,44571831360,28740.0,28740.0,,28740.0,1550864.0,1399-05-27
2020-08-18,65,0,20133,33,2033544,0,916056,1117488,61352022480,0,27637409520,33714612960,30170.0,30170.0,,30170.0,1117488.0,1399-05-28
2020-08-19,39,1,28428,14,2030615,33124,1361764,701975,64309577050,1049037080,43127065880,22231548250,31670.0,31670.0,31670.0,31670.0,668851.0,1399-05-29
2020-08-22,52,1,32632,19,2210650,100000,1711497,599153,73504112500,3325000000,56907275250,19921837250,33250.0,33250.0,33250.0,33250.0,499153.0,1399-06-01
2020-08-23,20950,4,25403,42,26155430,1754,18450583,7706601,830563530420,55408860,587163001410,243455937870,31754.91782853503,31823.547332352588,31590.0,31590.572532560072,7704847.0,1399-06-02
2020-08-24,7490,4,46533,29,10454492,1001370,9360159,2095703,315412023900,30211332900,282395997290,63227359510,30170.00002486969,30170.000027777307,30170.0,30170.0,1094333.0,1399-06-03
2020-08-25,1829,1,90657,118,18302852,500,10401570,7901782,579651243070,15835000,329417645490,250249432580,31669.99564166284,31669.99265399358,31670.0,31669.99957477946,7901282.0,1399-06-04
2020-08-26,7296,7,47482,46,20293732,174724,13756097,6712359,665584995390,5709481120,448124786000,223169690510,32797.565050627454,32576.44853769205,32677.14292255214,33247.57965269736,6537635.0,1399-06-05
2020-08-31,22831,11,156844,147,50790010,2349351,42154170,10985191,1706715865020,80176296170,1414887122170,372005039020,33603.37721965402,33564.58263014074,34126.99769851333,33864.23040072767,8635840.0,1399-06-10
2020-09-01,14126,17,144082,74,28802948,796594,23995877,5603665,965646655700,26610289150,803242356490,189014588360,33525.96601222902,33474.18210595095,33405.08358084545,33730.52963729987,4807071.0,1399-06-11
2020-09-02,3242,1,14500,16,4365543,168,4264991,100720,140037751360,5460000,136820034080,3223177280,32077.968619253093,32079.794325474544,32500.0,32001.36298649722,100552.0,1399-06-12
2020-09-05,5401,4,90071,40,14715740,1916885,16629854,2771,455432810880,58463916540,513811268460,85458960,30948.68561689728,30896.919988594007,30499.438693505348,30840.476362324072,-1914114.0,1399-06-15
2020-09-06,5103,1,31670,22,8225921,452,6823524,1402849,250575199840,13447000,209130903730,41457743110,30461.65892427121,30648.518819601133,29750.0,29552.53424281587,1402397.0,1399-06-16
2020-09-07,613,0,29,1,358874,0,358826,48,10385813560,0,10384424440,1389120,28940.0,28940.0,,28940.0,48.0,1399-06-17
