date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-04-23,3,0,0,1,11300,0,0,11300,113000000,0,0,113000000,10000.0,,,10000.0,11300.0,1395-02-04
2016-04-24,5,0,0,1,3010,0,0,3010,30100000,0,0,30100000,10000.0,,,10000.0,3010.0,1395-02-05
2016-04-25,1,0,0,1,1000,0,0,1000,10000000,0,0,10000000,10000.0,,,10000.0,1000.0,1395-02-06
2016-04-26,1,0,0,1,3000,0,0,3000,30000000,0,0,30000000,10000.0,,,10000.0,3000.0,1395-02-07
2016-05-01,2,1,0,1,4788,500000,0,504788,47880000,5000000000,0,5047880000,10000.0,,10000.0,10000.0,4788.0,1395-02-12
2016-05-02,4,9,0,1,6519,4500000,0,4506519,65190000,45000000000,0,45065190000,10000.0,,10000.0,10000.0,6519.0,1395-02-13
2016-06-01,3,1,0,1,6821,147070,0,153891,69885480,1492748590,0,1562634070,10245.635537311246,,10149.91901815462,10154.16151691782,6821.0,1395-03-12
2016-06-07,0,1,1,0,0,3000,3000,0,0,30207000,30207000,0,,10069.0,10069.0,,-3000.0,1395-03-18
2016-06-08,1,1,2,0,119,49,168,0,1199520,491519,1691039,0,10080.0,10065.708333333334,10031.0,,-49.0,1395-03-19
2016-06-11,1,0,1,0,2000,0,2000,0,19984000,0,19984000,0,9992.0,9992.0,,,0.0,1395-03-22
2016-06-12,1,1,2,1,100,47509,1500,46109,1008500,479114265,15113500,465009265,10085.0,10075.666666666666,10084.705318992192,10085.0,-1400.0,1395-03-23
2016-06-14,0,1,1,0,0,110,110,0,0,1103850,1103850,0,,10035.0,10035.0,,-110.0,1395-03-25
2016-06-18,0,1,2,0,0,550,550,0,0,5623750,5623750,0,,10225.0,10225.0,,-550.0,1395-03-29
2016-06-25,1,0,0,1,1000,0,0,1000,10420000,0,0,10420000,10420.0,,,10420.0,1000.0,1395-04-05
2016-06-28,1,0,1,0,500,0,500,0,5211000,0,5211000,0,10422.0,10422.0,,,0.0,1395-04-08
2016-07-02,0,1,0,1,0,50000,0,50000,0,522500000,0,522500000,,,10450.0,10450.0,0.0,1395-04-12
2016-07-03,0,1,1,0,0,1000,1000,0,0,10350000,10350000,0,,10350.0,10350.0,,-1000.0,1395-04-13
2016-07-09,0,1,0,1,0,50000,0,50000,0,522500000,0,522500000,,,10450.0,10450.0,0.0,1395-04-19
2016-07-17,0,1,2,1,0,50120,120,50000,0,526255780,1255780,525000000,,10464.833333333334,10499.91580207502,10500.0,-120.0,1395-04-27
2016-07-20,0,1,1,1,0,50020,20,50000,0,530211980,211980,530000000,,10599.0,10599.999600159936,10600.0,-20.0,1395-04-30
2016-07-23,0,1,1,0,0,50,50,0,0,534900,534900,0,,10698.0,10698.0,,-50.0,1395-05-02
2016-07-31,0,1,3,0,0,90,90,0,0,983800,983800,0,,10931.111111111111,10931.111111111111,,-90.0,1395-05-10
2016-08-02,1,0,3,1,30000,0,1610,28390,331371100,0,17713300,313657800,11045.703333333331,11002.049689440992,,11048.178936245156,28390.0,1395-05-12
2016-08-03,6,2,2,1,49640,450,90,50000,552989600,5012880,1002480,557000000,11140.0,11138.666666666666,11139.733333333334,11140.0,49550.0,1395-05-13
2016-08-07,1,0,5,1,11000,0,5560,5440,125926270,0,63638270,62288000,11447.842727272728,11445.73201438849,,11450.0,5440.0,1395-05-17
2016-08-15,1,0,0,1,5330,0,0,5330,59696000,0,0,59696000,11200.0,,,11200.0,5330.0,1395-05-25
