date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2012-07-01,36,7,207,16,1329857,26092134,18641991,8780000,1604212487,32758833983,23180726355,11182320115,1206.3045026645725,1243.4683803355554,1255.5061223815576,1273.6127693621868,-17312134.0,1391-04-11
2012-07-02,10,6,26,5,158912,8461238,1434000,7186150,200729280,10910217970,1881110000,9229837250,1263.147402335884,1311.792189679219,1289.4351831256845,1284.3925119848598,-1275088.0,1391-04-12
2012-07-07,2,1,6,1,1000,136000,131000,6000,1103000,183600000,176850000,7853000,1103.0,1350.0,1350.0,1308.8333333333333,-130000.0,1391-04-17
2012-07-08,4,1,18,1,50020,2005000,1025000,1030020,62052000,2649710000,1454110000,1257652000,1240.5437824870053,1418.6439024390245,1321.5511221945137,1220.9976505310576,-974980.0,1391-04-18
2012-07-09,5,1,4,2,86020,1429980,36020,1479980,110355600,1844674200,46505600,1908524200,1282.906300860265,1291.104941699056,1290.0,1289.5608048757415,50000.0,1391-04-19
2012-07-10,7,3,12,1,364710,668740,375730,657720,480408460,873996630,497315270,857089820,1317.2341312275507,1323.5974502967556,1306.9303914824895,1303.1226357720611,-11020.0,1391-04-20
2012-07-11,48,2,8,1,7128400,4678000,167000,11639400,9280389400,6107294600,218334000,15169350000,1301.88954042983,1307.3892215568862,1305.5353997434802,1303.275942058869,6961400.0,1391-04-21
2012-07-14,3,1,13,0,18100,466900,485000,0,24495000,629835000,654330000,0,1353.3149171270718,1349.1340206185566,1348.9719426001286,,-466900.0,1391-04-24
2012-07-15,11,1,20,2,2806400,2759381,971000,4594781,3741935150,3752232591,1352353420,6141814321,1333.3577358893956,1392.742966014418,1359.809533732384,1336.69359236055,1835400.0,1391-04-25
2012-07-16,6,1,13,0,300000,210000,510000,0,411500000,296730000,708230000,0,1371.6666666666667,1388.686274509804,1413.0,,-210000.0,1391-04-26
2012-07-17,3,0,7,0,183700,0,183700,0,267834600,0,267834600,0,1458.0,1458.0,,,0.0,1391-04-27
2012-07-18,16,1,11,0,582010,797990,1380000,0,890475260,1220474740,2110950000,0,1529.9999312726586,1529.6739130434785,1529.4361332848782,,-797990.0,1391-04-28
2012-07-22,5,1,7,1,85210,3002500,87710,3000000,125506780,4623800000,129306780,4620000000,1472.9113953761296,1474.253562877665,1539.9833472106577,1540.0,-2500.0,1391-05-01
2012-07-23,9,0,18,0,356998,0,356998,0,523581000,0,523581000,0,1466.6216617460043,1466.6216617460043,,,0.0,1391-05-02
2012-07-24,6,0,7,0,297100,0,297100,0,414157400,0,414157400,0,1394.0,1394.0,,,0.0,1391-05-03
2012-07-25,7,0,7,0,225000,0,225000,0,308608000,0,308608000,0,1371.591111111111,1371.591111111111,,,0.0,1391-05-04
2012-07-28,1,0,3,0,11800,0,11800,0,16740000,0,16740000,0,1418.6440677966102,1418.6440677966102,,,0.0,1391-05-07
2012-07-29,3,0,2,0,20000,0,20000,0,27480000,0,27480000,0,1374.0,1374.0,,,0.0,1391-05-08
2012-07-30,2,0,2,0,4100,0,4100,0,5735900,0,5735900,0,1399.0,1399.0,,,0.0,1391-05-09
2012-07-31,3,0,3,0,21000,0,21000,0,28031000,0,28031000,0,1334.809523809524,1334.809523809524,,,0.0,1391-05-10
2012-08-01,1,0,1,0,1000,0,1000,0,1387000,0,1387000,0,1387.0,1387.0,,,0.0,1391-05-11
2012-08-05,2,1,3,0,40000,10000,50000,0,52720000,13180000,65900000,0,1318.0,1318.0,1318.0,,-10000.0,1391-05-15
2012-08-06,4,1,4,0,41000,10000,51000,0,51373000,12530000,63903000,0,1253.0,1253.0,1253.0,,-10000.0,1391-05-16
2012-08-07,2,0,8,0,102200,0,102200,0,127422600,0,127422600,0,1246.7964774951076,1246.7964774951076,,,0.0,1391-05-17
2012-08-11,1,0,4,0,146900,0,146900,0,190965000,0,190965000,0,1299.9659632402995,1299.9659632402995,,,0.0,1391-05-21
2012-08-12,1,0,10,0,1559291,0,1559291,0,2126316265,0,2126316265,0,1363.643005058068,1363.643005058068,,,0.0,1391-05-22
2012-08-14,1,0,1,0,100000,0,100000,0,137000000,0,137000000,0,1370.0,1370.0,,,0.0,1391-05-24
2012-08-21,0,1,0,3,0,8384000,0,8384000,0,11459142000,0,11459142000,,,1366.7869751908397,1366.7869751908397,0.0,1391-05-31
2012-08-22,1,3,10,5,162138,12289800,419800,12032138,220383604,16782108000,572038200,16430453404,1359.2347506445126,1362.644592663173,1365.531416296441,1365.5472871072457,-257662.0,1391-06-01
2012-08-25,1,0,4,0,125001,0,125001,0,171726370,0,171726370,0,1373.7999696002432,1373.7999696002432,,,0.0,1391-06-04
2012-08-27,3,2,6,1,105000,3719055,824055,3000000,146773900,5189891175,1142665075,4194000000,1397.8466666666666,1386.6369053036508,1395.4865348858782,1398.0,-719055.0,1391-06-06
2012-09-02,2,0,3,0,45000,0,45000,0,62460000,0,62460000,0,1388.0,1388.0,,,0.0,1391-06-12
2012-09-04,0,1,10,0,0,315000,315000,0,0,439613500,439613500,0,,1395.5984126984126,1395.5984126984126,,-315000.0,1391-06-14
2012-09-05,0,1,4,0,0,170000,170000,0,0,239530000,239530000,0,,1409.0,1409.0,,-170000.0,1391-06-15
2012-09-08,1,0,1,0,100,0,100,0,142000,0,142000,0,1420.0,1420.0,,,0.0,1391-06-18
2012-09-15,1,0,9,0,182400,0,182400,0,259655500,0,259655500,0,1423.5498903508771,1423.5498903508771,,,0.0,1391-06-25
2012-09-17,0,1,1,0,0,300000,300000,0,0,446400000,446400000,0,,1488.0,1488.0,,-300000.0,1391-06-27
2012-09-18,0,1,3,1,0,690000,390000,300000,0,982500000,558300000,424200000,,1431.5384615384614,1423.9130434782608,1414.0,-390000.0,1391-06-28
2012-09-25,1,0,6,0,280000,0,280000,0,417100000,0,417100000,0,1489.642857142857,1489.642857142857,,,0.0,1391-07-04
2012-09-26,0,1,1,0,0,10000,10000,0,0,14900000,14900000,0,,1490.0,1490.0,,-10000.0,1391-07-05
2012-09-29,1,0,4,0,80000,0,80000,0,119460050,0,119460050,0,1493.250625,1493.250625,,,0.0,1391-07-08
2012-09-30,2,1,6,0,16500,195000,211500,0,24750000,300075000,324825000,0,1500.0,1535.8156028368794,1538.8461538461538,,-195000.0,1391-07-09
2012-10-01,0,1,1,0,0,20000,20000,0,0,29980000,29980000,0,,1499.0,1499.0,,-20000.0,1391-07-10
2012-10-03,0,1,7,0,0,588495,588495,0,0,915984500,915984500,0,,1556.4864612273682,1556.4864612273682,,-588495.0,1391-07-12
2012-10-06,0,1,3,1,0,376000,176000,200000,0,598010000,286810000,311200000,,1629.6022727272727,1590.4521276595744,1556.0,-176000.0,1391-07-15
2012-10-07,0,2,0,1,0,11000000,0,11000000,0,17490000000,0,17490000000,,,1590.0,1590.0,0.0,1391-07-16
2012-10-08,1,1,6,1,100000,6000000,100000,6000000,164645000,9876000000,164645000,9876000000,1646.45,1646.45,1646.0,1646.0,0.0,1391-07-17
2012-10-09,1,2,2,1,5000,5000090,5090,5000000,8345000,8350154080,8499080,8350000000,1669.0,1669.7603143418469,1670.0007559863925,1670.0,-90.0,1391-07-18
2012-10-10,1,3,8,1,500,3361400,361900,3000000,876500,5603105000,592554500,5011427000,1753.0,1637.3431887261677,1666.8962337121438,1670.4756666666667,-361400.0,1391-07-19
2012-10-13,0,2,2,1,0,1010000,11000,999000,0,1767500000,19250000,1748250000,,1750.0,1750.0,1750.0,-11000.0,1391-07-22
2012-10-14,0,2,12,1,0,1775000,750000,1025000,0,3131705000,1308205000,1823500000,,1744.2733333333333,1764.3408450704226,1779.0243902439024,-750000.0,1391-07-23
2012-10-15,0,1,5,0,0,248500,248500,0,0,459780000,459780000,0,,1850.221327967807,1850.221327967807,,-248500.0,1391-07-24
2012-10-16,1,1,9,1,10000,916000,326000,600000,18500000,1694468500,602968500,1110000000,1850.0,1849.596625766871,1849.8564410480349,1850.0,-316000.0,1391-07-25
2012-10-17,0,1,5,1,0,268502,248502,20000,0,504553560,466553560,38000000,,1877.4640043138488,1879.1426507065123,1900.0,-248502.0,1391-07-26
2012-10-20,0,1,4,1,0,817900,217900,600000,0,1578547000,420547000,1158000000,,1930.0,1930.0,1930.0,-217900.0,1391-07-29
2012-10-21,0,2,3,0,0,6000,6000,0,0,11720000,11720000,0,,1953.3333333333333,1953.3333333333333,,-6000.0,1391-07-30
2012-10-23,0,2,1,1,0,1010000,10000,1000000,0,1997780000,19780000,1978000000,,1978.0,1978.0,1978.0,-10000.0,1391-08-02
2012-10-24,0,1,2,1,0,603860,3860,600000,0,1193742000,7542000,1186200000,,1953.8860103626944,1976.852250521644,1977.0,-3860.0,1391-08-03
2012-10-28,1,0,0,1,20000,0,0,20000,38400000,0,0,38400000,1920.0,,,1920.0,20000.0,1391-08-07
2012-10-29,0,1,2,0,0,90000,90000,0,0,171000000,171000000,0,,1900.0,1900.0,,-90000.0,1391-08-08
2012-11-04,0,1,1,0,0,10000,10000,0,0,18050000,18050000,0,,1805.0,1805.0,,-10000.0,1391-08-14
2012-11-05,1,1,3,1,1654,4018230,69884,3950000,2985470,7425601066,128986536,7299600000,1805.0,1845.723427393967,1847.978106280626,1848.0,-68230.0,1391-08-15
2012-11-07,0,2,1,1,0,1582250,90000,1492250,0,2846959500,162401750,2684557750,,1804.463888888889,1799.3107915942487,1799.0,-90000.0,1391-08-17
2012-11-11,0,1,0,1,0,2000000,0,2000000,0,3670000000,0,3670000000,,,1835.0,1835.0,0.0,1391-08-21
2012-11-12,0,1,3,0,0,31654,31654,0,0,55330280,55330280,0,,1747.97118847539,1747.97118847539,,-31654.0,1391-08-22
2012-11-13,0,2,2,2,0,157350,130000,27350,0,265577970,216345000,49232970,,1664.1923076923076,1687.8167778836987,1800.108592321755,-130000.0,1391-08-23
2012-11-14,0,1,1,0,0,6606,6606,0,0,11705832,11705832,0,,1772.0,1772.0,,-6606.0,1391-08-24
2012-11-18,1,1,1,1,3000,10000,3000,10000,5547000,16840000,5547000,16840000,1849.0,1849.0,1684.0,1684.0,0.0,1391-08-28
2012-11-19,1,0,0,1,10000,0,0,10000,16360000,0,0,16360000,1636.0,,,1636.0,10000.0,1391-08-29
2012-11-21,0,1,0,1,0,8480,0,8480,0,13568000,0,13568000,,,1600.0,1600.0,0.0,1391-09-01
2012-11-26,1,1,0,1,10000,35800,0,45800,15884000,55051000,0,70935000,1588.4,,1537.7374301675975,1548.7991266375543,10000.0,1391-09-06
2012-11-27,0,1,0,1,0,29500000,0,29500000,0,45695500000,0,45695500000,,,1549.0,1549.0,0.0,1391-09-07
2012-11-28,0,2,1,1,0,20410000,10000,20400000,0,31614320000,14720000,31599600000,,1472.0,1548.9622733953945,1549.0,-10000.0,1391-09-08
2012-12-02,0,1,1,0,0,800,800,0,0,1280000,1280000,0,,1600.0,1600.0,,-800.0,1391-09-12
2012-12-03,1,0,1,0,2000,0,2000,0,3360000,0,3360000,0,1680.0,1680.0,,,0.0,1391-09-13
2012-12-04,1,0,1,0,3000,0,3000,0,5046000,0,5046000,0,1682.0,1682.0,,,0.0,1391-09-14
2012-12-05,1,3,1,2,10000,835000,5000,840000,17660000,1386100000,8830000,1394930000,1766.0,1766.0,1660.0,1660.6309523809523,5000.0,1391-09-15
2012-12-09,1,1,1,3,2000,200012,2000,200012,3488000,348820928,3488000,348820928,1744.0,1744.0,1744.0,1744.0,0.0,1391-09-19
2012-12-10,1,1,1,1,10000,5810000,20000,5800000,18310000,10458310000,36620000,10440000000,1831.0,1831.0,1800.053356282272,1800.0,-10000.0,1391-09-20
2012-12-11,0,1,1,1,0,4337800,37800,4300000,0,8024930000,69930000,7955000000,,1850.0,1850.0,1850.0,-37800.0,1391-09-21
2012-12-12,1,0,1,0,10000,0,10000,0,19420000,0,19420000,0,1942.0,1942.0,,,0.0,1391-09-22
2012-12-15,2,0,2,1,102556,0,54750,47806,207015434,0,109539000,97476434,2018.5599477358712,2000.7123287671236,,2039.0,47806.0,1391-09-25
2012-12-16,0,1,2,1,0,5405000,25000,5380000,0,10912695000,50475000,10862220000,,2019.0,2019.0,2019.0,-25000.0,1391-09-26
2012-12-17,1,0,1,0,20000,0,20000,0,40200000,0,40200000,0,2010.0,2010.0,,,0.0,1391-09-27
2012-12-18,1,1,9,1,11000,5670000,181000,5500000,21450000,11590427250,369877250,11242000000,1950.0,2043.520718232044,2044.167063492064,2044.0,-170000.0,1391-09-28
2012-12-19,1,1,4,1,64000,6000000,64000,6000000,129804000,12246000000,129804000,12246000000,2028.1875,2028.1875,2041.0,2041.0,0.0,1391-09-29
2012-12-22,1,2,3,0,22620,97380,120000,0,44109000,192871000,236980000,0,1950.0,1974.8333333333333,1980.6017662764427,,-97380.0,1391-10-02
2012-12-23,0,1,7,1,0,538500,518500,20000,0,1095571000,1054171000,41400000,,2033.1166827386687,2034.486536675952,2070.0,-518500.0,1391-10-03
2012-12-24,1,0,1,0,5000,0,5000,0,10675000,0,10675000,0,2135.0,2135.0,,,0.0,1391-10-04
2012-12-25,0,1,2,3,0,9194000,614000,8580000,0,19629190000,1310890000,18318300000,,2135.0,2135.0,2135.0,-614000.0,1391-10-05
2012-12-26,0,1,1,0,0,5000000,5000000,0,0,10675000000,10675000000,0,,2135.0,2135.0,,-5000000.0,1391-10-06
2012-12-30,0,1,1,2,0,5372000,2322000,3050000,0,11469220000,4957470000,6511750000,,2135.0,2135.0,2135.0,-2322000.0,1391-10-10
2012-12-31,0,2,3,2,0,665000,130000,535000,0,1419775000,277550000,1142225000,,2135.0,2135.0,2135.0,-130000.0,1391-10-11
2013-01-07,0,2,2,1,0,4305000,15000,4290000,0,9191175000,32025000,9159150000,,2135.0,2135.0,2135.0,-15000.0,1391-10-18
2013-01-09,0,2,0,1,0,3000000,0,3000000,0,6405000000,0,6405000000,,,2135.0,2135.0,0.0,1391-10-20
2013-01-13,1,1,1,1,4000,3000000,4000,3000000,8560000,6405000000,8560000,6405000000,2140.0,2140.0,2135.0,2135.0,0.0,1391-10-24
