date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2017-09-05,1,2,0,1,1000,33000,0,34000,100000000,3300000000,0,3400000000,100000.0,,100000.0,100000.0,1000.0,1396-06-14
2017-09-06,0,2,0,1,0,20000,0,20000,0,2000000000,0,2000000000,,,100000.0,100000.0,0.0,1396-06-15
2017-09-11,1,3,0,1,1000,3000,0,4000,100000000,300000000,0,400000000,100000.0,,100000.0,100000.0,1000.0,1396-06-20
2017-09-16,1,3,0,1,1000,106000,0,107000,100000000,10600000000,0,10700000000,100000.0,,100000.0,100000.0,1000.0,1396-06-25
2017-09-17,0,4,0,1,0,27000,0,27000,0,2700000000,0,2700000000,,,100000.0,100000.0,0.0,1396-06-26
2017-09-18,1,3,0,1,1000,60000,0,61000,100000000,6000000000,0,6100000000,100000.0,,100000.0,100000.0,1000.0,1396-06-27
2017-09-20,0,1,0,1,0,1000,0,1000,0,100000000,0,100000000,,,100000.0,100000.0,0.0,1396-06-29
2017-09-25,0,1,0,1,0,50000,0,50000,0,5000000000,0,5000000000,,,100000.0,100000.0,0.0,1396-07-03
2017-09-26,1,4,0,1,2000,114000,0,116000,200000000,11400000000,0,11600000000,100000.0,,100000.0,100000.0,2000.0,1396-07-04
2021-04-11,0,1,0,1,0,1000,0,1000,0,1100000000,0,1100000000,,,1100000.0,1100000.0,0.0,1400-01-22
2021-04-12,0,1,0,1,0,1000,0,1000,0,1210000000,0,1210000000,,,1210000.0,1210000.0,0.0,1400-01-23
2021-04-13,0,1,0,1,0,1000,0,1000,0,1331000000,0,1331000000,,,1331000.0,1331000.0,0.0,1400-01-24
2021-04-14,0,1,0,1,0,0,0,0,0,0,0,0,,,,,0.0,1400-01-25
2021-04-19,0,1,0,1,0,0,0,0,0,0,0,0,,,,,0.0,1400-01-30
