date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-12-28,77,0,35,1,571575,0,121575,450000,6127333027,0,1310078963,4817254064,10720.085775270089,10775.891120707382,,10705.00903111111,450000.0,1392-10-07
2014-02-15,7,1,17,0,15452,29524,44976,0,126409930,236544850,362954780,0,8180.813486927259,8069.965759516186,8011.95129386262,,-29524.0,1392-11-26
2014-03-15,16,1,13,1,20057,5000,21645,3412,167054591,41750000,180143791,28660800,8328.991923019395,8322.651466851466,8350.0,8400.0,-1588.0,1392-12-24
2014-03-16,6,0,7,0,19741,0,19741,0,165653518,0,165653518,0,8391.343802238995,8391.343802238995,,,0.0,1392-12-25
2014-05-05,0,1,9,0,0,14559,14559,0,0,122499140,122499140,0,,8413.980355793667,8413.980355793667,,-14559.0,1393-02-15
2014-06-10,2,1,10,0,650,116340,116990,0,5001500,887794580,892796080,0,7694.615384615385,7631.387981878793,7631.034725803679,,-116340.0,1393-03-20
2014-06-11,3,1,10,0,5322,41702,47024,0,40459700,317604760,358064460,0,7602.348741074784,7614.504508336168,7616.055824660688,,-41702.0,1393-03-21
2014-09-01,3,1,5,0,2600,31550,34150,0,18486000,224307000,242793000,0,7110.0,7109.604685212299,7109.572107765452,,-31550.0,1393-06-10
2014-09-02,2,0,3,0,1300,0,1300,0,9477600,0,9477600,0,7290.461538461538,7290.461538461538,,,0.0,1393-06-11
2014-09-03,0,1,3,0,0,3000,3000,0,0,21443500,21443500,0,,7147.833333333333,7147.833333333333,,-3000.0,1393-06-12
2014-09-06,6,1,5,0,4394,7695,12089,0,30975639,54387900,85363539,0,7049.530951297224,7061.257258664902,7067.953216374269,,-7695.0,1393-06-15
2014-09-07,2,1,5,0,1600,18500,20100,0,11205600,128625700,139831300,0,7003.5,6956.781094527363,6952.740540540541,,-18500.0,1393-06-16
2014-09-08,0,1,3,0,0,12500,12500,0,0,87429000,87429000,0,,6994.32,6994.32,,-12500.0,1393-06-17
