date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2010-04-13,47,1,33,3,990503,320900,737403,574000,2589304569,840554300,1930487753,1499371116,2614.1309708299723,2617.954840162028,2619.3652228108444,2612.1448013937284,253100.0,1389-01-24
2010-04-14,11,0,6,1,56317,0,32317,24000,142167688,0,81591688,60576000,2524.4187012802527,2524.729646935049,,2524.0,24000.0,1389-01-25
2010-04-17,1,0,1,0,389,0,389,0,976390,0,976390,0,2510.0,2510.0,,,0.0,1389-01-28
2010-04-18,25,2,67,1,734893,76791,791684,20000,1853049193,203863928,2006713121,50200000,2521.5224434033253,2534.740023797374,2654.7893372921308,2510.0,-56791.0,1389-01-29
2010-04-19,10,1,9,2,1941336,100000,41336,2000000,5090182992,262200000,108382992,5244000000,2622.0,2622.0,2622.0,2622.0,1900000.0,1389-01-30
2010-04-20,66,2,4,3,2134392,75052,182653,2026791,5790605496,203616076,495537589,5498683983,2713.0,2713.0,2713.0,2713.0,1951739.0,1389-01-31
2010-04-21,66,4,75,7,19989443,620313,1914793,18694963,56099866006,1741218591,5365823456,52475261141,2806.474697969323,2802.2994945145506,2807.0,2806.919764484156,18074650.0,1389-02-01
2010-04-24,47,3,37,1,419982,147131,517113,50000,1185716613,409338403,1457781399,137273617,2823.2557895338373,2819.0770663278627,2782.1356682140404,2745.47234,-97131.0,1389-02-04
2010-04-25,12,2,25,0,264888,32869,297757,0,719471490,90507854,809979344,0,2716.1347059889463,2720.2696964303104,2753.593172898476,,-32869.0,1389-02-05
2010-04-26,12,2,23,1,86854,410000,196854,300000,235857525,1099133364,539990889,795000000,2715.56318649688,2743.103462464568,2680.8130829268293,2650.0,-110000.0,1389-02-06
2010-04-27,15,1,14,0,48820,40000,88820,0,133312101,109000000,242312101,0,2730.6862146661206,2728.125433460932,2725.0,,-40000.0,1389-02-07
2010-04-28,9,2,15,0,59062,51733,110795,0,156846190,137759502,294605692,0,2655.619349158512,2659.0161288866825,2662.894129472484,,-51733.0,1389-02-08
2010-05-01,10,1,20,0,32050,150000,182050,0,87323090,411852283,499175373,0,2724.589391575663,2741.968541609448,2745.6818866666667,,-150000.0,1389-02-11
2010-05-02,21,2,29,1,211809,50448,162257,100000,580008429,132376448,450110545,262274332,2738.3559197201253,2774.059331800785,2624.0177608626705,2622.74332,49552.0,1389-02-12
2010-05-03,6,1,37,6,3288869,84812,481869,2891812,9215354782,228900584,1319606954,8124648412,2801.9829254372858,2738.518049511382,2698.9174173466017,2809.5354787932274,2807000.0,1389-02-13
2010-05-04,5,2,33,4,2523484,284575,408059,2400000,7306857301,824129200,1180886501,6950100000,2895.543344439672,2893.91117706018,2896.0,2895.875,2115425.0,1389-02-14
2010-05-05,10,0,63,5,3256669,0,1084669,2172000,9747125804,0,3237641804,6509484000,2992.974049250937,2984.912267244662,,2997.0,2172000.0,1389-02-15
2010-05-08,30,2,27,1,200062,130112,280174,50000,585512891,376441441,817226111,144728221,2926.657191270706,2916.8520669298364,2893.2107799434334,2894.56442,-80112.0,1389-02-18
2010-05-09,24,3,26,1,257306,259000,266306,250000,727881276,731975000,753797146,706059130,2828.8546555463145,2830.567640233416,2826.158301158301,2824.23652,-9000.0,1389-02-19
2010-05-10,19,0,22,1,434962,0,134962,300000,1205276666,0,381118574,824158092,2770.993020079915,2823.8954224151985,,2747.19364,300000.0,1389-02-20
2010-05-11,9,2,8,2,70370,106911,67281,110000,194613350,290055250,186118600,298550000,2765.5726872246696,2766.287659220285,2713.0533808494915,2714.090909090909,3089.0,1389-02-21
2010-05-12,6,0,21,3,2515902,0,265902,2250000,7140428598,0,757378598,6383050000,2838.118733559574,2848.3373498506967,,2836.911111111111,2250000.0,1389-02-22
2010-05-15,1,1,27,4,1454105,1000000,184104,2270001,4269544615,2937000000,539551678,6666992937,2936.2010411902857,2930.689599356885,2937.0,2937.0,1270001.0,1389-02-25
2010-05-16,3,0,38,4,2506198,0,396198,2110000,7613908775,0,1201618775,6412290000,3038.0316220027307,3032.874408755218,,3039.0,2110000.0,1389-02-26
2010-05-18,23,0,20,2,623491,0,72581,550910,1849530356,0,219047636,1630482720,2966.4106715253306,3017.9748970116148,,2959.6172151531105,550910.0,1389-02-28
2010-05-19,13,2,8,0,370695,200538,571233,0,1068495573,574141736,1642637309,0,2882.411613320924,2875.5994646667823,2863.0071906571325,,-200538.0,1389-02-29
2010-05-22,18,2,13,0,219371,140437,359808,0,612893249,391015806,1003909055,0,2793.866322348897,2790.124330198328,2784.2791144783782,,-140437.0,1389-03-01
2010-05-23,1,0,5,2,2052711,0,52711,2000000,5928229368,0,152229368,5776000000,2888.0,2888.0,,2888.0,2000000.0,1389-03-02
2010-05-24,2,1,15,3,1514997,700000,113660,2101337,4528326033,2092057643,339487383,6280896293,2989.0,2986.867701918001,2988.653775714285,2989.0,1401337.0,1389-03-03
2010-05-25,6,0,44,1,1358114,0,608114,750000,4200279764,0,1880529764,2319750000,3092.7298915996744,3092.3967611336034,,3093.0,750000.0,1389-03-04
2010-05-26,23,2,55,2,855192,11362,416554,450000,2630054038,35268312,1296407454,1368914896,3075.395978914677,3112.219433734882,3104.05844041542,3042.033102222222,438638.0,1389-03-05
2010-05-29,8,2,17,0,171448,259796,431244,0,513860480,778135465,1291995945,0,2997.179786290887,2995.97430920778,2995.1787748849097,,-259796.0,1389-03-08
2010-05-30,5,2,6,0,40338,23000,63338,0,119532030,67264500,186796530,0,2963.2611929198274,2949.201585146357,2924.543478260869,,-23000.0,1389-03-09
2010-05-31,5,2,14,0,16926,85420,102346,0,51231500,253340612,304572112,0,3026.793099373745,2975.90635686788,2965.823132755795,,-85420.0,1389-03-10
2010-06-01,3,0,2,0,9207,0,9207,0,28297818,0,28297818,0,3073.5112414467253,3073.5112414467253,,,0.0,1389-03-11
2010-06-02,2,1,17,0,11553,77045,88598,0,34659000,236909370,271568370,0,3000.0,3065.1749475157453,3074.948017392433,,-77045.0,1389-03-12
2010-06-06,1,1,11,0,60000,49035,109035,0,186659972,152547885,339207857,0,3110.999533333333,3110.9997432017244,3111.0,,-49035.0,1389-03-16
2010-06-07,4,0,8,0,23293,0,23293,0,71044041,0,71044041,0,3050.016786158932,3050.016786158932,,,0.0,1389-03-17
2010-06-08,3,0,2,0,14010,0,14010,0,43571100,0,43571100,0,3110.0,3110.0,,,0.0,1389-03-18
2010-06-09,3,1,10,0,80839,20000,100839,0,246770735,61100000,307870735,0,3052.6198369598837,3053.09190888446,3055.0,,-20000.0,1389-03-19
2010-06-12,3,1,6,1,53900,4227,8127,50000,164794328,13103700,25148028,152750000,3057.408682745825,3094.380214101144,3100.0,3055.0,45773.0,1389-03-22
2010-06-13,3,2,13,0,20702,113042,133744,0,61327904,344391458,405719362,0,2962.414452709883,3033.551875224309,3046.5796606571007,,-113042.0,1389-03-23
2010-06-14,2,1,10,0,5688,117461,123149,0,17303896,369199261,386503157,0,3042.1758087201124,3138.500166465014,3143.164633367671,,-117461.0,1389-03-24
2010-06-15,1,1,3,0,1718,10000,11718,0,5455764,31500000,36955764,0,3175.648428405122,3153.7603686635944,3150.0,,-10000.0,1389-03-25
2010-06-16,11,0,4,1,75896,0,71166,4730,241728760,0,226663710,15065050,3185.0,3185.0,,3185.0,4730.0,1389-03-26
2010-06-19,2,1,9,0,10000,43256,53256,0,32080000,138765248,170845248,0,3208.0,3208.0,3208.0,,-43256.0,1389-03-29
2010-06-20,1,0,4,0,31932,0,31932,0,102980700,0,102980700,0,3225.0,3225.0,,,0.0,1389-03-30
2010-06-21,6,0,6,0,30322,0,30322,0,98091670,0,98091670,0,3235.0,3235.0,,,0.0,1389-03-31
2010-06-22,1,0,5,0,13774,0,13774,0,44682856,0,44682856,0,3244.0,3244.0,,,0.0,1389-04-01
2010-06-23,31,1,5,0,570687,60000,630687,0,1853178916,194880000,2048058916,0,3247.27725706035,3247.3460147426536,3248.0,,-60000.0,1389-04-02
2010-06-27,3,1,10,0,7217,15000,22217,0,23072380,48411560,71483940,0,3196.9488707219066,3217.533420353783,3227.4373333333333,,-15000.0,1389-04-06
2010-06-28,4,1,8,0,11225,22000,33225,0,35484250,71102850,106587100,0,3161.1804008908684,3208.0391271632807,3231.947727272727,,-22000.0,1389-04-07
2010-06-29,3,2,6,0,31915,22299,54214,0,99549055,69477633,169026688,0,3119.1933260222468,3117.768251743092,3115.7286425400243,,-22299.0,1389-04-08
2010-06-30,6,2,5,0,11131,3701,14832,0,34500550,11631100,46131650,0,3099.501392507412,3110.278451995685,3142.691164550122,,-3701.0,1389-04-09
2010-07-03,5,1,5,0,28028,1000,29028,0,87187120,3101000,90288120,0,3110.714999286428,3110.380322447292,3101.0,,-1000.0,1389-04-12
2010-07-04,2,2,15,0,33711,52000,85711,0,107742616,166552900,274295516,0,3196.0670404319067,3200.237029086115,3202.9403846153846,,-52000.0,1389-04-13
2010-07-05,1,1,13,1,48646,50000,93646,5000,162234410,165874975,311434385,16675000,3335.0,3325.656034427525,3317.4995,3335.0,-45000.0,1389-04-14
2010-07-06,0,1,9,0,0,58364,58364,0,0,196569952,196569952,0,,3368.0,3368.0,,-58364.0,1389-04-15
2010-07-07,0,1,7,0,0,89069,89069,0,0,301943910,301943910,0,,3390.0,3390.0,,-89069.0,1389-04-16
2010-07-12,14,5,8,0,13665,60736,74401,0,47034191,207961028,254995219,0,3441.945920234175,3427.309028104461,3424.0158719704955,,-60736.0,1389-04-21
2010-07-19,2,2,6,0,56190,45000,101190,0,191228080,149500000,340728080,0,3403.240434240968,3367.2109892281846,3322.222222222222,,-45000.0,1389-04-28
2010-07-20,1,0,3,0,43604,0,43604,0,152657604,0,152657604,0,3501.0,3501.0,,,0.0,1389-04-29
2010-07-21,1,0,4,0,28235,0,28235,0,99330730,0,99330730,0,3518.0,3518.0,,,0.0,1389-04-30
2010-07-24,0,2,4,0,0,26539,26539,0,0,93629592,93629592,0,,3528.0,3528.0,,-26539.0,1389-05-02
2010-07-25,1,0,4,0,32817,0,32817,0,116139363,0,116139363,0,3539.0,3539.0,,,0.0,1389-05-03
2010-07-28,1,1,3,0,4967,14830,19797,0,17637817,52661330,70299147,0,3551.0,3551.0,3551.0,,-14830.0,1389-05-06
2010-07-31,1,0,1,1,314,0,214,100,1117212,0,761412,355800,3558.0,3558.0,,3558.0,100.0,1389-05-09
2010-08-01,3,0,3,0,23000,0,23000,0,81834000,0,81834000,0,3558.0,3558.0,,,0.0,1389-05-10
2010-08-03,1,0,0,1,10000,0,0,10000,35680000,0,0,35680000,3568.0,,,3568.0,10000.0,1389-05-12
2010-08-07,1,0,1,0,485,0,485,0,1732420,0,1732420,0,3572.0,3572.0,,,0.0,1389-05-16
2010-08-08,0,1,1,0,0,200,200,0,0,742800,742800,0,,3714.0,3714.0,,-200.0,1389-05-17
2010-08-09,3,0,2,0,7163,0,7163,0,27663506,0,27663506,0,3862.0,3862.0,,,0.0,1389-05-18
2010-08-10,1,0,1,0,200,0,200,0,803200,0,803200,0,4016.0,4016.0,,,0.0,1389-05-19
2010-08-11,1,0,2,0,18236,0,18236,0,76153536,0,76153536,0,4176.0,4176.0,,,0.0,1389-05-20
2010-08-14,47,5,28,2,736275,273229,756884,252620,3197642047,1186573957,3287087622,1097128382,4342.999622423687,4342.921269309431,4342.781904556251,4342.998899532895,-20609.0,1389-05-23
