date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-07-11,684,1,0,1,4784976,2000000,0,6784976,47849760000,20000000000,0,67849760000,10000.0,,10000.0,10000.0,4784976.0,1399-04-21
2020-07-12,2497,5,0,1,13539266,660500,0,14199766,135392660000,6605000000,0,141997660000,10000.0,,10000.0,10000.0,13539266.0,1399-04-22
2020-07-13,1621,3,0,1,7660865,364502,0,8025367,76608650000,3645020000,0,80253670000,10000.0,,10000.0,10000.0,7660865.0,1399-04-23
2020-07-14,2088,2,0,1,11563177,4000000,0,15563177,115631770000,40000000000,0,155631770000,10000.0,,10000.0,10000.0,11563177.0,1399-04-24
2020-07-15,2565,2,0,1,14976565,5200000,0,20176565,149765650000,52000000000,0,201765650000,10000.0,,10000.0,10000.0,14976565.0,1399-04-25
2020-08-16,199,1,190,0,1399084,396008,1795092,0,13750161831,3783856440,17534018271,0,9827.97446829497,9767.754672741006,9555.0,,-396008.0,1399-05-26
2020-08-17,293,4,679,0,3236730,641563,3878293,0,29312956939,5824040034,35136996973,0,9056.349136010727,9059.912949588905,9077.892637200088,,-641563.0,1399-05-27
2020-08-18,509,5,371,0,2786789,187131,2973920,0,27260302593,1819747640,29080050233,0,9781.975812664685,9778.356590964117,9724.45848095719,,-187131.0,1399-05-28
2020-08-19,187,1,248,0,1356058,300000,1656058,0,12498123852,2790000000,15288123852,0,9216.51127901609,9231.635517596604,9300.0,,-300000.0,1399-05-29
2020-08-22,171,13,278,0,1286509,306801,1593310,0,12195497992,2934051920,15129549912,0,9479.527925572227,9495.672475538344,9563.371436207835,,-306801.0,1399-06-01
2020-08-23,110,2,217,0,1253682,249921,1503603,0,11393141889,2264392292,13657534181,0,9087.74465055732,9083.20492909365,9060.432264595613,,-249921.0,1399-06-02
2020-08-24,106,10,244,0,1303653,1046994,2350647,0,11259357407,9130231650,20389589057,0,8636.774821981002,8674.032748005124,8720.424042544657,,-1046994.0,1399-06-03
2020-08-25,251,17,177,1,2244066,6921735,1608008,7557793,21226613512,65137581912,15090079353,71274116071,9458.996977807248,9384.331018875528,9410.58591697024,9430.546201913709,636058.0,1399-06-04
2020-08-26,1680,3,369,1,26807124,102165,6459289,20450000,276528854280,1052299500,66869075500,210712078280,10315.498756226145,10352.389481257149,10300.0,10303.769109046454,20347835.0,1399-06-05
2020-08-31,717,2,624,1,7760203,765316,8225519,300000,80735709139,7617497960,85173207099,3180000000,10403.814067621684,10354.751730437922,9953.402202488907,10600.0,-465316.0,1399-06-10
2020-09-01,230,12,394,0,3332848,725122,4057970,0,31712631109,7059339200,38771970309,0,9515.174742142455,9554.523643348768,9735.381356516558,,-725122.0,1399-06-11
2020-09-02,167,2,270,1,2766154,212149,2976638,1665,24921925732,1920238192,26827165604,14998320,9009.594452080397,9012.572440451277,9051.365747658485,9008.0,-210484.0,1399-06-12
2020-09-05,360,0,322,1,4434645,0,4334645,100000,42363616477,0,41413616477,950000000,9552.876606131946,9554.096466261944,,9500.0,100000.0,1399-06-15
2020-09-06,680,1,464,1,4385456,221708,4507164,100000,43260070998,2140640600,44440711598,960000000,9864.440778336391,9860.016542109406,9655.224890396375,9600.0,-121708.0,1399-06-16
2020-09-07,230,1,256,0,1841932,300000,2141932,0,16720291960,2755000000,19475291960,0,9077.583732732804,9092.395071365478,9183.333333333334,,-300000.0,1399-06-17
2020-09-08,259,1,323,0,3045479,370000,3415479,0,25191909605,3056000000,28247909605,0,8271.903895906029,8270.55578587952,8259.45945945946,,-370000.0,1399-06-18
2020-09-09,584,1,411,2,16300045,200000,9140045,7360000,143289688315,1753000000,80687942736,64354745579,8790.75415527994,8827.959023834128,8765.0,8743.851301494566,7160000.0,1399-06-19
