date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-11-01,5,1,0,1,3293,100000,0,103293,32930000,1000000000,0,1032930000,10000.0,,10000.0,10000.0,3293.0,1394-08-10
2015-11-02,2,2,0,1,9250,250000,0,259250,92500000,2500000000,0,2592500000,10000.0,,10000.0,10000.0,9250.0,1394-08-11
2015-11-03,7,1,0,1,65304,500000,0,565304,653040000,5000000000,0,5653040000,10000.0,,10000.0,10000.0,65304.0,1394-08-12
2015-11-04,58,3,0,1,2070587,1001566,0,3072153,20705870000,10015660000,0,30721530000,10000.0,,10000.0,10000.0,2070587.0,1394-08-13
2016-02-15,2,0,11,0,5380,0,5380,0,72683800,0,72683800,0,13510.0,13510.0,,,0.0,1394-11-26
2016-02-16,4,0,6,0,69015,0,69015,0,932203713,0,932203713,0,13507.26237774397,13507.26237774397,,,0.0,1394-11-27
2016-02-17,1,0,2,0,2000,0,2000,0,27004000,0,27004000,0,13502.0,13502.0,,,0.0,1394-11-28
2016-02-20,2,0,1,0,15000,0,15000,0,202519000,0,202519000,0,13501.266666666666,13501.266666666666,,,0.0,1394-12-01
2016-02-23,1,0,1,0,1010,0,1010,0,13635000,0,13635000,0,13500.0,13500.0,,,0.0,1394-12-04
2016-02-27,2,0,4,0,20500,0,20500,0,276751000,0,276751000,0,13500.048780487805,13500.048780487805,,,0.0,1394-12-08
2016-02-29,1,0,4,0,3050,0,3050,0,41175000,0,41175000,0,13500.0,13500.0,,,0.0,1394-12-10
2016-03-01,1,0,1,0,500,0,500,0,6750000,0,6750000,0,13500.0,13500.0,,,0.0,1394-12-11
2016-03-06,1,0,2,0,6000,0,6000,0,81000000,0,81000000,0,13500.0,13500.0,,,0.0,1394-12-16
2016-03-08,1,0,2,0,5400,0,5400,0,72900000,0,72900000,0,13500.0,13500.0,,,0.0,1394-12-18
2016-03-12,4,0,2,0,62840,0,62840,0,874960000,0,874960000,0,13923.615531508593,13923.615531508593,,,0.0,1394-12-22
2016-03-14,3,0,2,0,7180,0,7180,0,104539600,0,104539600,0,14559.83286908078,14559.83286908078,,,0.0,1394-12-24
2016-03-16,0,2,0,1,0,1750000,0,1750000,0,26582500000,0,26582500000,,,15190.0,15190.0,0.0,1394-12-26
2016-03-26,2,1,3,1,6656,11000,11071,6585,100575905,165770000,166839970,99505935,15110.562650240385,15070.0,15070.0,15111.0,-4415.0,1395-01-07
2016-03-27,1,0,1,0,3000,0,3000,0,44565000,0,44565000,0,14855.0,14855.0,,,0.0,1395-01-08
2016-03-29,1,0,0,1,50000,0,0,50000,731050000,0,0,731050000,14621.0,,,14621.0,50000.0,1395-01-10
2016-03-30,2,0,2,1,14000,0,3132,10868,213897254,0,47115030,166782224,15278.375285714286,15043.113026819923,,15346.174457121826,10868.0,1395-01-11
2016-04-02,2,0,0,1,1592,0,0,1592,25021860,0,0,25021860,15717.248743718594,,,15717.248743718594,1592.0,1395-01-14
2016-04-03,2,0,0,1,1120,0,0,1120,17612760,0,0,17612760,15725.67857142857,,,15725.67857142857,1120.0,1395-01-15
2016-04-04,3,1,0,3,11300,1750000,0,1761300,182612700,27520500000,0,27703112700,16160.41592920354,,15726.0,15728.787089081929,11300.0,1395-01-16
2016-04-05,10,0,0,1,27307,0,0,27307,450627279,0,0,450627279,16502.262386933755,,,16502.262386933755,27307.0,1395-01-17
2016-04-06,2,1,9,1,10100,154740,163840,1000,166143000,2504904130,2654570130,16477000,16449.80198019802,16202.21026611328,16187.825578389557,16477.0,-153740.0,1395-01-18
2016-04-09,0,1,1,0,0,600,600,0,0,9600000,9600000,0,,16000.0,16000.0,,-600.0,1395-01-21
2016-04-11,6,1,0,2,33953,26047,0,60000,550711462,411646788,0,962358250,16219.817453538715,,15804.0,16039.304166666669,33953.0,1395-01-23
2016-04-13,2,1,2,0,6798,18252,25050,0,107388400,284658192,392046592,0,15797.057958223008,15650.56255489022,15596.0,,-18252.0,1395-01-25
2016-04-16,2,0,0,1,2100,0,0,2100,32484300,0,0,32484300,15468.714285714286,,,15468.714285714286,2100.0,1395-01-28
2016-04-18,2,1,1,1,13716,5,5,13716,214818460,75680,75680,214818460,15661.888305628465,15136.0,15136.0,15661.888305628465,13711.0,1395-01-30
2016-04-20,4,0,2,1,36696,0,713,35983,595676121,0,11401070,584275051,16232.726209941138,15990.280504908837,,16237.53025039602,35983.0,1395-02-01
2016-04-23,3,1,4,1,965,1390,2068,287,14741839,20994560,31271540,4464859,15276.517098445596,15121.634429400388,15104.0,15557.0,-1103.0,1395-02-04
2016-04-30,0,1,1,0,0,200,200,0,0,2960200,2960200,0,,14801.0,14801.0,,-200.0,1395-02-11
2016-05-07,1,1,2,1,11,50003,14,50000,161700,721042968,204668,721000000,14700.0,14619.142857142857,14419.99416035038,14420.0,-3.0,1395-02-18
2016-05-08,1,0,1,0,159,0,159,0,2286738,0,2286738,0,14382.0,14382.0,,,0.0,1395-02-19
2016-05-10,1,1,2,0,385,2,387,0,5467000,28495,5495495,0,14200.0,14200.245478036177,14247.5,,-2.0,1395-02-21
2016-05-11,0,1,2,0,0,1001,1001,0,0,13993976,13993976,0,,13979.996003996004,13979.996003996004,,-1001.0,1395-02-22
2016-05-15,0,1,1,0,0,1200,1200,0,0,16592400,16592400,0,,13827.0,13827.0,,-1200.0,1395-02-26
2016-05-16,1,0,1,0,163,0,163,0,2252660,0,2252660,0,13820.0,13820.0,,,0.0,1395-02-27
2016-05-17,0,1,1,0,0,34000,34000,0,0,467194000,467194000,0,,13741.0,13741.0,,-34000.0,1395-02-28
2016-05-18,0,1,3,0,0,1384,1384,0,0,19031729,19031729,0,,13751.249277456647,13751.249277456647,,-1384.0,1395-02-29
2016-05-21,3,0,0,1,301990,0,0,301990,4300255000,0,0,4300255000,14239.726481009306,,,14239.726481009306,301990.0,1395-03-01
2016-05-23,1,1,1,0,500,2500,3000,0,7125000,35450000,42575000,0,14250.0,14191.666666666666,14180.0,,-2500.0,1395-03-03
2016-05-24,1,0,0,1,200,0,0,200,2908000,0,0,2908000,14540.0,,,14540.0,200.0,1395-03-04
2016-05-28,1,1,3,1,2000,50148,51648,500,29110000,716822000,738722000,7210000,14555.0,14303.012701363074,14294.12937704395,14420.0,-49648.0,1395-03-08
2016-05-30,1,0,1,0,1,0,1,0,14300,0,14300,0,14300.0,14300.0,,,0.0,1395-03-10
2016-05-31,1,0,1,0,50,0,50,0,722200,0,722200,0,14444.0,14444.0,,,0.0,1395-03-11
2016-06-01,1,1,1,0,395,750,1145,0,5727500,10868250,16595750,0,14500.0,14494.10480349345,14491.0,,-750.0,1395-03-12
2016-06-05,1,0,1,1,1011,0,140,871,14935735,0,2058000,12877735,14773.229475766568,14700.0,,14785.0,871.0,1395-03-16
2016-06-07,0,1,3,0,0,101020,101020,0,0,1474545200,1474545200,0,,14596.56701643239,14596.56701643239,,-101020.0,1395-03-18
2016-06-08,0,1,1,0,0,12500,12500,0,0,179625000,179625000,0,,14370.0,14370.0,,-12500.0,1395-03-19
2016-06-18,0,1,2,0,0,301,301,0,0,4285223,4285223,0,,14236.621262458471,14236.621262458471,,-301.0,1395-03-29
2016-06-19,2,0,1,1,623,0,173,450,8927950,0,2447950,6480000,14330.577849117177,14150.0,,14400.0,450.0,1395-03-30
2016-06-20,1,0,1,0,1011,0,1011,0,14255100,0,14255100,0,14100.0,14100.0,,,0.0,1395-03-31
2016-06-21,2,0,0,1,6736,0,0,6736,96324800,0,0,96324800,14300.0,,,14300.0,6736.0,1395-04-01
2016-06-26,0,1,1,0,0,2500,2500,0,0,35750000,35750000,0,,14300.0,14300.0,,-2500.0,1395-04-06
2016-06-29,1,0,2,0,601,0,601,0,8714500,0,8714500,0,14500.0,14500.0,,,0.0,1395-04-09
2016-07-02,0,1,1,0,0,101,101,0,0,1454400,1454400,0,,14400.0,14400.0,,-101.0,1395-04-12
2016-07-05,2,1,3,0,573,50000,50573,0,8207200,715000000,723207200,0,14323.211169284468,14300.262986178395,14300.0,,-50000.0,1395-04-15
2016-07-09,0,1,1,0,0,1,1,0,0,14020,14020,0,,14020.0,14020.0,,-1.0,1395-04-19
2016-07-11,2,0,0,1,220,0,0,220,3176800,0,0,3176800,14440.0,,,14440.0,220.0,1395-04-21
2016-07-16,0,1,1,0,0,80,80,0,0,1104000,1104000,0,,13800.0,13800.0,,-80.0,1395-04-26
2016-07-18,1,0,2,0,6945,0,6945,0,96396600,0,96396600,0,13880.0,13880.0,,,0.0,1395-04-28
2016-07-19,2,1,1,0,50000,50000,100000,0,684000000,683500000,1367500000,0,13680.0,13675.0,13670.0,,-50000.0,1395-04-29
2016-07-20,1,0,0,1,35000,0,0,35000,483350000,0,0,483350000,13810.0,,,13810.0,35000.0,1395-04-30
2016-08-02,0,1,1,0,0,10000,10000,0,0,139000000,139000000,0,,13900.0,13900.0,,-10000.0,1395-05-12
2016-08-08,1,1,1,0,200,4800,5000,0,2760200,66240000,69000200,0,13801.0,13800.04,13800.0,,-4800.0,1395-05-18
2016-08-10,1,0,0,1,265,0,0,265,3763000,0,0,3763000,14200.0,,,14200.0,265.0,1395-05-20
2016-08-29,1,0,2,0,1500,0,1500,0,21217500,0,21217500,0,14145.0,14145.0,,,0.0,1395-06-08
2016-08-31,0,1,2,0,0,13216,13216,0,0,185024000,185024000,0,,14000.0,14000.0,,-13216.0,1395-06-10
2016-09-05,0,1,1,0,0,100,100,0,0,1400000,1400000,0,,14000.0,14000.0,,-100.0,1395-06-15
2016-09-19,0,1,1,0,0,353,353,0,0,4942000,4942000,0,,14000.0,14000.0,,-353.0,1395-06-29
2016-09-26,0,1,1,0,0,1000,1000,0,0,14000000,14000000,0,,14000.0,14000.0,,-1000.0,1395-07-05
