date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-01-13,23947,284,0,10,109053357,46876643,0,155000000,179938039050,77346460950,0,255750000000,1650.0,,1650.0,1650.0,108123357.0,1394-10-23
2016-01-16,12,0,145,2,565464,0,433864,131600,979383648,0,751452448,227931200,1732.0,1732.0,,1732.0,131600.0,1394-10-26
2016-01-17,1387,30,11281,115,74446291,11467895,63736410,22177776,135267025682,20834854720,115800733950,40301146452,1816.974678859421,1816.869414985877,1816.798524925455,1817.18610793075,10709881.0,1394-10-27
2016-01-18,777,23,5513,42,30917242,7853370,33531612,5239000,55929244829,14216656580,60641223448,9504677961,1808.9985138066324,1808.4792179988244,1810.261910491929,1814.216064325253,-2614370.0,1394-10-28
2016-01-31,657,13,1136,46,27801478,4257000,22178267,9880211,48273521919,7359795841,38580575504,17052742256,1736.3653083120255,1739.566734587513,1728.8691193328634,1725.949198453353,5623211.0,1394-11-11
2016-02-01,201,10,893,10,8272981,7288927,13770233,1791675,14872548809,13069466827,24748327496,3193688140,1797.7254884303493,1797.2337502204937,1793.0577198811293,1782.5153222543152,-5497252.0,1394-11-12
2016-02-02,300,12,847,24,20291417,12936795,27204212,6024000,38179474009,24360691259,51212145950,11328019318,1881.5578039227128,1882.5079715596985,1883.0545942020412,1880.481294488712,-6912795.0,1394-11-13
2016-02-03,287,8,782,13,8551071,8938384,14690941,2798514,16235240274,17256569397,28129332398,5362477273,1898.6206843563807,1914.740001882793,1930.6140122196584,1916.187402671561,-6139870.0,1394-11-14
2016-02-06,179,4,365,6,5991133,1066757,6597934,459956,11639428954,2051127400,12797725480,892830874,1942.7759246873677,1939.6564864092304,1922.7691029915904,1941.1223551818,-606801.0,1394-11-17
2016-02-07,262,12,561,8,6612748,9877366,14191114,2299000,12643195239,18882443475,27129801914,4395836800,1911.9426959866005,1911.7457525885568,1911.6881438837036,1912.0647237929531,-7578366.0,1394-11-18
2016-02-08,346,8,452,4,7930381,2387200,7575682,2741899,14789307493,4480005426,14200457639,5068855280,1864.8924298845163,1874.479108151583,1876.6778761729224,1848.665935543213,354699.0,1394-11-19
2016-02-09,419,8,464,13,10859735,5020000,14123602,1756133,20217105867,9402816263,26306585002,3313337128,1861.6573854702715,1862.5974451843088,1873.0709687251,1886.7233449858295,-3263867.0,1394-11-20
2016-02-10,210,5,228,4,4549191,3590000,7679074,460117,8210332368,6469232270,13850636284,828928354,1804.7895478558717,1803.685741796472,1802.0145598885797,1801.5599380157653,-3129883.0,1394-11-21
2016-02-13,245,7,179,8,5130936,1851089,4819925,2162100,8869717989,3202531511,8351773073,3720476427,1728.6744541346843,1732.7599647297416,1730.0797049736668,1720.769819619814,311011.0,1394-11-24
2016-02-14,109,9,166,4,1887388,2935622,3617310,1205700,3287439540,5111151823,6304205909,2094385454,1741.7931766017375,1742.7884004965017,1741.0796836241177,1737.0701285560256,-1729922.0,1394-11-25
2016-02-15,97,9,148,5,2276430,2159206,3214346,1221290,4002780762,3793281379,5651811087,2144251054,1758.3588170951884,1758.3082490186184,1756.7945712451706,1755.7263663830868,-937916.0,1394-11-26
2016-02-16,68,11,211,4,1023724,5160326,5193107,990943,1785473275,9010088820,9065063898,1730498197,1744.0963335820984,1745.5954398782849,1746.0309329294312,1746.3145680427633,-4169383.0,1394-11-27
2016-02-17,92,11,289,6,1445459,3386726,3536218,1295967,2526804158,5945008811,6197081528,2274731441,1748.098118313975,1752.4602634792311,1755.3852337035828,1755.2387066954636,-2090759.0,1394-11-28
