date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-01-14,65,2,12,2,906619,60866,544935,422550,1724277494,114102018,1034346262,804033250,1901.8766361613864,1898.109429564994,1874.6429533729836,1902.812093243403,361684.0,1393-10-24
2015-01-17,15,2,23,0,83922,380630,464552,0,157894427,712103200,869997627,0,1881.44261337909,1872.7669389002735,1870.8541102908337,,-380630.0,1393-10-27
2015-01-18,9,2,12,0,15130,139860,154990,0,28532189,262384702,290916891,0,1885.8023132848648,1877.004264791277,1876.0524953524955,,-139860.0,1393-10-28
2015-01-19,5,2,6,0,49300,232335,281635,0,92216000,434925450,527141450,0,1870.5070993914808,1871.718536403501,1871.9755955839628,,-232335.0,1393-10-29
2015-01-20,4,2,15,0,4300,289500,293800,0,8061000,542229196,550290196,0,1874.6511627906975,1873.009516678012,1872.9851329879104,,-289500.0,1393-10-30
2015-01-21,4,2,12,0,7535,190307,197842,0,13926850,355959329,369886179,0,1848.28798938288,1869.603921310945,1870.447902599484,,-190307.0,1393-11-01
2015-01-24,2,1,8,0,2000,216540,218540,0,3741000,404631400,408372400,0,1870.5,1868.6391507275555,1868.6219636094947,,-216540.0,1393-11-04
2015-01-25,2,1,2,0,3900,7800,11700,0,7371000,14683200,22054200,0,1890.0,1884.974358974359,1882.4615384615383,,-7800.0,1393-11-05
2015-01-26,3,3,8,0,4700,125771,130471,0,8912500,235191770,244104270,0,1896.276595744681,1870.9465705022567,1870.0,,-125771.0,1393-11-06
2015-01-27,1,2,7,0,600,185000,185600,0,1125000,346065000,347190000,0,1875.0,1870.635775862069,1870.6216216216217,,-185000.0,1393-11-07
2015-01-28,3,2,7,0,2200,167504,169704,0,4140600,316085184,320225784,0,1882.090909090909,1886.966624239853,1887.0306619543412,,-167504.0,1393-11-08
2015-01-31,6,1,9,1,242500,16000,250455,8045,461687938,30272000,476352638,15607300,1903.8677855670103,1901.949004811244,1892.0,1940.0,-7955.0,1393-11-11
2015-02-01,4,1,2,0,3186,15000,18186,0,6078858,29055000,35133858,0,1907.9905838041432,1931.917848894754,1937.0,,-15000.0,1393-11-12
2015-02-02,8,2,8,0,37809,37316,75125,0,71921838,70900400,142822238,0,1902.241212409744,1901.127960066556,1900.0,,-37316.0,1393-11-13
2015-02-03,7,3,7,0,265808,322940,588748,0,505046201,613586000,1118632201,0,1900.041387016192,1900.0186854137933,1900.0,,-322940.0,1393-11-14
2015-02-04,9,1,3,0,201000,19000,220000,0,382036770,36105000,418141770,0,1900.680447761194,1900.644409090909,1900.2631578947369,,-19000.0,1393-11-15
2015-02-07,8,0,5,0,39000,0,39000,0,74637500,0,74637500,0,1913.7820512820515,1913.7820512820515,,,0.0,1393-11-18
2015-02-08,9,0,5,1,444993,0,70320,374673,862292680,0,136408330,725884350,1937.766841276155,1939.8226678043231,,1937.3809962287116,374673.0,1393-11-19
2015-02-09,8,1,3,0,50550,260000,310550,0,95692550,490800000,586492550,0,1893.0276953511373,1888.5607792625983,1887.692307692308,,-260000.0,1393-11-20
