date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-03-19,47917,240,0,4,93969759,5754791,0,99724550,281909277000,17264373000,0,299173650000,3000.0,,3000.0,3000.0,93969759.0,1392-12-28
2014-03-25,2,0,36,1,58672,0,39972,18700,184816800,0,125911800,58905000,3150.0,3150.0,,3150.0,18700.0,1393-01-05
2014-03-26,5,0,47,0,66615,0,66615,0,220295805,0,220295805,0,3307.0,3307.0,,,0.0,1393-01-06
2014-03-29,4,0,99,0,132208,0,132208,0,459026176,0,459026176,0,3472.0,3472.0,,,0.0,1393-01-09
2014-03-30,3,0,115,0,120515,0,120515,0,439277175,0,439277175,0,3645.0,3645.0,,,0.0,1393-01-10
2014-03-31,8,0,140,2,327800,0,252285,75515,1254490600,0,965494695,288995905,3827.0,3827.0,,3827.0,75515.0,1393-01-11
2014-04-05,9,0,247,1,365194,0,363994,1200,1467349492,0,1462527892,4821600,4018.0,4018.0,,4018.0,1200.0,1393-01-16
2014-04-06,45,2,986,4,1855024,100000,1891524,63500,7824491232,421800000,7978448232,267843000,4218.0,4218.0,4218.0,4218.0,-36500.0,1393-01-17
2014-04-07,82,4,2291,9,3568635,300000,3691835,176800,15801915780,1328400000,16347445380,782870400,4428.0,4428.0,4428.0,4428.0,-123200.0,1393-01-18
2014-04-08,16,2,611,3,908920,150000,1039720,19200,4225569080,697350000,4833658280,89260800,4649.0,4649.0,4649.0,4649.0,-130800.0,1393-01-19
2014-04-09,65,4,1156,9,2779899,250000,2436499,593400,13568687019,1220250000,11892551619,2896385400,4881.0,4881.0,4881.0,4881.0,343400.0,1393-01-20
2014-04-12,3089,29,20741,81,42145535,19314900,59249045,2211390,202715184530,90472390381,282563153965,10624420946,4809.88518783781,4769.075247795134,4684.072419789904,4804.408515006398,-17103510.0,1393-01-23
2014-04-13,999,7,6451,23,9141563,15258829,24099006,301386,41841414394,69159436435,109629250617,1371600212,4577.052566831296,4549.119188442876,4532.420963299346,4550.975201236952,-14957443.0,1393-01-24
2014-04-14,760,4,2100,8,5523093,1620000,7039393,103700,24594591725,7341924421,31459390967,477125179,4453.046820866496,4469.048818129631,4532.052111728395,4601.014262295082,-1516300.0,1393-01-25
2014-04-15,758,5,1777,7,6823844,1770000,8488644,105200,31305745000,8284921867,39109251250,481415617,4587.699396410586,4607.243659882544,4680.746817514124,4576.194077946768,-1664800.0,1393-01-26
2014-04-16,606,4,883,3,3737105,510000,4047105,200000,17403713629,2346762983,18812819891,937656721,4657.004186128032,4648.463504406236,4601.496045098039,4688.283605,-310000.0,1393-01-27
2014-04-19,111,1,148,1,495465,100000,565465,30000,2203235976,441979598,2512675574,132540000,4446.804468529564,4443.556319135579,4419.79598,4418.0,-70000.0,1393-01-30
2014-04-20,443,3,730,2,2913545,1150000,4030545,33000,13058501948,5189489076,18100133246,147857778,4481.997685980481,4490.740891368289,4512.599196521739,4480.538727272728,-1117000.0,1393-01-31
2014-04-21,563,3,1074,4,4764540,414135,5115675,63000,21586739432,1842124530,23146190623,282673339,4530.707986920039,4524.562374075757,4448.125683653881,4486.8783968253965,-351135.0,1393-02-01
2014-04-22,471,3,625,3,2955637,480000,3322437,113200,13250889050,2180387898,14925800096,505476852,4483.259970693289,4492.425317921755,4542.4747875,4465.343215547703,-366800.0,1393-02-02
2014-04-23,196,4,649,1,2621488,300100,2911588,10000,11690993974,1344539570,12991023544,44510000,4459.678615351281,4461.834416133052,4480.305131622792,4451.0,-290100.0,1393-02-03
2014-04-26,276,5,880,4,3546365,1350510,4426875,470000,16407504540,6294429027,20518067252,2183866315,4626.569611419016,4634.887421036284,4660.77928116045,4646.524074468085,-880510.0,1393-02-06
2014-04-27,414,3,577,3,3088397,800000,3581697,306700,13997181195,3649062845,16224837508,1421406532,4532.183263680156,4529.930228045532,4561.32855625,4634.517548092598,-493300.0,1393-02-07
2014-04-28,134,2,489,1,2600599,88583,2675182,14000,11678498837,398572539,12014057376,63014000,4490.695734713426,4490.930851059853,4499.42470902995,4501.0,-74583.0,1393-02-08
