date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-07-11,14,0,47,0,1216748,0,1216748,0,2677840996,0,2677840996,0,2200.8180790106085,2200.8180790106085,,,0.0,1395-04-21
2016-07-12,77,0,144,0,2874026,0,2874026,0,6365983462,0,6365983462,0,2215.005522566601,2215.005522566601,,,0.0,1395-04-22
2016-07-13,49,0,37,1,1849376,0,1295523,553853,3904098972,0,2738238407,1165860565,2111.0358153236552,2113.6162051928063,,2105.0,553853.0,1395-04-23
2016-07-16,49,0,78,1,1909900,0,1854759,55141,3834453444,0,3723840598,110612846,2007.6723619037648,2007.7220803349653,,2006.0,55141.0,1395-04-26
2016-07-17,37,0,71,0,861443,0,861443,0,1684372596,0,1684372596,0,1955.2919879783108,1955.2919879783108,,,0.0,1395-04-27
2016-07-18,19,0,70,2,1830250,0,1729498,100752,3745599219,0,3538856115,206743104,2046.495953558257,2046.175315033611,,2052.0,100752.0,1395-04-28
2016-07-19,10,0,51,0,713537,0,713537,0,1532123507,0,1532123507,0,2147.223629608556,2147.223629608556,,,0.0,1395-04-29
2016-07-20,42,1,53,1,2704562,500000,2703275,501287,6095557893,1127000000,6092664282,1129893611,2253.805937153594,2253.8085403815744,2254.0,2253.9854634171643,1287.0,1395-04-30
2016-07-23,55,1,81,0,1601645,500000,2101645,0,3445224177,1071829050,4517053227,0,2151.053558684977,2149.2941134206776,2143.6581,,-500000.0,1395-05-02
2016-07-24,32,1,63,0,738058,124323,862381,0,1561098220,269165708,1830263928,0,2115.1430104409137,2122.337955033796,2165.051583375562,,-124323.0,1395-05-03
2016-07-25,56,1,109,0,2627652,485882,3113534,0,5825658002,1077994835,6903652837,0,2217.0584240226635,2217.304463994933,2218.6350492506413,,-485882.0,1395-05-04
2016-07-26,33,0,38,0,745876,0,745876,0,1588809901,0,1588809901,0,2130.126054464817,2130.126054464817,,,0.0,1395-05-05
2016-07-27,41,1,37,1,428689,8370,429969,7090,884410691,17250570,886630461,15030800,2063.0589798198694,2062.079966230124,2061.0,2120.0,-1280.0,1395-05-06
2016-08-01,14,1,12,0,416986,50000,466986,0,869579471,103600000,973179471,0,2085.3924855990367,2083.9585576441264,2072.0,,-50000.0,1395-05-11
