date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-02-15,30,1,65,0,151424,188757,340181,0,1365826955,1699639851,3065466806,0,9019.884265374048,9011.281658881597,9004.38050509385,,-188757.0,1392-11-26
2014-03-15,24,1,67,1,120452,543,120452,543,1130206895,5104200,1130197121,5113974,9383.04797761764,9382.966833261382,9400.0,9418.0,0.0,1392-12-24
2014-03-16,30,0,53,0,187228,0,187228,0,1771312966,0,1771312966,0,9460.72684641186,9460.72684641186,,,0.0,1392-12-25
2014-05-05,5,1,19,0,9825,34157,43982,0,94709275,329378705,424087980,0,9639.620865139948,9642.307762266382,9643.080627689786,,-34157.0,1393-02-15
2014-06-10,1,1,13,0,2000,57743,59743,0,18859400,543660070,562519470,0,9429.7,9415.654888438812,9415.168418682784,,-57743.0,1393-03-20
2014-06-11,4,1,16,0,2009,70966,72975,0,18781468,663556530,682337998,0,9348.6650074664,9350.29801986982,9350.344249358848,,-70966.0,1393-03-21
2014-09-01,4,1,23,0,2070,43700,45770,0,19042980,401786050,420829030,0,9199.507246376812,9194.42932051562,9194.188787185354,,-43700.0,1393-06-10
2014-09-02,2,1,8,1,1110,42000,31174,11936,10197570,386238000,286436290,109999280,9187.0,9188.3072432155,9196.142857142857,9215.757372654156,-30064.0,1393-06-11
2014-09-03,3,1,12,1,974,1054405,75379,980000,8912387,9787008156,691720543,9104200000,9150.294661190965,9176.568314782631,9282.01986523205,9290.0,-74405.0,1393-06-12
2014-09-06,4,1,14,0,4335,50000,54335,0,39576430,457245000,496821430,0,9129.510957324106,9143.6722186436,9144.9,,-50000.0,1393-06-15
2014-09-07,0,1,11,0,0,32179,32179,0,0,292138480,292138480,0,,9078.54439230554,9078.54439230554,,-32179.0,1393-06-16
2014-09-08,5,1,12,1,4379,45055,48434,1000,39851920,410253187,440970107,9135000,9100.689655172411,9104.55686088285,9105.60841194096,9135.0,-44055.0,1393-06-17
2014-09-09,2,1,13,0,6100,44500,50600,0,55815000,406920000,462735000,0,9150.0,9144.9604743083,9144.269662921348,,-44500.0,1393-06-18
2014-09-10,4,1,9,0,2294,17691,19985,0,21007830,161702392,182710222,0,9157.728857890148,9142.36787590693,9140.376010400769,,-17691.0,1393-06-19
2014-09-13,0,1,9,0,0,22878,22878,0,0,207846656,207846656,0,,9085.001136462975,9085.001136462975,,-22878.0,1393-06-22
2014-09-14,3,1,13,0,2580,53292,55872,0,23352412,480431070,503783482,0,9051.322480620154,9016.743306128294,9015.0692411619,,-53292.0,1393-06-23
2014-09-15,0,1,4,0,0,27988,27988,0,0,254260456,254260456,0,,9084.623981706443,9084.623981706443,,-27988.0,1393-06-24
2014-09-17,0,1,12,0,0,43914,43914,0,0,399304765,399304765,0,,9092.88074418181,9092.88074418181,,-43914.0,1393-06-26
2014-09-20,1,1,9,0,378,28610,28988,0,3440556,260557090,263997646,0,9102.0,9107.135573340693,9107.203425375745,,-28610.0,1393-06-29
2014-09-21,4,1,9,0,8528,9000,17528,0,78388424,82378000,160766424,0,9191.88836772983,9171.977635782749,9153.111111111111,,-9000.0,1393-06-30
2014-09-22,2,1,13,0,210,20320,20530,0,1919700,186326929,188246629,0,9141.42857142857,9169.343838285437,9169.632332677164,,-20320.0,1393-06-31
2014-09-23,0,1,8,0,0,72120,72120,0,0,657460520,657460520,0,,9116.202440377148,9116.202440377148,,-72120.0,1393-07-01
2014-09-24,3,1,10,0,976,36121,37097,0,8925639,330642993,339568632,0,9145.121926229507,9153.533493274388,9153.760776279729,,-36121.0,1393-07-02
2014-09-27,0,1,5,0,0,12180,12180,0,0,111424200,111424200,0,,9148.128078817734,9148.128078817734,,-12180.0,1393-07-05
2014-09-28,3,1,12,0,3000,14415,17415,0,27418800,131715545,159134345,0,9139.6,9137.77461958082,9137.394727714189,,-14415.0,1393-07-06
2014-09-29,0,1,6,0,0,9520,9520,0,0,87062440,87062440,0,,9145.214285714286,9145.214285714286,,-9520.0,1393-07-07
2014-09-30,3,1,12,0,3965,61504,65469,0,36292308,560373314,596665622,0,9153.167213114752,9113.71216911821,9111.168606919877,,-61504.0,1393-07-08
2014-10-01,1,1,11,0,1000,89881,90881,0,9051000,817323180,826374180,0,9051.0,9092.92569403946,9093.392151845215,,-89881.0,1393-07-09
2014-10-04,3,1,14,0,330,42405,42735,0,3006960,387197520,390204480,0,9112.0,9130.793962793963,9130.94021931376,,-42405.0,1393-07-12
2014-10-06,1,1,25,0,4860,138416,143276,0,44522460,1267759810,1312282270,0,9161.0,9159.121346212904,9159.055383770665,,-138416.0,1393-07-14
2014-10-07,1,1,8,0,842,23200,24042,0,7712720,212699000,220411720,0,9160.0,9167.778055070294,9168.060344827589,,-23200.0,1393-07-15
2014-10-08,1,1,14,0,3800,40000,43800,0,34770000,365608000,400378000,0,9150.0,9141.050228310502,9140.2,,-40000.0,1393-07-16
2014-10-11,2,1,8,0,260,33000,33260,0,2366000,300720000,303086000,0,9100.0,9112.62778111846,9112.727272727272,,-33000.0,1393-07-19
2014-10-12,0,1,6,0,0,9699,9699,0,0,88540080,88540080,0,,9128.784410763996,9128.784410763996,,-9699.0,1393-07-20
2014-10-14,3,1,6,0,3675,17670,21345,0,33434797,160816940,194251737,0,9097.903945578231,9100.57329585383,9101.128466327107,,-17670.0,1393-07-22
2014-10-15,6,1,12,0,3290,33387,36677,0,29892668,303158125,333050793,0,9085.917325227963,9080.644354772749,9080.124749153862,,-33387.0,1393-07-23
2014-10-18,4,2,16,0,5439,69477,74916,0,49421359,629623477,679044836,0,9086.478948336093,9064.082919536548,9062.329648660709,,-69477.0,1393-07-26
2014-10-19,7,1,26,1,6193,79532,84725,1000,56774774,726313206,773952980,9135000,9167.572097529468,9134.883210386544,9132.339259669065,9135.0,-78532.0,1393-07-27
2014-10-20,13,1,22,0,42868,20754,63622,0,398028474,193314477,591342951,0,9284.97886535411,9294.63001791833,9314.56475860075,,-20754.0,1393-07-28
2014-10-21,6,1,14,1,36058,1349,34910,2497,340915249,12553698,329772417,23696530,9454.63555937656,9446.359696362071,9305.928836174944,9490.0,1148.0,1393-07-29
2014-10-22,1,1,16,0,380,34567,34947,0,3556800,322225841,325782641,0,9360.0,9322.19191919192,9321.77628952469,,-34567.0,1393-07-30
2014-10-25,1,1,13,0,1062,13663,14725,0,9942645,127588195,137530840,0,9362.189265536725,9339.955178268252,9338.226963331626,,-13663.0,1393-08-03
2014-10-26,1,1,8,0,380,12839,13219,0,3572000,119842319,123414319,0,9400.0,9336.131250472805,9334.240906612664,,-12839.0,1393-08-04
2014-10-27,1,1,10,2,11709,24277,25138,10848,109742727,227091180,235155693,101678214,9372.510632846528,9354.590381096348,9354.169790336531,9372.991703539825,-13429.0,1393-08-05
2014-10-28,2,1,10,2,1300,45790,24338,22752,12140800,428470578,227636140,212975238,9339.076923076924,9353.116114717724,9357.295872461236,9360.726002109704,-23038.0,1393-08-06
2014-10-29,4,1,17,0,26700,49190,75890,0,250916500,461358400,712274900,0,9397.62172284644,9385.622611674791,9379.109575116894,,-49190.0,1393-08-07
2014-11-01,8,1,20,1,42590,64131,103121,3600,402479449,605265449,973598898,34146000,9450.09272129608,9441.325219887316,9437.95432786016,9485.0,-60531.0,1393-08-10
2014-11-02,4,1,40,0,18443,83845,102288,0,175540900,800402267,975943167,0,9518.023098194437,9541.130601830127,9546.213453396149,,-83845.0,1393-08-11
2014-11-05,7,1,21,0,12452,42505,54957,0,120683133,410611833,531294966,0,9691.867410857694,9667.466673945084,9660.318386072227,,-42505.0,1393-08-14
