date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-03-03,138,5,0,1,723356,21500000,0,22223356,7233560000,215000000000,0,222233560000,10000.0,,10000.0,10000.0,723356.0,1398-12-13
2020-03-04,566,3,0,1,2493923,5400000,0,7893923,24939230000,54000000000,0,78939230000,10000.0,,10000.0,10000.0,2493923.0,1398-12-14
2020-03-07,339,4,0,1,2746053,9145000,0,11891053,27460530000,91450000000,0,118910530000,10000.0,,10000.0,10000.0,2746053.0,1398-12-17
2020-04-07,34,2,17,1,199148,62374,29222,232300,2024899222,634087562,297072120,2361914664,10167.810984795227,10166.04339196496,10165.895437201398,10167.519001291434,169926.0,1399-01-19
2020-04-08,28,1,157,3,260031,391969,517690,134310,2643812536,3983881980,5261627506,1366067010,10167.297499144332,10163.66455987174,10163.768002061388,10171.0,-257659.0,1399-01-20
2020-04-11,17,1,107,0,161932,155444,317376,0,1644766708,1578377947,3223144655,0,10157.144406294,10155.602991404518,10153.99724016366,,-155444.0,1399-01-23
2020-04-12,13,1,76,0,58340,185976,244316,0,593849911,1891188555,2485038466,0,10179.12086047309,10171.411065996495,10168.99253129436,,-185976.0,1399-01-24
2020-04-13,8,1,45,0,87952,42564,130516,0,896606222,433642032,1330248254,0,10194.267577769691,10192.223589444971,10188.0,,-42564.0,1399-01-25
2020-04-14,2,1,85,0,796,107262,108058,0,8115123,1093214304,1101329427,0,10194.878140703517,10192.02120157693,10192.0,,-107262.0,1399-01-26
2020-04-15,4,1,47,0,11086,66945,78031,0,113179456,683261392,796440848,0,10209.22388598232,10206.72358421653,10206.309537680185,,-66945.0,1399-01-27
2020-04-18,18,1,22,1,64804,28922,70401,23325,663984839,296070847,720811161,239244525,10246.04714215172,10238.64946520646,10236.873210704654,10257.0,-5597.0,1399-01-30
2020-04-19,8,1,25,1,17771,25919,32790,10900,182817059,266175055,336749414,112242700,10287.38163299758,10269.881488258616,10269.49554380956,10297.495412844037,-15019.0,1399-01-31
2020-04-20,5,1,33,0,14311,40252,54563,0,147344528,413060518,560405046,0,10295.893228984696,10270.788739622089,10261.863211765874,,-40252.0,1399-02-01
2020-04-21,6,1,19,0,87063,8265,95328,0,897189055,85109975,982299030,0,10305.055591927685,10304.412449647532,10297.637628554145,,-8265.0,1399-02-02
2020-04-22,12,2,24,1,384711,32412,50142,366981,3977190193,334491668,517645492,3794036369,10338.124444063204,10323.590842008696,10319.99469332346,10338.508993653622,334569.0,1399-02-03
2020-04-25,19,1,28,1,92661,52584,105787,39458,959948901,544400462,1095169903,409179460,10359.794314760256,10352.594392505696,10352.967860946295,10370.0,-13126.0,1399-02-06
2020-04-26,11,1,27,2,11975,65436,75711,1700,124057794,677353116,783790510,17620400,10359.732275574112,10352.399387143216,10351.383275261323,10364.941176470587,-63736.0,1399-02-07
2020-04-27,16,1,31,1,154415,497,65464,89448,1605191292,5167309,680367745,929990856,10395.306751287117,10393.006003299524,10397.0,10397.0,88951.0,1399-02-08
2020-04-28,49,3,25,3,1032548,11400000,36750,12395798,10762248970,118561595350,382907807,128940936513,10423.001129245324,10419.26005442177,10400.139942982456,10401.987553604858,995798.0,1399-02-09
2020-04-29,56,1,29,2,1502597,187815,498194,1192218,15715606131,1959310450,5203687517,12471229064,10458.962803066956,10445.102745115357,10432.129755344356,10460.527406900415,1004403.0,1399-02-10
2020-05-02,81,1,29,2,650824,155265,339748,466341,6837088954,1627728385,3564663678,4900153661,10505.280926947991,10492.081419169504,10483.54996296654,10507.662120637044,311076.0,1399-02-13
2020-05-03,45,1,38,2,247084,379317,412291,214110,2601676639,3993519562,4340062075,2255134126,10529.522911236663,10526.696132100871,10528.1850325717,10532.595983373032,-165207.0,1399-02-14
2020-05-04,19,4,20,2,1041419,3614869,245564,4410724,11012662735,38218665505,2593751759,46637576481,10574.670459248391,10562.426736003648,10572.628082788062,10573.678262570951,795855.0,1399-02-15
2020-05-05,30,2,31,2,221753,998853,152101,1068505,2348232438,10570511783,1608852015,11309892206,10589.40550071476,10577.52424375908,10582.650082644794,10584.781733356418,69652.0,1399-02-16
2020-05-06,31,0,27,2,2020498,0,1347242,673256,21413066924,0,14276205020,7136861904,10597.915426790822,10596.615173814356,,10600.51734258588,673256.0,1399-02-17
2020-05-09,33,0,33,2,853120,0,143257,709863,9085278521,0,1523749802,7561528719,10649.473135080643,10636.477114556355,,10652.095853706984,709863.0,1399-02-20
2020-05-10,46,2,25,1,5686210,1400000,214945,6871265,60725112415,14970506415,2295080343,73400538487,10679.365063020889,10677.523752587873,10693.218867857142,10682.245334301617,5471265.0,1399-02-21
2020-05-11,58,50,34,1,9214539,13027907,964733,21277713,98732750474,139802134831,10407285933,228127599372,10714.887687164815,10787.737055744958,10730.9742716923,10721.434177253916,8249806.0,1399-02-22
