date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-04-25,104,0,0,1,25711,0,0,25711,257110000,0,0,257110000,10000.0,,,10000.0,25711.0,1397-02-05
2018-04-28,154,0,0,1,3407,0,0,3407,34070000,0,0,34070000,10000.0,,,10000.0,3407.0,1397-02-08
2018-04-29,4,1,0,1,6701,50000,0,56701,67010000,500000000,0,567010000,10000.0,,10000.0,10000.0,6701.0,1397-02-09
2018-04-30,187,1,0,1,7650,10000000,0,10007650,76500000,100000000000,0,100076500000,10000.0,,10000.0,10000.0,7650.0,1397-02-10
2018-05-01,232,4,0,1,89048,64,0,89112,890480000,640000,0,891120000,10000.0,,10000.0,10000.0,89048.0,1397-02-11
2018-06-13,4,0,4,1,24475,0,18697,5778,252532739,0,190727939,61804800,10317.987293156282,10200.991549446437,,10696.57320872274,5778.0,1397-03-23
2018-06-17,6,0,6,1,28900,0,1103,27797,313762127,0,11734827,302027300,10856.821003460209,10639.009066183136,,10865.463898981903,27797.0,1397-03-27
2018-06-18,5,1,3,2,20874,1500,1530,20844,234875390,16672500,16999650,234548240,11252.054709207629,11110.882352941177,11115.0,11252.55421224333,19344.0,1397-03-28
2018-06-19,6,1,8,1,40160,15,10365,29810,454822725,162000,118169725,336815000,11325.26705677291,11400.841775205015,10800.0,11298.725259979872,29795.0,1397-03-29
2018-06-20,12,0,2,1,46280,0,385,45895,552531700,0,4492500,548039200,11938.88720829732,11668.83116883117,,11941.152631005556,45895.0,1397-03-30
2018-06-23,2,1,3,1,41000,10,4697,36313,478573600,115500,53956000,424733100,11672.526829268292,11487.332339791355,11550.0,11696.447553217857,36303.0,1397-04-02
2018-06-24,9,1,5,1,145239,20,9418,135841,1778365200,240000,117360500,1661244700,12244.405428294052,12461.29751539605,12000.0,12229.332086777924,135821.0,1397-04-03
2018-06-25,5,1,2,1,41474,10000,11000,40474,532690900,126000000,138600000,520090900,12843.972127115783,12600.0,12600.0,12850.0,30474.0,1397-04-04
2018-06-26,1,1,8,0,200,16630,16830,0,2412000,205659000,208071000,0,12060.0,12363.101604278076,12366.74684305472,,-16630.0,1397-04-05
2018-06-27,2,1,2,3,26750,19950,46650,50,311226000,236075000,546731000,570000,11634.616822429907,11719.849946409431,11833.333333333334,11400.0,-19900.0,1397-04-06
2018-06-30,3,1,5,1,6050,14647,19697,1000,71560000,172824710,232314710,12070000,11828.09917355372,11794.42097781388,11799.324776404725,12070.0,-13647.0,1397-04-09
2018-07-01,0,1,2,0,0,90,90,0,0,1035750,1035750,0,,11508.333333333334,11508.333333333334,,-90.0,1397-04-10
2018-07-02,1,1,2,0,6000,120,6120,0,70794000,1392000,72186000,0,11799.0,11795.098039215687,11600.0,,-120.0,1397-04-11
2018-07-03,1,1,2,0,1000,80,1080,0,12071000,960000,13031000,0,12071.0,12065.74074074074,12000.0,,-80.0,1397-04-12
2018-07-04,2,1,5,1,393,24815,25045,163,4795290,297870750,300677440,1988600,12201.75572519084,12005.48772210022,12003.657062260729,12200.0,-24652.0,1397-04-13
2018-07-07,0,1,31,0,0,590,590,0,0,6903000,6903000,0,,11700.0,11700.0,,-590.0,1397-04-16
2018-07-10,0,1,1,0,0,10,10,0,0,117000,117000,0,,11700.0,11700.0,,-10.0,1397-04-19
2018-07-11,0,1,3,0,0,1955,1955,0,0,22393500,22393500,0,,11454.475703324808,11454.475703324808,,-1955.0,1397-04-20
2018-07-14,0,1,9,0,0,1520,1520,0,0,17331250,17331250,0,,11402.138157894737,11402.138157894737,,-1520.0,1397-04-23
2018-07-15,0,1,3,0,0,642,642,0,0,7190400,7190400,0,,11200.0,11200.0,,-642.0,1397-04-24
2018-07-16,2,0,5,1,4055,0,55,4000,45330500,0,610500,44720000,11178.914919852035,11100.0,,11180.0,4000.0,1397-04-25
2018-07-17,1,0,3,0,635,0,635,0,7048500,0,7048500,0,11100.0,11100.0,,,0.0,1397-04-26
2018-07-18,1,1,6,0,310,3475,3785,0,3441000,38572500,42013500,0,11100.0,11100.0,11100.0,,-3475.0,1397-04-27
2018-07-21,1,1,1,0,101,299,400,0,1121201,3318900,4440101,0,11101.0,11100.2525,11100.0,,-299.0,1397-04-30
2018-07-22,0,1,2,0,0,20,20,0,0,224000,224000,0,,11200.0,11200.0,,-20.0,1397-04-31
2018-07-24,1,0,0,1,200,0,0,200,2240000,0,0,2240000,11200.0,,,11200.0,200.0,1397-05-02
2018-07-25,1,1,11,0,760,1726,2486,0,8512000,19419600,27931600,0,11200.0,11235.559131134352,11251.216685979143,,-1726.0,1397-05-03
2018-07-28,3,1,2,1,30000,2180,2180,30000,354600000,25024000,25024000,354600000,11820.0,11478.899082568809,11478.899082568809,11820.0,27820.0,1397-05-06
2018-07-29,6,1,2,1,2566,1534,4010,90,30810741,18408000,48120741,1098000,12007.303585346845,12000.184788029925,12000.0,12200.0,-1444.0,1397-05-07
2018-07-30,17,1,8,2,103890,20600,44914,79576,1448729489,254350000,627404990,1075674499,13944.840591009724,13969.029478559023,12347.087378640776,13517.574381723132,58976.0,1397-05-08
2018-07-31,15,1,8,2,124989,1000,9799,116190,1649069434,12950000,128821474,1533197960,13193.716519053676,13146.38983569752,12950.0,13195.61029348481,115190.0,1397-05-09
2018-08-01,19,1,7,2,99003,24749,79827,43925,1321783704,328456100,1058913704,591326100,13350.945971334202,13265.107094090972,13271.489757161906,13462.176437108708,19176.0,1397-05-10
2018-08-04,10,1,12,1,42141,28530,39661,31010,567180020,382750500,530965410,418965110,13459.102062124772,13387.595118630392,13415.72029442692,13510.64527571751,2480.0,1397-05-13
2018-08-05,11,0,4,1,40855,0,32655,8200,568086542,0,454386542,113700000,13904.945343287236,13914.76165977645,,13865.853658536584,8200.0,1397-05-14
2018-08-06,30,1,2,1,163602,6000,213,169389,2407384937,88200000,3113090,2492471847,14714.886963484554,14615.44600938967,14700.0,14714.48468908843,163389.0,1397-05-15
2018-08-07,6,1,2,1,12515,5331,5331,12515,180887415,77217040,77217040,180887415,14453.648821414305,14484.53198274245,14484.53198274245,14453.648821414305,7184.0,1397-05-16
2018-08-08,4,1,2,1,8737,700,1600,7837,123949900,9835000,22490800,111294100,14186.780359391096,14056.75,14050.0,14201.110118667855,7137.0,1397-05-17
2018-08-11,10,1,4,1,196937,3972,5044,195865,2749610295,55416600,70483560,2734543335,13961.8776309175,13973.743061062649,13951.812688821752,13961.367957521765,191893.0,1397-05-20
2018-08-12,1,0,2,1,17835,0,7835,10000,250104445,0,109304445,140800000,14023.23773479114,13950.79068283344,,14080.0,10000.0,1397-05-21
2018-08-13,5,0,2,0,24232,0,24232,0,336800493,0,336800493,0,13898.996904919117,13898.996904919117,,,0.0,1397-05-22
2018-08-14,4,1,2,1,20725,25,600,20150,294236750,345750,8497500,286085000,14197.189384800966,14162.5,13830.0,14197.766749379653,20125.0,1397-05-23
2018-08-15,3,2,8,1,30231,19830,24891,25170,424365504,276937000,347964004,353338500,14037.42859978168,13979.51082720662,13965.557236510338,14038.0810488677,5340.0,1397-05-24
2018-08-18,4,1,3,1,1711,26073,27080,704,24166706,368328144,382547330,9947520,14124.31677381648,14126.563146233382,14126.803359797492,14130.0,-25369.0,1397-05-27
2018-08-19,3,1,3,1,4024,1359,1383,4000,58383224,19705500,20048724,58040000,14508.75347912525,14496.546637744035,14500.0,14510.0,2641.0,1397-05-28
2018-08-20,5,1,5,1,17087,18752,21509,14330,251212032,277292160,318114572,210389620,14701.939017966875,14789.835510716444,14787.337883959044,14681.759944173064,-4422.0,1397-05-29
2018-08-21,8,0,2,1,20620,0,10010,10610,305414350,0,148148000,157266350,14811.55916585839,14800.0,,14822.46465598492,10610.0,1397-05-30
2018-08-25,3,0,0,2,17308,0,0,17308,252866840,0,0,252866840,14609.824358678068,,,14609.824358678068,17308.0,1397-06-03
2018-08-26,5,1,5,1,11146,1472,4119,8499,166674733,21912758,61598441,126989050,14953.77112865602,14954.70769604273,14886.384510869566,14941.646076008945,7027.0,1397-06-04
2018-08-27,6,0,2,1,27600,0,25000,2600,415635000,0,376245000,39390000,15059.239130434782,15049.8,,15150.0,2600.0,1397-06-05
2018-08-28,8,2,4,2,7687,37654,42837,2504,113120600,552407640,628492740,37035500,14715.83192402758,14671.726311366345,14670.623041376746,14790.535143769968,-35150.0,1397-06-06
2018-08-29,4,0,0,1,879,0,0,879,12833400,0,0,12833400,14600.0,,,14600.0,879.0,1397-06-07
2018-09-01,5,2,4,0,4300,134717,139017,0,61277400,1917151150,1978428550,0,14250.558139534884,14231.558370558996,14230.951921435306,,-134717.0,1397-06-10
2018-09-02,3,1,5,1,360,9034,9123,271,5085300,125685700,126922800,3848200,14125.833333333334,13912.39723775074,13912.519371264114,14200.0,-8763.0,1397-06-11
2018-09-03,2,1,1,1,2650,4,4,2650,37512500,56000,56000,37512500,14155.66037735849,14000.0,14000.0,14155.66037735849,2646.0,1397-06-12
2018-09-04,3,1,4,0,7340,2992,10332,0,106423000,43062400,149485400,0,14499.046321525886,14468.195896244675,14392.513368983957,,-2992.0,1397-06-13
