date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-09-15,0,1,1,0,0,1000,1000,0,0,10250000,10250000,0,,10250.0,10250.0,,-1000.0,1393-06-24
2014-09-16,0,1,1,0,0,100,100,0,0,1025000,1025000,0,,10250.0,10250.0,,-100.0,1393-06-25
2014-09-17,0,1,3,0,0,5500,5500,0,0,56400000,56400000,0,,10254.545454545454,10254.545454545454,,-5500.0,1393-06-26
2014-09-20,0,1,1,0,0,1000,1000,0,0,10270000,10270000,0,,10270.0,10270.0,,-1000.0,1393-06-29
2014-09-21,0,1,1,0,0,1000,1000,0,0,10270000,10270000,0,,10270.0,10270.0,,-1000.0,1393-06-30
2014-09-24,0,1,1,0,0,100,100,0,0,1029000,1029000,0,,10290.0,10290.0,,-100.0,1393-07-02
2014-09-27,0,1,1,0,0,2000,2000,0,0,20620000,20620000,0,,10310.0,10310.0,,-2000.0,1393-07-05
2014-10-04,1,1,2,1,101,200,200,101,1050400,2069000,2069000,1050400,10400.0,10345.0,10345.0,10400.0,-99.0,1393-07-12
2014-10-06,0,1,1,0,0,1000,1000,0,0,10365000,10365000,0,,10365.0,10365.0,,-1000.0,1393-07-14
2014-10-07,0,2,1,0,0,140000,140000,0,0,1451800000,1451800000,0,,10370.0,10370.0,,-140000.0,1393-07-15
2014-10-08,0,1,1,0,0,900,900,0,0,9333000,9333000,0,,10370.0,10370.0,,-900.0,1393-07-16
2014-10-11,0,1,1,0,0,10000,10000,0,0,103800000,103800000,0,,10380.0,10380.0,,-10000.0,1393-07-19
2014-10-21,1,0,0,1,100,0,0,100,1050000,0,0,1050000,10500.0,,,10500.0,100.0,1393-07-29
2014-11-05,1,0,0,1,10000,0,0,10000,105000000,0,0,105000000,10500.0,,,10500.0,10000.0,1393-08-14
2014-11-10,1,2,0,1,14500,110000,0,124500,156600000,1198000000,0,1354600000,10800.0,,10890.90909090909,10880.321285140562,14500.0,1393-08-19
2014-11-11,1,0,0,1,300,0,0,300,3270000,0,0,3270000,10900.0,,,10900.0,300.0,1393-08-20
2014-11-15,0,1,0,1,0,17200,0,17200,0,185760000,0,185760000,,,10800.0,10800.0,0.0,1393-08-24
2014-11-16,0,1,0,1,0,198000,0,198000,0,2148300000,0,2148300000,,,10850.0,10850.0,0.0,1393-08-25
2014-11-23,0,1,0,1,0,20000,0,20000,0,217200000,0,217200000,,,10860.0,10860.0,0.0,1393-09-02
2014-12-01,1,1,0,2,500,50000,0,50500,5300000,525000000,0,530300000,10600.0,,10500.0,10500.9900990099,500.0,1393-09-10
2014-12-06,0,1,1,0,0,200,200,0,0,2070000,2070000,0,,10350.0,10350.0,,-200.0,1393-09-15
2014-12-08,0,1,1,0,0,150000,150000,0,0,1555650000,1555650000,0,,10371.0,10371.0,,-150000.0,1393-09-17
2014-12-15,0,1,2,0,0,15200,15200,0,0,156560000,156560000,0,,10300.0,10300.0,,-15200.0,1393-09-24
2014-12-16,0,1,1,0,0,2800,2800,0,0,28560000,28560000,0,,10200.0,10200.0,,-2800.0,1393-09-25
2014-12-31,0,1,0,1,0,20000,0,20000,0,205000000,0,205000000,,,10250.0,10250.0,0.0,1393-10-10
2015-01-05,0,1,1,0,0,30000,30000,0,0,306000000,306000000,0,,10200.0,10200.0,,-30000.0,1393-10-15
2015-03-29,0,1,1,0,0,1000,1000,0,0,10960000,10960000,0,,10960.0,10960.0,,-1000.0,1394-01-09
2015-04-04,12,1,0,1,81465,19700,0,101165,989743450,230460000,0,1220203450,12149.30890566501,,11698.477157360408,12061.517817426977,81465.0,1394-01-15
2015-04-05,15,1,7,2,44765,15941,12666,48040,561322152,199203320,157942191,602583281,12539.308656316318,12469.776646139271,12496.287560378898,12543.365549542048,32099.0,1394-01-16
2015-04-06,2,1,2,1,1548,9350,9350,1548,18642600,112200000,112200000,18642600,12043.023255813954,12000.0,12000.0,12043.023255813954,-7802.0,1394-01-17
2015-04-07,1,1,3,0,100,1537,1637,0,1180100,19162500,20342600,0,11801.0,12426.756261453878,12467.46909564086,,-1537.0,1394-01-18
2015-04-08,1,1,1,0,472,10000,10472,0,5711200,121000000,126711200,0,12100.0,12100.0,12100.0,,-10000.0,1394-01-19
2015-04-11,0,1,2,0,0,10300,10300,0,0,124180000,124180000,0,,12056.31067961165,12056.31067961165,,-10300.0,1394-01-22
2015-04-12,0,1,2,0,0,33964,33964,0,0,396482400,396482400,0,,11673.60734895772,11673.60734895772,,-33964.0,1394-01-23
2015-04-13,0,1,3,0,0,1511,1511,0,0,17331500,17331500,0,,11470.218398411647,11470.218398411647,,-1511.0,1394-01-24
2015-04-18,0,1,1,0,0,84,84,0,0,940800,940800,0,,11200.0,11200.0,,-84.0,1394-01-29
2015-04-19,1,1,2,1,115,12525,12525,115,1288000,139653750,139653750,1288000,11200.0,11150.0,11150.0,11200.0,-12410.0,1394-01-30
2015-04-21,0,1,2,0,0,30115,30115,0,0,337278800,337278800,0,,11199.6945043998,11199.6945043998,,-30115.0,1394-02-01
2015-04-22,0,1,1,0,0,9500,9500,0,0,106875000,106875000,0,,11250.0,11250.0,,-9500.0,1394-02-02
2015-04-28,0,1,1,0,0,3000,3000,0,0,32700000,32700000,0,,10900.0,10900.0,,-3000.0,1394-02-08
2015-05-03,0,1,1,0,0,5000,5000,0,0,54500000,54500000,0,,10900.0,10900.0,,-5000.0,1394-02-13
2015-05-20,3,0,0,1,15000,0,0,15000,164550000,0,0,164550000,10970.0,,,10970.0,15000.0,1394-02-30
2015-06-07,0,1,2,0,0,70000,70000,0,0,724500000,724500000,0,,10350.0,10350.0,,-70000.0,1394-03-17
2015-06-29,0,1,1,0,0,124,124,0,0,1302000,1302000,0,,10500.0,10500.0,,-124.0,1394-04-08
2015-07-04,0,1,1,0,0,350,350,0,0,3916500,3916500,0,,11190.0,11190.0,,-350.0,1394-04-13
2015-07-05,1,0,0,1,9000,0,0,9000,101250000,0,0,101250000,11250.0,,,11250.0,9000.0,1394-04-14
2015-07-12,1,1,1,0,90,725,815,0,1035000,8214250,9249250,0,11500.0,11348.773006134968,11330.0,,-725.0,1394-04-21
2015-07-13,1,0,1,1,4141,0,90,4051,49692000,0,1080000,48612000,12000.0,12000.0,,12000.0,4051.0,1394-04-22
2015-07-14,3,0,0,1,16860,0,0,16860,200667720,0,0,200667720,11902.0,,,11902.0,16860.0,1394-04-23
2015-07-15,0,1,1,0,0,5000,5000,0,0,59500000,59500000,0,,11900.0,11900.0,,-5000.0,1394-04-24
2015-07-25,0,1,1,0,0,280,280,0,0,3248000,3248000,0,,11600.0,11600.0,,-280.0,1394-05-03
2015-08-01,1,1,1,1,5000,1680,1680,5000,59250000,19824000,19824000,59250000,11850.0,11800.0,11800.0,11850.0,3320.0,1394-05-10
2015-08-04,0,1,1,0,0,572,572,0,0,6692400,6692400,0,,11700.0,11700.0,,-572.0,1394-05-13
2015-08-17,0,1,1,0,0,414,414,0,0,4698900,4698900,0,,11350.0,11350.0,,-414.0,1394-05-26
2015-09-06,0,1,1,0,0,8500,8500,0,0,97826500,97826500,0,,11509.0,11509.0,,-8500.0,1394-06-15
2015-09-22,0,1,1,0,0,5000,5000,0,0,55000000,55000000,0,,11000.0,11000.0,,-5000.0,1394-06-31
