date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2017-12-20,155946,893,0,11,487222355,2771431,0,489993786,779555768000,4434289600,0,783990057600,1600.0,,1600.0,1600.0,487222355.0,1396-09-29
2017-12-23,6,0,177,0,425609,0,425609,0,715023120,0,715023120,0,1680.0,1680.0,,,0.0,1396-10-02
2017-12-24,26,0,432,2,1969518,0,919518,1050000,3342272046,0,1560422046,1781850000,1697.0,1697.0,,1697.0,1050000.0,1396-10-03
2017-12-25,39,0,718,3,2001605,0,1728498,273107,3564858505,0,3078454938,486403567,1781.0,1781.0,,1781.0,273107.0,1396-10-04
2017-12-26,2779,34,45229,325,118664004,26919893,144576166,1007731,221797684205,50328950670,270243507215,1883127660,1869.1235482413013,1869.212019462461,1869.5821216674224,1868.680888054451,-25912162.0,1396-10-05
2017-12-27,4704,30,40234,211,125570733,30404595,154515292,1460036,239441408376,57843376337,294496165216,2788619497,1906.8249635526136,1905.9354022772063,1902.4550840752852,1909.9662590511464,-28944559.0,1396-10-06
2017-12-30,1825,31,12830,37,37928042,15679914,53399600,208356,70356338798,29092434408,99062716344,386056862,1854.9952775837996,1855.120943677481,1855.3950237227064,1852.8713451976423,-15471558.0,1396-10-09
2017-12-31,1524,19,10689,22,28626269,32902115,61426351,102033,51185841872,59052330145,110056672309,181499708,1788.0724125103416,1791.6850100537472,1794.788272577614,1778.8333970382132,-32800082.0,1396-10-10
2018-01-01,895,2,2575,61,17480631,220000,17516729,183902,31953765764,404599677,32024253324,334112117,1827.9526502218368,1828.2096688257263,1839.0894409090909,1816.7943633021932,-36098.0,1396-10-11
2018-01-02,456,5,3176,12,13856275,5682122,18795435,742962,25514425337,10449827380,34594749376,1369503341,1841.3625117140068,1840.593174672467,1839.071280060513,1843.302000640679,-4939160.0,1396-10-12
2018-01-03,349,4,2573,5,7824285,8224087,13856350,2192022,14422642222,15195093272,25564734216,4053001278,1843.3175966877484,1844.9832904047605,1847.6328462964943,1848.9783761294368,-6032065.0,1396-10-13
2018-01-06,508,6,2456,7,10473855,6943354,14601674,2815535,19433043695,12886126240,27085451204,5233718731,1855.385977273888,1854.955206094863,1855.8935983963945,1858.8718417636435,-4127819.0,1396-10-16
2018-01-07,508,6,2267,6,10945866,3646435,14573664,18637,20388923850,6799819574,27154047544,34695880,1862.705413166944,1863.2272257683449,1864.7856259606983,1861.666577238826,-3627798.0,1396-10-17
2018-01-08,655,4,2363,23,15068223,790000,14423698,1434525,28639639868,1501971480,27407928020,2733683328,1900.6647212481523,1900.201184190074,1901.2297215189876,1905.636589114864,644525.0,1396-10-18
2018-01-09,398,7,2126,16,8340224,10427000,18667390,99834,15845356039,19804865325,35460079651,190141713,1899.8717587201493,1899.5735156869812,1899.3828833796877,1904.5787306929503,-10327166.0,1396-10-19
