date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-12-03,148,26,0,1,1966223,31572000,0,33538223,19662230000,315720000000,0,335382230000,10000.0,,10000.0,10000.0,1966223.0,1395-09-13
2016-12-04,280,21,0,1,7480801,22812926,0,30293727,74808010000,228129260000,0,302937270000,10000.0,,10000.0,10000.0,7480801.0,1395-09-14
2016-12-05,64,48,0,1,2964630,4978209,0,7942839,29646300000,49782090000,0,79428390000,10000.0,,10000.0,10000.0,2964630.0,1395-09-15
2016-12-06,40,2,0,1,1456473,2890000,0,4346473,14564730000,28900000000,0,43464730000,10000.0,,10000.0,10000.0,1456473.0,1395-09-16
2016-12-07,69,5,0,1,1353223,12525000,0,13878223,13532230000,125250000000,0,138782230000,10000.0,,10000.0,10000.0,1353223.0,1395-09-17
2016-12-26,12,2,1,1,151050,849150,200,1000000,1510500000,8491500000,2000000,10000000000,10000.0,10000.0,10000.0,10000.0,150850.0,1395-10-06
2016-12-27,26,1,68,3,304667,674968,554365,425270,3087202066,6838775776,5617015221,4308962621,10133.037270199924,10132.3410045728,10132.0,10132.298589131611,-249698.0,1395-10-07
2016-12-28,19,1,8,6,103036,6964057,34409,7032684,1045103714,70601609866,348996295,71297717285,10143.09284133701,10142.587549768956,10138.0,10138.05216969794,68627.0,1395-10-08
2016-12-31,16,1,12,1,78377,41600,45052,74925,796371664,422572800,457651966,761292498,10160.782678591931,10158.305202876676,10158.0,10160.727367367368,33325.0,1395-10-11
2017-01-01,6,1,108,23,153600,107823,57913,203510,1561369600,1095912972,588630782,2068651790,10165.166666666666,10164.052665204705,10164.0,10164.86555943197,95687.0,1395-10-12
2017-01-02,10,1,5,1,401649,121230,127350,395529,4087260934,1232909100,1295204580,4024965454,10176.200946597652,10170.432508833925,10170.0,10176.157636987427,274299.0,1395-10-13
2017-01-03,12,1,7,1,363795,69750,79684,353861,3702727368,709845750,810972870,3601600248,10178.060083288665,10177.361452738316,10177.0,10178.008449645482,284111.0,1395-10-14
2017-01-04,25,3,4,1,3683613,307046,130144,3860515,37510968786,3126552372,1325186918,39312334240,10183.200240090368,10182.46648328006,10182.683936608846,10183.183911991016,3553469.0,1395-10-15
2017-01-07,13,2,11,1,248543,856709,117738,987514,2535884229,8740885218,1201164105,10075605342,10203.0,10202.008739744178,10202.863770545193,10203.0,130805.0,1395-10-18
2017-01-08,6,2,11,2,78392,2129137,131499,2076030,800330428,21734260496,1342374154,21192216770,10209.33804469844,10208.246100730805,10208.014090215896,10208.049387532936,-53107.0,1395-10-19
2017-01-09,21,1,10,2,299031,2133102,134312,2297821,3054994116,21789636930,1371998290,23472632756,10216.312409081333,10215.009008874858,10215.0,10215.170266091223,164719.0,1395-10-20
2017-01-11,9,1,10,2,674960,1096867,104237,1667590,6903492680,11217658809,1066039169,17055112320,10228.0026668247,10227.070704260484,10227.0,10227.401411617964,570723.0,1395-10-22
2017-01-14,16,2,16,1,107893,333880,169509,272264,1105581029,3421134480,1736825338,2789890171,10247.013513388263,10246.213109628396,10246.599017611115,10247.0035370082,-61616.0,1395-10-25
2017-01-15,17,4,16,1,569262,589242,374111,784393,5836792673,6041204454,3835615698,8042381429,10253.26242222386,10252.614058394434,10252.501440834156,10253.0,195151.0,1395-10-26
2017-01-16,10,2,5,1,142366,220415,22277,340504,1460532894,2261217070,228519328,3493230636,10259.000702414902,10258.083583965525,10258.907379261847,10259.000293682306,120089.0,1395-10-27
2017-01-17,8,2,4,3,749279,380767,12757,1117289,7691430935,3908382488,130949848,11468863575,10265.10943854025,10264.940660029788,10264.498992822382,10264.90332850319,736522.0,1395-10-28
2017-01-18,5,4,5,1,402921,711400,13284,1101037,4138401591,7306779200,136429764,11308751027,10271.0,10270.232158988256,10270.98566207478,10271.0,389637.0,1395-10-29
2017-01-21,48,5,19,1,1183159,2184573,308440,3059292,11840865100,21861537438,3086291907,30616110631,10007.839267587871,10006.1337926339,10007.235939471924,10007.580391476198,874719.0,1395-11-02
2017-01-22,25,6,10,2,1203028,3144768,170568,4177228,12047320213,31491805984,1708184134,41830942063,10014.164435906729,10014.68114769476,10014.031554632966,10014.043299288429,1032460.0,1395-11-03
2017-01-23,43,4,12,34,1185513,1522097,764204,1943406,11879047110,15251189843,7657125432,19473111521,10020.174481427028,10019.740058937145,10019.854084857929,10020.094370913746,421309.0,1395-11-04
2017-01-24,26,2,13,1,1356760,201425,37007,1521178,13603035690,2019485625,371040545,15251480770,10026.11787641145,10026.225984273246,10025.99292540648,10026.098701138197,1319753.0,1395-11-05
2017-01-25,25,3,15,3,446561,649132,471100,624593,4479929952,6511943092,4725956068,6265916976,10032.067180071705,10031.747119507536,10031.770259361732,10032.0,-24539.0,1395-11-06
2017-01-28,28,3,21,3,464663,11017311,1139840,10342134,4669891018,110713159839,11454650167,103928400690,10050.059974648291,10049.3491779548,10049.018298475916,10049.028632775402,-675177.0,1395-11-09
2017-01-29,23,5,8,1,811083,1006100,6710,1810473,8156268848,10117341600,67478460,18206131988,10056.022439133849,10056.402384500743,10056.0,10056.008561298622,804373.0,1395-11-10
2017-01-30,19,5,8,2,316278,326091,357201,285168,3182681282,3280535180,3593728260,2869488202,10062.923383858504,10060.801229559827,10060.183139062408,10062.44810778208,-40923.0,1395-11-11
2017-01-31,10,3,8,2,226542,745458,260738,711262,2280370782,7503404770,2624337260,7159438292,10065.995629949412,10065.03562963588,10065.496339163306,10065.82425604067,-34196.0,1395-11-12
2017-02-01,23,2,7,3,494680,10855823,90870,11259633,4982548066,109328993433,915234640,113396306859,10072.26503193984,10071.911962143722,10071.0,10071.048217912608,403810.0,1395-11-13
2017-02-04,28,11,12,1,171441,414382,168495,417328,1730025131,4181408330,1700176613,4211256848,10091.081660746262,10090.368337339389,10090.709369615475,10091.0,2946.0,1395-11-16
2017-02-05,16,2,22,3,364690,879264,514167,729787,3682265650,8877249344,5191090155,7368424839,10096.974553730566,10096.116932825327,10096.22746296903,10096.678673366338,-149477.0,1395-11-17
2017-02-06,31,4,10,2,337782,1559327,170947,1726162,3412967788,15755986739,1727873070,17441081457,10104.054650632655,10107.653658736332,10104.350619850744,10103.965593611723,166835.0,1395-11-18
2017-02-07,16,2,11,2,549321,1723527,91395,2181453,5555394014,17433056097,924065712,22064384399,10113.20159615234,10110.681240768094,10114.75659911333,10114.535769966164,457926.0,1395-11-19
2017-02-08,32,6,6,3,694117,675478,86543,1283052,7022051866,6831809096,875405596,12978455366,10116.524830828232,10115.267508637326,10114.036424576374,10115.299587234187,607574.0,1395-11-20
2017-02-11,10,1,10,1,593316,148224,181590,559950,6014377770,1502102016,1840266636,5676213150,10136.887880994276,10134.184900049562,10134.0,10137.0,411726.0,1395-11-23
2017-02-12,18,3,11,3,459107,993930,693787,759250,4655656463,10077562370,7034621220,7698597613,10140.678454042303,10139.45378048306,10139.10674796012,10139.740023707604,-234680.0,1395-11-24
2017-02-13,10,1,4,2,211067,2942981,54474,3099574,2141509327,29856542245,552649626,31445401946,10146.11155225592,10145.200022028856,10145.0,10145.072176370044,156593.0,1395-11-25
2017-02-14,15,1,7,3,970063,1829180,1608660,1190583,9848075674,18568006180,16329691765,12086390089,10151.995977580838,10151.114446185024,10151.0,10151.656868105794,-638597.0,1395-11-26
