date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-08-05,5407460,3287,0,8,839477781,522219,0,840000000,8730568922400,5431077600,0,8736000000000,10400.0,,10400.0,10400.0,839477781.0,1399-05-15
2020-08-09,282,4,2008,3,13486486,400000,295504,13590982,147272427120,4368000000,3226903680,148413523440,10920.0,10920.0,10920.0,10920.0,13190982.0,1399-05-19
2020-08-12,45,0,3041,14,2290936,0,452113,1838823,26254126560,0,5181214980,21072911580,11460.0,11460.0,,11460.0,1838823.0,1399-05-22
2020-08-15,22,0,3619,1,536969,0,536808,161,6298646370,0,6296757840,1888530,11730.0,11730.0,,11730.0,161.0,1399-05-25
2020-08-16,11,0,3155,6,466683,0,465879,804,5511526230,0,5502030990,9495240,11810.0,11810.0,,11810.0,804.0,1399-05-26
2020-08-17,23,1,11151,35,1573173,66323,1633887,5609,18673563510,787254010,19394238690,66578830,11870.0,11870.0,11870.0,11870.0,-60714.0,1399-05-27
2020-08-18,27,0,10820,31,1703345,0,1698383,4962,20593441050,0,20533450470,59990580,12090.0,12090.0,,12090.0,4962.0,1399-05-28
2020-08-19,22,0,9665,10,1422220,0,1416155,6065,17521750400,0,17447029600,74720800,12320.0,12320.0,,12320.0,6065.0,1399-05-29
2020-08-22,51,0,13365,14,2443010,0,1971709,471301,30562055100,0,24666079590,5895975510,12510.0,12510.0,,12510.0,471301.0,1399-06-01
2020-08-23,174,5,18892,39,11997990,500000,3195741,9302249,154414131300,6435000000,41129186670,119719944630,12870.0,12870.0,12870.0,12870.0,8802249.0,1399-06-02
2020-08-24,64,0,19621,11,3115816,0,3114130,1686,42094674160,0,42071896300,22777860,13510.0,13510.0,,13510.0,1686.0,1399-06-03
2020-08-25,32,0,14999,33,2311388,0,2206485,104903,32382545880,0,30912854850,1469691030,14010.0,14010.0,,14010.0,104903.0,1399-06-04
2020-08-26,20,0,10894,25,1570071,0,1566073,3998,22593321690,0,22535790470,57531220,14390.0,14390.0,,14390.0,3998.0,1399-06-05
2020-08-31,82,0,21854,19,4420624,0,3329313,1091311,64762141600,0,48774435450,15987706150,14650.0,14650.0,,14650.0,1091311.0,1399-06-10
2020-09-01,91,1,25418,17,5229032,100000,3715811,1613221,80422512160,1538000000,57149173180,24811338980,15380.0,15380.0,15380.0,15380.0,1513221.0,1399-06-11
2020-09-02,104,1,26993,13,6440904,100000,4339298,2201606,103956190560,1614000000,70036269720,35533920840,16140.0,16140.0,16140.0,16140.0,2101606.0,1399-06-12
2020-09-05,68,0,10707,7,4182173,0,1622987,2559186,70846010620,0,27493399780,43352610840,16940.0,16940.0,,16940.0,2559186.0,1399-06-15
2020-09-07,7445,2,6382,30,19040922,2680,12211889,6831713,306591019980,43148000,196643588680,109990579300,16101.689822583172,16102.634791390588,16100.0,16100.0,6829033.0,1399-06-17
2020-09-08,2374,0,67,0,2548427,0,2548427,0,38990933100,0,38990933100,0,15300.0,15300.0,,,0.0,1399-06-18
2020-09-09,31400,14,288325,435,228420016,1950988,190575972,39795032,3486675566170,28982767000,2914623414240,601034918930,15264.317143599184,15293.761242052067,14855.430684350698,15103.265124400452,37844044.0,1399-06-19
2020-09-12,16704,6,78491,80,89457871,7389533,49428801,47418603,1428409737340,118345861250,788356670640,758398927950,15967.401430110043,15949.338334951724,16015.336997615412,15993.700361649204,40029070.0,1399-06-22
2020-09-13,5199,4,8204,1,11364831,1010840,12275671,100000,174381446930,15348151200,188139598130,1590000000,15343.95425061754,15326.217045895088,15183.561394483797,15900.0,-910840.0,1399-06-23
2020-09-14,13251,4,100295,83,79016299,190106,77520743,1685662,1200926144540,2931270260,1179084637820,24772776980,15198.46107370835,15209.924365921002,15419.135955729962,14696.17098801539,1495556.0,1399-06-24
2020-09-15,2367,2,44145,29,18321512,1700000,19408364,613148,290491260860,27118418760,307842789850,9766889770,15855.201298888433,15861.346677648871,15952.011035294116,15929.090154416226,-1086852.0,1399-06-25
2020-09-16,17164,11,96621,98,66709651,1058208,65278266,2489593,1044623518320,16662600110,1023214593080,38071525350,15659.256234453993,15674.659511942304,15746.053809837009,15292.268796546265,1431385.0,1399-06-26
2020-09-19,5629,4,113676,44,39953846,2355338,40536598,1772586,597446331490,35073089580,606056005580,26463415490,14953.4122820116,14950.835429751653,14890.89446185643,14929.270280821354,-582752.0,1399-06-29
