date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2017-08-09,81518,701,0,1,9914835,85165,0,10000000,34404477450,295522550,0,34700000000,3470.0,,3470.0,3470.0,9914835.0,1396-05-18
2017-08-12,3,0,215,1,25673,0,25551,122,93526739,0,93082293,444446,3643.0,3643.0,,3643.0,122.0,1396-05-21
2017-08-13,3,0,187,3,22759,0,22394,365,87053175,0,85657050,1396125,3825.0,3825.0,,3825.0,365.0,1396-05-22
2017-08-14,5,0,225,7,27120,0,26270,850,108913920,0,105500320,3413600,4016.0,4016.0,,4016.0,850.0,1396-05-23
2017-08-15,3,0,243,3,29408,0,29042,366,123984128,0,122441072,1543056,4216.0,4216.0,,4216.0,366.0,1396-05-24
2017-08-16,4,0,288,2,34925,0,34683,242,154578050,0,153506958,1071092,4426.0,4426.0,,4426.0,242.0,1396-05-25
2017-08-19,4,0,304,0,36049,0,36049,0,167519703,0,167519703,0,4647.0,4647.0,,,0.0,1396-05-28
2017-08-20,5,0,325,8,39789,0,38815,974,194130531,0,189378385,4752146,4879.0,4879.0,,4879.0,974.0,1396-05-29
2017-08-21,3,0,214,0,24739,0,24739,0,126713158,0,126713158,0,5122.0,5122.0,,,0.0,1396-05-30
2017-08-22,3,0,194,5,23904,0,23295,609,128555712,0,125280510,3275202,5378.0,5378.0,,5378.0,609.0,1396-05-31
2017-08-23,5,0,291,6,35063,0,34333,730,197965698,0,193844118,4121580,5646.0,5646.0,,5646.0,730.0,1396-06-01
2017-08-26,5,0,386,13,46613,0,45028,1585,276321864,0,266925984,9395880,5928.0,5928.0,,5928.0,1585.0,1396-06-04
2017-08-27,5,1,431,6,50000,2168,51439,729,311200000,13493632,320156336,4537296,6224.0,6224.0,6224.0,6224.0,-1439.0,1396-06-05
2017-08-28,8,1,335,3,79412,10000,39169,50243,518957420,65350000,255969415,328338005,6535.0,6535.0,6535.0,6535.0,40243.0,1396-06-06
2017-08-29,33,0,2351,16,285891,0,283946,1945,1961498151,0,1948153506,13344645,6861.0,6861.0,,6861.0,1945.0,1396-06-07
2017-08-30,15,1,1019,11,113706,9544,121910,1340,819138024,68754976,878239640,9653360,7204.0,7204.0,7204.0,7204.0,-8204.0,1396-06-08
2017-09-02,29,0,1679,6,203189,0,202458,731,1536921596,0,1531392312,5529284,7564.0,7564.0,,7564.0,731.0,1396-06-11
2017-09-03,28,1,2535,8,292938,10000,301968,970,2326513596,79420000,2398229856,7703740,7942.0,7942.0,7942.0,7942.0,-9030.0,1396-06-12
2017-09-04,17,0,1353,6,219272,0,218175,1097,1828509208,0,1819361325,9147883,8339.0,8339.0,,8339.0,1097.0,1396-06-13
2017-09-05,33,1,2657,19,378393,10000,385713,2680,3221613563,87550000,3286156515,23007048,8513.935413710084,8519.693437867016,8755.0,8584.719402985074,-7320.0,1396-06-14
2017-09-06,226,3,13350,134,3900158,79000,1943113,2026057,35850252336,726168000,17861094696,18623515944,9192.0,9192.0,9192.0,9192.0,1947057.0,1396-06-15
2017-09-10,44,2,5657,28,904186,80000,980899,3287,8726299086,772080000,9466656249,31722837,9651.0,9651.0,9651.0,9651.0,-76713.0,1396-06-19
2017-09-11,14,1,1145,13,143237,10000,151651,1586,1451420521,101330000,1536679583,16070938,10133.0,10133.0,10133.0,10133.0,-8414.0,1396-06-20
2017-09-12,1392,7,29718,196,8671589,1500000,8108396,2063193,91480242441,15586123848,85469812947,21596553342,10549.420924008276,10540.902657812963,10390.749232,10467.53907268976,563193.0,1396-06-21
2017-09-13,547,4,6674,33,2527087,1013975,3497173,43889,25419640508,10184778911,35165191671,439227748,10058.8703546811,10055.319445449224,10044.408304938484,10007.695504568344,-970086.0,1396-06-22
2017-09-16,214,2,1866,17,708051,56536,702658,61929,7245333930,571117250,7188975559,627475621,10232.785392577653,10231.116074961075,10101.83334512523,10132.177509728885,5393.0,1396-06-25
2017-09-17,419,4,959,8,1556737,151508,1596757,111488,15245289215,1486382428,15648531372,1083140271,9793.105203383744,9800.19587952331,9810.58708451039,9715.308113877729,-40020.0,1396-06-26
2017-09-18,216,2,1191,6,890313,21600,911186,727,8416329102,208877747,8618283902,6922947,9453.224991660236,9458.314660234024,9670.266064814814,9522.62310866575,-20873.0,1396-06-27
2017-09-19,10,1,290,9,388633,76,287734,100975,3853507395,729600,2851555245,1002681750,9915.543443299975,9910.38683297768,9600.0,9930.0,100899.0,1396-06-28
2017-09-20,168,3,693,6,1865535,46500,1336550,575485,19411921235,484065000,13905795545,5990190690,10405.551884580029,10404.24641427556,10410.0,10408.943221804217,528985.0,1396-06-29
2017-09-23,318,2,821,13,1666597,12000,1486203,192394,18030103121,132000000,16061033421,2101069700,10818.514086488814,10806.756157133312,11000.0,10920.66124723224,180394.0,1396-07-01
2017-09-24,170,1,420,5,674872,40000,713989,883,7110610396,417000000,7518164177,9446219,10536.235606159393,10529.803928351836,10425.0,10697.869762174403,-39117.0,1396-07-02
2017-09-25,123,1,277,3,415154,20000,431910,3244,4312797856,206000000,4485046795,33751061,10388.429007067258,10384.216144567155,10300.0,10404.14950678175,-16756.0,1396-07-03
2017-09-26,201,1,310,1,899711,30122,889833,40000,9533818159,316844400,9419592559,431070000,10596.533952569214,10585.798187974597,10518.70393732156,10776.75,9878.0,1396-07-04
2017-09-27,166,2,242,2,613919,24716,638512,123,6363139897,256683060,6618561623,1261334,10364.787369343512,10365.602561893904,10385.299401197604,10254.747967479674,-24593.0,1396-07-05
2017-10-02,158,2,354,1,505046,344525,849495,76,5017022818,3468238128,8484484986,775960,9933.7937890806,9987.680899828722,10066.72412161672,10210.0,-344449.0,1396-07-10
2017-10-03,59,2,210,1,177270,58577,235725,122,1746879537,581212840,2326888237,1204140,9854.343865290237,9871.19837522537,9922.202229544018,9870.0,-58455.0,1396-07-11
