date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-08-04,97,3,0,1,17324,4050000,0,4067324,173240000,40500000000,0,40673240000,10000.0,,10000.0,10000.0,17324.0,1397-05-13
2018-08-05,107,3,0,1,9842,1060000,0,1069842,98420000,10600000000,0,10698420000,10000.0,,10000.0,10000.0,9842.0,1397-05-14
2018-08-06,105,1,0,1,27327,73600,0,100927,273270000,736000000,0,1009270000,10000.0,,10000.0,10000.0,27327.0,1397-05-15
2018-08-07,101,1,0,1,2000,1000000,0,1002000,20000000,10000000000,0,10020000000,10000.0,,10000.0,10000.0,2000.0,1397-05-16
2018-08-08,120,1,0,1,58445,4000000,0,4058445,584450000,40000000000,0,40584450000,10000.0,,10000.0,10000.0,58445.0,1397-05-17
2018-10-15,13,4,9,2,1883381,1500010,590,3382801,19574099483,15589603880,6130100,35157573263,10393.064113421557,10390.0,10392.999966666888,10393.036203725847,1882791.0,1397-07-23
2018-10-16,10,4,11,1,123974,2400331,331,2523974,1289329600,24963440745,3440745,26249329600,10400.0,10395.0,10399.99931051176,10400.0,123643.0,1397-07-24
2018-10-17,8,5,13,2,83617,4088600,120600,4051617,870130119,42531411190,1254363190,42147178119,10406.138931078607,10401.021475953565,10402.438778555006,10402.557329332954,-36983.0,1397-07-25
2018-10-20,4,2,9,1,8000,125090,90,133000,83352000,1303312350,937350,1385727000,10419.0,10415.0,10418.997122072107,10419.0,7910.0,1397-07-28
2018-10-21,4,2,5,1,74187,1000950,950,1074187,773183475,10434900900,9900900,11198183475,10422.08843867524,10422.0,10424.997152704933,10424.798917693102,73237.0,1397-07-29
2018-10-22,2,2,5,1,11520,1021600,21600,1011520,120165120,10656244800,225244800,10551165120,10431.0,10428.0,10430.93657008614,10431.0,-10080.0,1397-07-30
2018-10-23,2,4,6,1,112510,3612050,2050,3722510,1174042690,37691737650,21387650,38844392690,10435.007466003022,10433.0,10434.998864910507,10435.000225654196,110460.0,1397-08-01
2018-10-24,3,8,2,1,1350,3979960,20,3981290,14099400,41557097350,208810,41570987940,10444.0,10440.5,10441.586686800872,10441.58751058074,1330.0,1397-08-02
2018-10-27,7,2,3,2,761,250021,30,250752,7962323,2615969630,313780,2623618173,10462.973718791063,10459.333333333334,10462.999628031246,10462.999988035988,731.0,1397-08-05
2018-10-28,3,2,2,1,2952,1770,2270,2452,30906940,18522210,23756710,25672440,10469.830623306232,10465.51101321586,10464.525423728814,10470.0,682.0,1397-08-06
2018-10-29,3,3,2,1,12774,152230,2380,162624,133807650,1594595570,24916820,1703486400,10475.0,10469.252100840336,10474.910135978454,10475.0,10394.0,1397-08-07
2018-10-31,1,2,5,1,51300,127040,77040,101300,537777900,1331529200,807379200,1061927900,10483.0,10480.0,10481.180730478589,10483.0,-25740.0,1397-08-09
2018-11-03,10,1,3,1,30982,50000,52020,28962,325492832,525250000,546468060,304274772,10505.868956168097,10504.960784313726,10505.0,10506.0,-21038.0,1397-08-12
2018-11-04,6,2,1,1,83425,50101,101,133425,876880175,526611308,1061308,1402430175,10511.0,10508.0,10510.993952216522,10511.0,83324.0,1397-08-13
2018-11-05,2,1,4,1,15553,630,780,15403,163570751,6623820,8201220,161993351,10516.990355558411,10514.384615384615,10514.0,10517.0,14773.0,1397-08-14
2018-11-06,4,2,11,1,86966,211160,171732,126394,915317150,2221773788,1806794088,1330296850,10525.0,10521.009992313604,10521.75501041864,10525.0,-84766.0,1397-08-15
2018-11-10,1,1,9,1,200,71624,71624,200,2110000,755346704,755346704,2110000,10550.0,10546.0,10546.0,10550.0,-71424.0,1397-08-19
2018-11-11,2,1,3,1,49698,2061,2061,49698,524661786,21749733,21749733,524661786,10557.0,10553.0,10553.0,10557.0,47637.0,1397-08-20
2018-11-12,5,1,2,1,2800,25000,700,27100,29644555,264075000,7462255,286257300,10587.341071428573,10660.364285714286,10563.0,10563.0,2100.0,1397-08-21
2018-11-13,0,2,3,1,0,55910,15655,40255,0,590985315,165449710,425535605,,10568.489939316512,10570.29717402969,10571.0,-15655.0,1397-08-22
2018-11-14,0,1,0,1,0,25000,0,25000,0,264425000,0,264425000,,,10577.0,10577.0,0.0,1397-08-23
