,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
20,2019-04-09,0,1,0,1,0,1656639,0,1656639,0,13816369260,0,13816369260,,,8340.0,8340.0,0.0,1398-01-20
19,2019-04-13,0,1,0,1,0,40001,0,40001,0,390809770,0,390809770,,,9770.0,9770.0,0.0,1398-01-24
18,2019-09-14,0,2,0,2,0,15012,0,15012,0,224721672,0,224721672,,,14969.469224620305,14969.469224620305,0.0,1398-06-23
17,2019-09-23,1,1,0,2,490,1383226,0,1383716,6943300,19904622140,0,19911565440,14170.0,,14390.0,14389.922093840063,490.0,1398-07-01
16,2019-09-30,0,1,1,0,0,490,490,0,0,7133910,7133910,0,,14559.0,14559.0,,-490.0,1398-07-08
15,2019-12-02,0,1,0,1,0,368152,0,368152,0,5074239016,0,5074239016,,,13783.0,13783.0,0.0,1398-09-11
14,2019-12-04,0,1,0,1,0,400074,0,400074,0,5847881658,0,5847881658,,,14617.0,14617.0,0.0,1398-09-13
13,2019-12-10,0,1,0,1,0,200000,0,200000,0,2960400000,0,2960400000,,,14802.0,14802.0,0.0,1398-09-19
12,2019-12-16,0,1,0,1,0,400000,0,400000,0,7344000000,0,7344000000,,,18360.0,18360.0,0.0,1398-09-25
11,2019-12-17,0,1,0,1,0,500000,0,500000,0,9575000000,0,9575000000,,,19150.0,19150.0,0.0,1398-09-26
10,2020-01-19,0,1,0,1,0,1126666,0,1126666,0,27033224004,0,27033224004,,,23994.0,23994.0,0.0,1398-10-29
9,2020-02-19,0,1,0,1,0,5000,0,5000,0,239425000,0,239425000,,,47885.0,47885.0,0.0,1398-11-30
8,2020-06-08,0,1,0,1,0,59674,0,59674,0,4998771632,0,4998771632,,,83768.0,83768.0,0.0,1399-03-19
7,2020-06-15,0,1,0,1,0,28228,0,28228,0,2244408280,0,2244408280,,,79510.0,79510.0,0.0,1399-03-26
6,2020-07-26,0,1,0,1,0,500,0,500,0,33630000,0,33630000,,,67260.0,67260.0,0.0,1399-05-05
5,2020-08-11,0,1,0,1,0,65000,0,65000,0,4555200000,0,4555200000,,,70080.0,70080.0,0.0,1399-05-21
4,2021-01-19,0,1,0,1,0,0,0,0,0,0,0,0,,,,,0.0,1399-10-30
3,2021-01-23,0,1,0,1,0,19,0,19,0,763990,0,763990,,,40210.0,40210.0,0.0,1399-11-04
2,2021-04-18,0,1,0,1,0,1000000,0,1000000,0,32295000000,0,32295000000,,,32295.0,32295.0,0.0,1400-01-29
1,2021-04-19,0,1,0,1,0,120000,0,120000,0,3830400000,0,3830400000,,,31920.0,31920.0,0.0,1400-01-30
0,2021-05-01,0,1,0,1,0,617823,0,617823,0,19442889810,0,19442889810,,,31470.0,31470.0,0.0,1400-02-11
