date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-01-21,0,1,3,0,0,34000,34000,0,0,31851000,31851000,0,,936.7941176470588,936.7941176470588,,-34000.0,1387-11-02
2009-01-25,1,1,3,0,11000,41995,52995,0,9999000,39349315,49348315,0,909.0,931.1881309557506,937.0,,-41995.0,1387-11-06
2009-01-26,0,1,2,0,0,30000,30000,0,0,27900000,27900000,0,,930.0,930.0,,-30000.0,1387-11-07
2009-01-27,0,1,2,0,0,12614,12614,0,0,11428284,11428284,0,,906.0,906.0,,-12614.0,1387-11-08
2009-01-28,0,1,4,0,0,5000,5000,0,0,4510000,4510000,0,,902.0,902.0,,-5000.0,1387-11-09
2009-01-31,1,2,6,0,3000,47589,50589,0,2865000,43786352,46651352,0,955.0,922.1639486844966,920.0939712958876,,-47589.0,1387-11-12
2009-02-08,0,1,3,0,0,10000,10000,0,0,8980000,8980000,0,,898.0,898.0,,-10000.0,1387-11-20
2009-02-09,0,1,1,0,0,7000,7000,0,0,6265000,6265000,0,,895.0,895.0,,-7000.0,1387-11-21
2009-02-15,0,1,1,0,0,8000,8000,0,0,7144000,7144000,0,,893.0,893.0,,-8000.0,1387-11-27
2009-02-21,0,1,1,0,0,6500,6500,0,0,5791500,5791500,0,,891.0,891.0,,-6500.0,1387-12-03
2009-02-28,0,1,1,0,0,3500,3500,0,0,3111500,3111500,0,,889.0,889.0,,-3500.0,1387-12-10
2009-03-11,1,0,1,0,10,0,10,0,8880,0,8880,0,888.0,888.0,,,0.0,1387-12-21
2009-03-14,0,1,1,0,0,5000,5000,0,0,4310000,4310000,0,,862.0,862.0,,-5000.0,1387-12-24
2009-03-16,0,1,2,0,0,3500,3500,0,0,3013500,3013500,0,,861.0,861.0,,-3500.0,1387-12-26
2009-03-17,0,1,1,0,0,3520,3520,0,0,3027200,3027200,0,,860.0,860.0,,-3520.0,1387-12-27
2009-03-18,0,1,1,0,0,2520,2520,0,0,2164680,2164680,0,,859.0,859.0,,-2520.0,1387-12-28
2009-03-28,0,1,2,0,0,1888,1888,0,0,1619904,1619904,0,,858.0,858.0,,-1888.0,1388-01-08
2009-03-29,0,1,1,0,0,2100,2100,0,0,1799700,1799700,0,,857.0,857.0,,-2100.0,1388-01-09
2009-03-30,0,1,2,0,0,2550,2550,0,0,2182800,2182800,0,,856.0,856.0,,-2550.0,1388-01-10
2009-03-31,0,1,1,0,0,3200,3200,0,0,2736000,2736000,0,,855.0,855.0,,-3200.0,1388-01-11
2009-04-04,0,1,1,0,0,2600,2600,0,0,2220400,2220400,0,,854.0,854.0,,-2600.0,1388-01-15
2009-04-05,0,1,2,0,0,2664,2664,0,0,2272392,2272392,0,,853.0,853.0,,-2664.0,1388-01-16
2009-04-06,1,0,4,0,60000,0,60000,0,51120000,0,51120000,0,852.0,852.0,,,0.0,1388-01-17
2009-04-07,0,1,1,1,0,2112,1656,456,0,1765632,1384416,381216,,836.0,836.0,836.0,-1656.0,1388-01-18
2009-04-08,0,1,1,0,0,2420,2420,0,0,2020700,2020700,0,,835.0,835.0,,-2420.0,1388-01-19
2009-04-11,1,1,1,0,1000,2350,3350,0,834000,1959900,2793900,0,834.0,834.0,834.0,,-2350.0,1388-01-22
2009-04-12,0,1,1,0,0,2105,2105,0,0,1753465,1753465,0,,833.0,833.0,,-2105.0,1388-01-23
