date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2012-11-06,22,0,20,0,98392,0,98392,0,460023180,0,460023180,0,4675.412431905033,4675.412431905033,,,0.0,1391-08-16
2012-11-07,6,0,15,0,57730,0,57730,0,272606000,0,272606000,0,4722.085570760437,4722.085570760437,,,0.0,1391-08-17
2012-11-11,1,0,2,0,500,0,500,0,2479000,0,2479000,0,4958.0,4958.0,,,0.0,1391-08-21
2012-11-17,6,0,4,0,26400,0,26400,0,124547900,0,124547900,0,4717.723484848485,4717.723484848485,,,0.0,1391-08-27
2012-11-18,2,0,3,0,8500,0,8500,0,39525000,0,39525000,0,4650.0,4650.0,,,0.0,1391-08-28
2012-11-19,3,0,8,2,64000,0,34000,30000,297841960,0,158091960,139750000,4653.780625,4649.7635294117645,,4658.333333333333,30000.0,1391-08-29
2012-11-20,3,0,6,0,89420,0,89420,0,395415240,0,395415240,0,4422.0,4422.0,,,0.0,1391-08-30
2012-11-21,4,0,2,1,58500,0,15878,42622,245758500,0,66703478,179055022,4201.0,4201.0,,4201.0,42622.0,1391-09-01
2012-11-26,2,0,1,0,6000,0,6000,0,26460000,0,26460000,0,4410.0,4410.0,,,0.0,1391-09-06
2012-11-27,3,0,3,0,48089,0,48089,0,209892490,0,209892490,0,4364.667387552247,4364.667387552247,,,0.0,1391-09-07
2012-11-28,1,0,1,0,150000,0,150000,0,687400000,0,687400000,0,4582.666666666667,4582.666666666667,,,0.0,1391-09-08
2012-12-01,2,0,2,0,7000,0,7000,0,30478000,0,30478000,0,4354.0,4354.0,,,0.0,1391-09-11
2012-12-02,4,1,2,1,10500,35000,8000,37500,43441000,144830000,33096000,155175000,4137.238095238095,4137.0,4138.0,4138.0,2500.0,1391-09-12
2012-12-03,2,1,4,0,8579,2500,11079,0,33732628,10345000,44077628,0,3932.0,3978.484339741854,4138.0,,-2500.0,1391-09-13
2012-12-22,1,0,1,0,1000,0,1000,0,3780000,0,3780000,0,3780.0,3780.0,,,0.0,1391-10-02
