date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2017-02-05,29430,85,0,1,338551464,1448536,0,340000000,812812633191,3473106250,0,816285739441,2400.853990077562,,2397.666506044724,2400.8404101205883,338551464.0,1395-11-17
2017-02-06,1854,19,8546,21,34727418,71895000,106243901,378517,82118807005,171625880528,252843243742,901443791,2364.6677966383795,2379.837725856847,2387.174080645386,2381.514677015828,-71516483.0,1395-11-18
2017-02-07,668,8,2626,3,10837123,15960636,26737759,60000,25299099660,37812060759,62970440419,140720000,2334.4848683548207,2355.1128731095228,2369.082332245406,2345.333333333333,-15900636.0,1395-11-19
2017-02-08,1196,8,2717,1,14859138,16630300,31487638,1800,33692601132,38167295587,71855839519,4057200,2267.4667354189723,2282.033333811828,2295.045524554578,2254.0,-16628500.0,1395-11-20
2017-02-11,762,7,2148,0,13381647,10438621,23820268,0,29612448612,23002787292,52615235904,0,2212.9150927385845,2208.8431542415897,2203.6231885418583,,-10438621.0,1395-11-23
2017-02-12,309,5,1279,2,4716734,8960000,13606734,70000,10352885561,19705997213,29904882774,154000000,2194.926735533528,2197.80020495734,2199.33004609375,2200.0,-8890000.0,1395-11-24
2017-02-13,231,3,796,2,2572605,7362334,9524939,410000,5826562573,16687709462,21584482813,929789222,2264.849276511552,2266.101947004595,2266.6330353933954,2267.7785902439023,-6952334.0,1395-11-25
2017-02-14,202,1,447,2,1948067,2693451,4621508,20010,4328205024,6066742224,10349690098,45257150,2221.794745252602,2239.4616860989963,2252.4048976573176,2261.72663668166,-2673441.0,1395-11-26
2017-02-15,321,2,527,2,4060666,2375083,6395749,40000,8971548272,5323048562,14206125945,88470889,2209.378528546795,2221.182529989842,2241.2052808259755,2211.772225,-2335083.0,1395-11-27
2017-02-18,313,1,592,0,3774164,2738963,6513127,0,8260128792,6070829613,14330958405,0,2188.598267589856,2200.319202281792,2216.470106752081,,-2738963.0,1395-11-30
