date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-03-17,334636,705,0,1,149683921,316079,0,150000000,224525881500,474118500,0,225000000000,1500.0,,1500.0,1500.0,149683921.0,1397-12-26
2019-03-18,7,0,793,10,341729,0,337237,4492,538223175,0,531148275,7074900,1575.0,1575.0,,1575.0,4492.0,1397-12-27
2019-03-19,17,0,2170,9,946251,0,942203,4048,1564152903,0,1557461559,6691344,1653.0,1653.0,,1653.0,4048.0,1397-12-28
2019-03-25,19,1,3445,3,1416420,100000,1515070,1350,2457488700,173500000,2628646450,2342250,1735.0,1735.0,1735.0,1735.0,-98650.0,1398-01-05
2019-03-26,59,0,8655,12,3849504,0,3844109,5395,7009946784,0,7000122489,9824295,1821.0,1821.0,,1821.0,5395.0,1398-01-06
2019-03-27,3637,2,130251,285,74412303,731987,74917040,227250,138309850655,1362479137,139249780197,422549595,1858.6960096504472,1858.7197278082529,1861.3433530923364,1859.4041584158413,-504737.0,1398-01-07
2019-03-30,729,2,17742,43,15894325,816710,16691857,19178,30598191900,1575915525,32137120389,36987036,1925.1016888103145,1925.3172603263972,1929.5900931787291,1928.617999791428,-797532.0,1398-01-10
2019-03-31,52,1,3429,3,2713357,100000,2812009,1348,5483694497,202100000,5683070189,2724308,2021.0,2021.0,2021.0,2021.0,-98652.0,1398-01-11
2019-04-06,35,1,4436,13,2347358,400000,2741966,5392,4981093676,848800000,5818451852,11441824,2122.0,2122.0,2122.0,2122.0,-394608.0,1398-01-17
2019-04-07,25,0,2621,7,1845825,0,1842681,3144,4112498100,0,4105493268,7004832,2228.0,2228.0,,2228.0,3144.0,1398-01-18
2019-04-08,1241,3,13650,35,25025712,1010002,24871336,1164378,56306906048,2362391767,56020336141,2648961674,2249.962200795725,2252.4055861333704,2338.997117827489,2275.001480618837,154376.0,1398-01-19
2019-04-09,31,0,1080,1,1717152,0,1716703,449,4189020042,0,4187958157,1061885,2439.5161534913623,2439.535643032021,,2365.0,449.0,1398-01-20
2019-04-10,543,2,8496,7,10724862,120000,10841943,2919,27166023823,306800000,27465401533,7422290,2532.995186604732,2533.254558984492,2556.6666666666665,2542.75094210346,-117081.0,1398-01-21
2019-04-13,25,0,2644,11,1841461,0,1836519,4942,4896444799,0,4883304021,13140778,2659.0,2659.0,,2659.0,4942.0,1398-01-24
