date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-08-05,120,2,509,0,10651825,220000,10871825,0,266295625000,5500000000,271795625000,0,25000.0,25000.0,25000.0,,-220000.0,1399-05-15
2020-08-09,140,0,33,0,625465,0,625465,0,14854793750,0,14854793750,0,23750.0,23750.0,,,0.0,1399-05-19
2020-08-10,36,0,4,0,49758,0,49758,0,1122689754,0,1122689754,0,22563.0,22563.0,,,0.0,1399-05-20
2020-08-11,40,0,3,0,154923,0,154923,0,3320774505,0,3320774505,0,21435.0,21435.0,,,0.0,1399-05-21
2020-08-12,645,5,3256,3,32265769,3595687,33976188,1885268,658693759499,73254451728,693556613675,38391597552,20414.630734479008,20413.0202503883,20372.86663939325,20364.0,-1710419.0,1399-05-22
2020-08-15,56,0,3,0,313674,0,313674,0,6082138860,0,6082138860,0,19390.0,19390.0,,,0.0,1399-05-25
2020-08-16,19,0,1,0,42161,0,42161,0,776647781,0,776647781,0,18421.0,18421.0,,,0.0,1399-05-26
2020-08-17,24,0,3,0,234812,0,234812,0,4109210000,0,4109210000,0,17500.0,17500.0,,,0.0,1399-05-27
2020-08-18,835,3,1966,3,23410112,3102991,26093603,419500,390874580032,51587300150,435447687592,7014192590,16696.82656930475,16687.90958427627,16625.02409771733,16720.363742550657,-2683491.0,1399-05-28
2020-08-19,16,0,1,0,11092,0,11092,0,175852568,0,175852568,0,15854.0,15854.0,,,0.0,1399-05-29
2020-08-22,17,0,1,0,46717,0,46717,0,703651454,0,703651454,0,15062.0,15062.0,,,0.0,1399-06-01
2020-08-23,15,0,4,0,13177,0,13177,0,188549693,0,188549693,0,14309.0,14309.0,,,0.0,1399-06-02
2020-08-24,8,0,1,0,19524,0,19524,0,265409256,0,265409256,0,13594.0,13594.0,,,0.0,1399-06-03
2020-08-25,150,1,25,1,1850200,400000,2226200,24000,23895333000,5166000000,28751373000,309960000,12915.0,12915.0,12915.0,12915.0,-376000.0,1399-06-04
2020-08-26,1208,2,2272,2,43479100,3795973,46675073,600000,542269609021,46898212419,581642192940,7525628500,12471.960298649235,12461.516513107545,12354.727607124709,12542.714166666668,-3195973.0,1399-06-05
2020-08-31,499,1,612,2,12610574,1000000,12617332,993242,152804186525,11840000000,152553025691,12091160834,12117.147603669746,12090.751490964967,11840.0,12173.42886627831,-6758.0,1399-06-10
2020-09-01,32,0,1,0,41704,0,41704,0,479304072,0,479304072,0,11493.0,11493.0,,,0.0,1399-06-11
2020-09-02,23,0,1,0,80352,0,80352,0,877363488,0,877363488,0,10919.0,10919.0,,,0.0,1399-06-12
2020-09-05,239,0,367,0,5220441,0,5220441,0,54168725994,0,54168725994,0,10376.2739573151,10376.2739573151,,,0.0,1399-06-15
