date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2012-07-14,164,2,54,5,6737524,1646977,4664501,3720000,12354079185,3052689694,8612965476,6793803403,1833.623031992168,1846.492363491829,1853.510822555506,1826.2912373655915,2073023.0,1391-04-24
2012-07-15,10,4,36,0,119756,784493,904249,0,217310203,1433474317,1650784520,0,1814.608061391496,1825.5862268025733,1827.2620877432944,,-784493.0,1391-04-25
2012-07-16,11,1,22,0,375298,271800,647098,0,694385043,502755300,1197140343,0,1850.223137346855,1850.01397469935,1849.7251655629136,,-271800.0,1391-04-26
2012-07-17,18,1,19,0,448099,70000,518099,0,833174167,129500000,962674167,0,1859.352881840843,1858.0892203999624,1850.0,,-70000.0,1391-04-27
2012-07-18,19,0,15,0,406948,0,406948,0,766301796,0,766301796,0,1883.0459813047369,1883.0459813047369,,,0.0,1391-04-28
2012-07-21,2,1,2,1,512343,1000000,12343,1500000,957884132,1870000000,22883922,2805000210,1869.6149493600967,1854.0,1870.0,1870.00014,500000.0,1391-04-31
2012-07-22,5,0,16,1,988501,0,528501,460000,1875370078,0,1005970078,869400000,1897.1858177179383,1903.4402546068975,,1890.0,460000.0,1391-05-01
2012-07-23,3,1,2,0,15010,18490,33500,0,27882990,34483850,62366840,0,1857.6275816122584,1861.6967164179105,1865.0,,-18490.0,1391-05-02
2012-07-24,7,1,6,0,79607,162867,242474,0,147318856,301533844,448852700,0,1850.5766578315977,1851.137441540124,1851.41154438898,,-162867.0,1391-05-03
2012-07-25,1,1,5,0,3000,70000,73000,0,5607000,129540000,135147000,0,1869.0,1851.328767123288,1850.571428571429,,-70000.0,1391-05-04
2012-07-28,3,1,12,1,87900,625879,613779,100000,162747900,1158503829,1136149929,185101800,1851.5119453924915,1851.0733162913689,1851.0028759552565,1851.018,-525879.0,1391-05-07
2012-07-29,5,1,17,2,20610,2799550,760160,2060000,38143500,5179167440,1406309940,3811001000,1850.7278020378455,1850.01833824458,1849.999978567984,1850.000485436893,-739550.0,1391-05-08
2012-07-30,1,1,15,1,6000,534258,480258,60000,11184000,991254800,890838800,111600000,1864.0,1854.917148699241,1855.3859745665952,1860.0,-474258.0,1391-05-09
2012-07-31,0,1,1,0,0,200000,200000,0,0,368000000,368000000,0,,1840.0,1840.0,,-200000.0,1391-05-10
2012-08-01,4,2,11,0,21020,199580,220600,0,36894000,357045040,393939040,0,1755.185537583254,1785.7617407071623,1788.982062330895,,-199580.0,1391-05-11
2012-08-05,1,1,5,2,1000,323023,193023,131000,1830000,593389527,354939527,240280000,1830.0,1838.8457696751163,1836.9884714091563,1834.1984732824428,-192023.0,1391-05-15
2012-08-06,1,1,8,1,10000,200000,160000,50000,17460000,357370000,284880000,89950000,1746.0,1780.5,1786.85,1799.0,-150000.0,1391-05-16
