date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-08-24,49,3,95,1,3678773,7500000,11162561,16212,67431909090,137475000000,204609743130,297165960,18330.0,18330.0,18330.0,18330.0,-7483788.0,1399-06-03
2020-08-25,361,4,335,1,10593818,1668321,11437501,824638,201377628101,32035494500,217542139653,15870982948,19008.97562153701,19020.076120911377,19202.236559990557,19246.0,-843683.0,1399-06-04
2020-08-26,8,0,69,0,767863,0,767863,0,15346509918,0,15346509918,0,19986.0,19986.0,,,0.0,1399-06-05
2020-08-31,855,3,486,0,18509581,2920000,21429581,0,368511337176,58479883736,426991220912,0,19909.2209151574,19925.318227733896,20027.35744383561,,-2920000.0,1399-06-10
2020-09-01,248,3,338,1,5686018,7513237,12650776,548479,110815582736,142571253239,242572278835,10814557140,19489.13681525454,19174.49797822679,18976.009040976613,19717.358622663767,-6964758.0,1399-06-11
2020-09-05,273,0,385,1,7989026,0,7986026,3000,159320604569,0,159260535569,60069000,19942.4316016746,19942.40133565806,,20023.0,3000.0,1399-06-15
2020-09-06,342,1,222,1,6731728,165395,6895123,2000,140929824511,3458326991,144346273502,41878000,20935.16323163978,20934.54656312875,20909.50144200248,20939.0,-163395.0,1399-06-16
2020-09-07,1090,1,843,3,19442531,200000,19350644,291887,422636953384,4396200000,420628092117,6405061267,21737.75386465888,21737.16244880532,21981.0,21943.63321079733,91887.0,1399-06-17
2020-09-08,647,8,699,1,7133650,8187489,15321128,11,149889630410,170051009871,319940409767,230514,21011.63225137202,20882.30120961068,20769.616896095984,20955.81818181818,-8187478.0,1399-06-18
2020-09-09,268,2,532,0,6171915,584900,6756815,0,134312647319,12513281800,146825929119,0,21761.908146661124,21730.050196579305,21393.882373055225,,-584900.0,1399-06-19
2020-09-12,13,0,125,0,1072465,0,1072465,0,24469361440,0,24469361440,0,22816.0,22816.0,,,0.0,1399-06-22
2020-09-13,812,3,382,3,13685779,580000,10543940,3721839,319273440020,13541260000,245921046726,86893653294,23328.846682384687,23323.44898832884,23347.0,23346.967263763963,3141839.0,1399-06-23
2020-09-14,696,2,256,2,7357045,167830,5522875,2002000,180118990233,4110278410,135188276643,49040992000,24482.518488469217,24477.880930312564,24490.725198117143,24496.0,1834170.0,1399-06-24
2020-09-15,15,0,120,2,1503108,0,1001108,502000,38640397356,0,25735483356,12904914000,25707.0,25707.0,,25707.0,502000.0,1399-06-25
2020-09-16,102,1,161,4,5210165,70918,3899407,1381676,138314250255,1882660146,103517557629,36679352772,26547.0,26547.0,26547.0,26547.0,1310758.0,1399-06-26
2020-09-19,54,0,187,3,1929525,0,1376194,553331,53783579850,0,38360031556,15423548294,27874.0,27874.0,,27874.0,553331.0,1399-06-29
2020-09-20,1539,6,644,14,19539072,268401,14028402,5779071,550528417503,7503880747,396134170499,161898127751,28175.770963073373,28238.01103639602,27957.722761837696,28014.559390427978,5510670.0,1399-06-30
2020-09-21,104,0,3,0,335146,0,335146,0,8970182690,0,8970182690,0,26765.0,26765.0,,,0.0,1399-06-31
2020-09-22,1018,24,1366,5,13351826,6945022,20170838,126010,373784791298,189773087941,560003771797,3554107442,27995.03163821937,27763.03948289109,27325.05209357148,28204.96343147369,-6819012.0,1399-07-01
2020-09-23,216,0,126,0,1527486,0,1527486,0,44042053958,0,44042053958,0,28833.032812084693,28833.032812084693,,,0.0,1399-07-02
2020-09-28,341,5,830,0,5545188,12945024,18490212,0,151548873524,352105767900,503654641424,0,27329.79901204432,27238.986844715462,27200.08614120762,,-12945024.0,1399-07-07
2020-09-29,553,6,729,1,7345986,1661197,9006719,464,192065685085,43450190669,235503811754,12064000,26145.66446015552,26147.569581553504,26155.953007981592,26000.0,-1660733.0,1399-07-08
2020-09-30,386,3,412,0,3828041,1631708,5459749,0,96759463896,41173492618,137932956514,0,25276.49622770498,25263.607633610995,25233.370565076595,,-1631708.0,1399-07-09
2020-10-03,0,1,227,1,0,1992636,1971717,20919,0,52858655172,52303736859,554918313,,26527.0,26527.0,26527.0,-1971717.0,1399-07-12
2020-10-04,61,0,215,1,1563892,0,1563732,160,43559083876,0,43554627396,4456480,27853.0,27853.0,,27853.0,160.0,1399-07-13
2020-10-05,7,4,167,0,615896,800000,1415896,0,17832036888,23162400000,40994436888,0,28953.0,28953.0,28953.0,,-800000.0,1399-07-14
2020-10-06,25,0,38,1,265133,0,264591,542,7951073537,0,7934819499,16254038,29989.0,29989.0,,29989.0,542.0,1399-07-15
2020-10-07,36,2,231,1,1946872,671502,2118374,500000,58774118808,20271973878,63951592686,15094500000,30189.0,30189.0,30189.0,30189.0,-171502.0,1399-07-16
2020-10-10,19,0,146,1,1771385,0,1471385,300000,56149361730,0,46639961730,9509400000,31698.0,31698.0,,31698.0,300000.0,1399-07-19
2020-10-11,50,2,130,3,2706398,250000,1206398,1750000,90074338236,8320500000,40151338236,58243500000,33282.0,33282.0,33282.0,33282.0,1500000.0,1399-07-20
2020-10-12,21,1,198,1,1216340,200000,1400182,16158,42506217640,6989200000,48930760172,564657468,34946.0,34946.0,34946.0,34946.0,-183842.0,1399-07-21
2020-10-13,27,0,162,1,1501473,0,1087473,414000,54713676120,0,39627516120,15086160000,36440.0,36440.0,,36440.0,414000.0,1399-07-22
2020-10-14,32,0,217,1,1930853,0,1903853,27000,73548121623,0,72519664623,1028457000,38091.0,38091.0,,38091.0,27000.0,1399-07-23
