date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-12-21,355,1,66,1,2277897,100000,2308453,69444,13351727478,582800000,13532527942,401999536,5861.427219053364,5862.16307717766,5828.0,5788.830366914348,-30556.0,1395-10-01
2016-12-24,156,0,42,0,891084,0,891084,0,5011904446,0,5011904446,0,5624.502792104897,5624.502792104897,,,0.0,1395-10-04
2016-12-25,42,0,3,0,138837,0,138837,0,741944928,0,741944928,0,5344.0,5344.0,,,0.0,1395-10-05
2016-12-26,54,4,22,0,210375,1101888,1312263,0,1108676250,5806949760,6915626010,0,5270.0,5270.0,5270.0,,-1101888.0,1395-10-06
2016-12-27,228,2,131,0,2484949,13800,2498749,0,12631660266,69600000,12701260266,0,5083.267409512228,5083.04766345079,5043.478260869565,,-13800.0,1395-10-07
2016-12-28,154,0,53,0,1291084,0,1291084,0,6274836260,0,6274836260,0,4860.13013870515,4860.13013870515,,,0.0,1395-10-08
2016-12-31,89,2,56,0,792259,132103,924362,0,3740959224,625299999,4366259223,0,4721.8892104728375,4723.538205811144,4733.427696570101,,-132103.0,1395-10-11
2017-01-01,53,1,22,0,246906,104705,351611,0,1164928165,494091040,1659019205,0,4718.103914040161,4718.337040081226,4718.886777135763,,-104705.0,1395-10-12
2017-01-02,23,0,45,0,403221,0,403221,0,1986012057,0,1986012057,0,4925.368611753852,4925.368611753852,,,0.0,1395-10-13
2017-01-03,121,0,101,2,1755410,0,1662078,93332,8979885679,0,8501495851,478389828,5115.54889114224,5114.980073739018,,5125.678523978914,93332.0,1395-10-14
2017-01-04,67,1,42,1,537861,144879,676240,6500,2755632397,742521514,3464884976,33268935,5123.316985243399,5123.750408139123,5125.114847562449,5118.297692307692,-138379.0,1395-10-15
