date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-09-05,15,0,12617,25,918520,0,916585,1935,17842251000,0,17804663625,37587375,19425.0,19425.0,,19425.0,1935.0,1399-06-15
2020-09-06,56,0,12587,35,2776961,0,917407,1859554,54856087594,0,18122457878,36733629716,19754.0,19754.0,,19754.0,1859554.0,1399-06-16
2020-09-07,31,0,16134,23,2820823,0,1176008,1644815,58506689843,0,24391581928,34115107915,20741.0,20741.0,,20741.0,1644815.0,1399-06-17
2020-09-08,53,1,23784,12,2248441,100000,1729551,618890,48966548098,2177800000,37666161678,13478186420,21778.0,21778.0,21778.0,21778.0,518890.0,1399-06-18
2020-09-09,45,0,20749,21,2700442,0,1439059,1261383,61364844008,0,32701176716,28663667292,22724.0,22724.0,,22724.0,1261383.0,1399-06-19
2020-09-12,45,0,12785,44,2213252,0,945337,1267915,52805979468,0,22554795483,30251183985,23859.0,23859.0,,23859.0,1267915.0,1399-06-22
2020-09-13,20,0,15899,15,1442816,0,1139281,303535,36143983616,0,28540128331,7603855285,25051.0,25051.0,,25051.0,303535.0,1399-06-23
2020-09-14,47,0,17728,27,2266052,0,1263004,1003048,58629563396,0,32677702492,25951860904,25873.0,25873.0,,25873.0,1003048.0,1399-06-24
2020-09-15,40,0,21805,28,2231253,0,1829438,401815,60614218998,0,49698512708,10915706290,27166.0,27166.0,,27166.0,401815.0,1399-06-25
2020-09-16,78,0,44547,24,3394799,0,3288407,106392,96833246676,0,93798521268,3034725408,28524.0,28524.0,,28524.0,106392.0,1399-06-26
2020-09-19,5385,11,149909,218,38205376,1210175,30078300,9337251,1144208301658,36244741250,900802375458,279650667450,29948.882106486795,29948.580054657345,29950.0,29950.0,8127076.0,1399-06-29
2020-09-23,18247,4,205630,402,54084993,16497,50733236,3368254,1616808304758,502471217,1514697165864,102613610111,29893.84328399562,29856.11179748124,30458.338910104867,30464.926371645368,3351757.0,1399-07-02
2020-09-26,1262,0,412,0,1071440,0,1071440,0,30428896000,0,30428896000,0,28400.0,28400.0,,,0.0,1399-07-05
2020-09-27,493,0,39,0,252867,0,252867,0,6951566697,0,6951566697,0,27491.0,27491.0,,,0.0,1399-07-06
2020-09-28,226,0,6,0,95116,0,95116,0,2595049828,0,2595049828,0,27283.0,27283.0,,,0.0,1399-07-07
2020-09-29,328,0,7,0,164427,0,164427,0,4473236535,0,4473236535,0,27205.0,27205.0,,,0.0,1399-07-08
2020-09-30,405,1,29,0,228319,923,229242,0,6180823649,24986533,6205810182,0,27071.0,27071.0,27071.0,,-923.0,1399-07-09
2020-10-03,1036,2,329,0,922067,1001000,1923067,0,24789771295,26911885000,51701656295,0,26885.0,26885.0,26885.0,,-1001000.0,1399-07-12
2020-10-04,591,2,479,2,444458,1325000,1769303,155,11351901778,33841825000,45189767923,3958855,25541.0,25541.0,25541.0,25541.0,-1324845.0,1399-07-13
2020-10-05,439,1,67,0,321203,223,321426,0,7793669592,5410872,7799080464,0,24264.0,24264.0,24264.0,,-223.0,1399-07-14
2020-10-07,12115,4,299321,175,47119697,44524,44568325,2595896,1229750427704,1149937075,1162616153572,68284211207,26098.436662357995,26086.153194494076,25827.353225226845,26304.679080749,2551372.0,1399-07-16
2020-10-10,8333,7,128146,78,30583664,1030702,31538323,76043,769385573380,25557786451,793009591453,1933768378,25156.74947841436,25144.31700927789,24796.484775424902,25429.93277487737,-954659.0,1399-07-19
2020-10-11,11099,4,99435,54,30163590,225923,25088326,5301187,752177786608,5429410217,629540149828,128067046997,24936.61353333605,25092.951591429417,24032.12695033264,24158.183251600065,5075264.0,1399-07-20
2020-10-12,3364,5,48928,9,11487240,1023465,12497391,13314,273007745904,24240107230,296931804674,316048460,23766.17411179709,23759.503457481645,23684.35386652206,23738.054679284964,-1010151.0,1399-07-21
2020-10-13,5989,6,84630,27,21394494,866366,22258800,2060,488264169390,19629179527,507846409603,46939314,22821.95453605961,22815.534063067196,22656.91350653188,22786.074757281556,-864306.0,1399-07-22
2020-10-14,3922,5,63415,27,13626819,343500,13947908,22411,300596412793,7570354227,307669031275,497735745,22059.17703852968,22058.43566468893,22038.876934497817,22209.439337825173,-321089.0,1399-07-23
2020-10-18,5096,1,59895,38,16755863,10000,16103466,662397,373606881570,220355393,358978573850,14848663113,22297.08380702325,22292.006817041747,22035.5393,22416.56153786929,652397.0,1399-07-27
2020-10-19,1998,0,18549,4,7358295,0,7333063,25232,157956821715,0,157420035932,536785783,21466.497567031493,21467.1598937579,,21274.008520925807,25232.0,1399-07-28
2020-10-20,3747,4,56608,16,27757461,117346,27495688,379119,605338263903,2506034694,599316684871,8527613726,21808.128052598186,21796.751725979724,21355.94476164505,22493.23754810495,261773.0,1399-07-29
2020-10-21,3776,1,32295,21,15204231,250,14608944,595537,334553620674,5450000,321059958990,13499111684,22003.98169917308,21976.94501327406,21800.0,22667.125105576983,595287.0,1399-07-30
2020-10-24,915,4,3665,0,2078748,1050272,3129020,0,43699944242,21954885888,65654830130,0,21022.24235068416,20982.55368454021,20904.0,,-1050272.0,1399-08-03
2020-10-26,2461,3,43229,9,17972113,70500,17992016,50597,359818741766,1421517500,360231599450,1008659816,20020.94810810504,20021.747393399382,20163.36879432624,19935.170385595982,-19903.0,1399-08-05
2020-10-27,3049,5,51181,14,23079969,1408222,24487109,1082,468853778943,27207115203,496039593132,21301014,20314.315800987428,20257.17258546119,19320.189006420864,19686.70425138632,-1407140.0,1399-08-06
2020-10-28,3336,4,36397,15,20081471,66787,19104174,1044084,440647903378,1429607519,418862398784,23215112113,21943.00922367689,21925.17712537585,21405.475900998696,22234.908410625965,977297.0,1399-08-07
2020-10-31,7522,3,32168,28,45666841,78000,38000687,7744154,1097587513474,1840635000,912626847519,186801300955,24034.671315977383,24016.061802224787,23597.884615384617,24121.589130975444,7666154.0,1399-08-10
2020-11-01,10692,3,33636,20,69783184,873162,69801611,854735,1661897841225,20186936440,1661690943761,20393833904,23815.16213454806,23805.911066450888,23119.34834543876,23859.83246737293,-18427.0,1399-08-11
2020-11-02,6528,2,30543,14,44010132,114300,42756554,1367878,1082755613249,2845947000,1052080327953,33521232296,24602.41685366906,24606.29376148976,24898.923884514435,24506.010255300545,1253578.0,1399-08-12
2020-11-04,3977,3,21789,20,22717235,120000,22391524,445711,578267436717,3020470000,569813094200,11474812517,25455.009675121117,25447.713795630883,25170.58333333333,25744.96145933127,325711.0,1399-08-14
2020-11-07,4884,1,12478,11,21848407,1043000,22832384,59023,511349216506,24102192777,534048263130,1403146153,23404.416464138558,23389.947503072828,23108.52615244487,23772.870796130323,-983977.0,1399-08-17
2020-11-08,3740,4,19005,9,28286133,3053119,31184866,154386,602530751693,64278242394,663466926312,3342067775,21301.27690812314,21275.28546417355,21053.303979962784,21647.479531822835,-2898733.0,1399-08-18
2020-11-09,5251,2,30909,10,34015699,149000,31362773,2801926,762493486084,3304365000,701957689195,63840161889,22415.928777003817,22381.87577338904,22176.946308724837,22784.385415246517,2652926.0,1399-08-19
2020-11-10,5325,3,26499,24,25852833,173500,25187384,838949,604624970944,4009000500,588911270883,19722700561,23387.184334653,23381.200321676915,23106.63112391931,23508.819440752657,665449.0,1399-08-20
2020-11-11,6580,2,24682,10,38432401,483305,38335896,579810,908343628085,11325351000,905856071713,13812907372,23634.83947008671,23629.4482777447,23433.134356151917,23823.16167710112,96505.0,1399-08-21
2020-11-14,6598,3,32353,19,38722232,32176,34582576,4171832,991060898544,813995846,883908133171,107966761219,25594.105694733717,25559.34911184754,25298.22992292392,25879.93984872833,4139656.0,1399-08-24
2020-11-15,8671,3,24600,16,50720873,734290,50911163,544000,1265851993962,18049389632,1270244859429,13656524165,24957.220155930678,24950.222791590917,24580.73735445124,25103.904715073528,-190290.0,1399-08-25
2020-11-16,6293,2,28082,15,34623656,110352,34548323,185685,870515894919,2764595190,868771233599,4509256510,25142.229200723345,25146.5529484311,25052.51549586777,24284.4414465358,75333.0,1399-08-26
