date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-04-29,62053,126,0,1,293314764,611388,0,293926152,645292480800,1345053600,0,646637534400,2200.0,,2200.0,2200.0,293314764.0,1398-02-09
2019-04-30,24,3,714,2,1918674,243721,2153750,8645,4432136940,562995510,4975162500,19969950,2310.0,2310.0,2310.0,2310.0,-235076.0,1398-02-10
2019-05-01,42,1,1471,1,4711239,300000,5006343,4896,11137368996,709200000,11834994852,11574144,2364.0,2364.0,2364.0,2364.0,-295104.0,1398-02-11
2019-05-04,104,15,2953,3,9684445,1800000,11469760,14685,24036792490,4467600000,28467944320,36448170,2482.0,2482.0,2482.0,2482.0,-1785315.0,1398-02-14
2019-05-05,179,20,5143,16,17736727,3900000,21564190,72537,46221910562,10163400000,56196279140,189031422,2606.0,2606.0,2606.0,2606.0,-3827463.0,1398-02-15
2019-05-06,3813,14,47847,180,212750035,18290104,230068872,971267,554624985178,47664011024,599757712654,2531283548,2606.932521435308,2606.8616212192323,2606.0,2606.1665309333066,-17318837.0,1398-02-16
2019-05-07,6576,53,53477,96,225032603,48769608,272641229,1160982,572263347583,122783630114,692076597431,2970380266,2543.024166071616,2538.415044450229,2517.625938555832,2558.506734815872,-47608626.0,1398-02-17
2019-05-08,9145,23,60880,141,372938241,28688953,386508086,15119108,981006682221,75857919860,1016820381410,40044220671,2630.480262872801,2630.786827600807,2644.1508639231274,2648.5835454710686,-13569845.0,1398-02-18
2019-05-11,8449,16,32363,128,250230074,11219699,250311859,11137914,655215306716,28765120049,654195913394,29784513371,2618.4514764440346,2613.5234503372053,2563.804969188567,2674.15544517582,-81785.0,1398-02-21
2019-05-12,4338,22,21870,20,143991058,18757497,162122764,625791,362049771929,47297808662,407776236940,1571343651,2514.390663960536,2515.231216635315,2521.5415821204715,2510.971955493128,-18131706.0,1398-02-22
2019-05-13,2358,11,16306,33,83826288,61885051,143371022,2340317,218102265572,161216049567,373195842182,6122472957,2601.836139660628,2603.007476517814,2605.088740526367,2616.087033081416,-59544734.0,1398-02-23
2019-05-14,4838,13,11962,34,119621023,4353491,117509823,6464691,318202553675,11610375139,312480397327,17332531487,2660.088884835904,2659.1853289320334,2666.911482991466,2681.1074940782164,2111200.0,1398-02-24
2019-05-15,3363,13,8829,16,60895803,26535315,86080167,1350951,157769050650,68948841357,223191921254,3525970753,2590.8033538863097,2592.837921120669,2598.380360549705,2609.99159332944,-25184364.0,1398-02-25
2019-05-18,3477,12,9673,51,75695236,21700000,96471908,923328,195064085793,55916529892,248604791921,2375823764,2576.9664790132897,2576.965637717044,2576.7986125345624,2573.109191966452,-20776672.0,1398-02-28
2019-05-19,3002,12,8798,18,66504666,10822482,77250372,76776,168123000809,27405798129,195334672387,194126551,2527.988048372425,2528.591996773815,2532.3024911475945,2528.4796160258416,-10745706.0,1398-02-29
2019-05-20,2530,17,10026,21,58380979,13066015,70490785,956209,147539349438,32795163551,177924140812,2410372177,2527.181831568806,2524.076598267419,2509.9591230378965,2520.758722204037,-12109806.0,1398-02-30
2019-05-21,2106,4,15800,13,42289937,4695042,46747948,237031,107708134372,11968167298,119075471104,600830566,2546.897489395645,2547.1807041455595,2549.10761139091,2534.8185089714,-4458011.0,1398-02-31
2019-05-22,2027,8,5296,8,34043871,9443282,43057387,429766,85773244533,23839780513,108531909435,1081115611,2519.49152706518,2520.6339027261456,2524.522778521281,2515.591300847438,-9013516.0,1398-03-01
2019-05-25,2107,9,5687,16,38836742,5764386,44085865,515263,97258456145,14443666037,110409764331,1292357851,2504.2897816969303,2504.425496267341,2505.6729436578325,2508.151858371356,-5249123.0,1398-03-04
2019-05-26,2412,12,14176,22,49088450,9580003,58088532,579921,123443362587,24084531179,146071075127,1456818639,2514.7129841541137,2514.628448985421,2514.0421332853443,2512.0984392701766,-9000082.0,1398-03-05
2019-05-28,2574,62,9529,18,82608093,28579265,105162480,6024878,213705007706,74034396984,272134268128,15605136562,2586.9742290988365,2587.750575376313,2590.493386866317,2590.1166068424955,-22554387.0,1398-03-07
2019-05-29,2075,12,4265,6,40405952,9295000,49237062,463890,103383279754,23724925195,125925574699,1182630250,2558.6151207129087,2557.5363269847417,2552.439504572351,2549.376468559357,-8831110.0,1398-03-08
2019-06-01,2088,8,4256,6,43078230,13680000,55080093,1678137,108321553648,34351700789,138445334692,4227919745,2514.531206319294,2513.5276131795927,2511.0892389619885,2519.4127446090515,-12001863.0,1398-03-11
2019-06-02,1270,8,4837,19,35006900,10100000,44779757,327143,88946172730,25640630203,113754446834,832356099,2540.8183166747126,2540.309605387095,2538.6762577227723,2544.3188422188464,-9772857.0,1398-03-12
2019-06-03,1685,14,4226,3,41440239,3778068,44854376,363931,105783470339,9663305030,114504178948,942596421,2552.675199074021,2552.798392468998,2557.73719001352,2590.0415765625903,-3414137.0,1398-03-13
2019-06-08,1376,11,3996,6,29861733,15150718,44883081,129370,75442519262,38443826021,113560951768,325393515,2526.3945418706944,2530.150543096629,2537.4260164435773,2515.2161629434954,-15021348.0,1398-03-18
2019-06-09,1922,20,7202,20,52705915,30383071,79089026,3999960,136791398316,79017561000,205428192073,10380767243,2595.370905068245,2597.429788463952,2600.7101454622543,2595.2177629276293,-26383111.0,1398-03-19
