date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-09-22,170050,429,0,1,39899368,100397,0,39999765,67828925600,170674900,0,67999600500,1700.0,,1700.0,1700.0,39899368.0,1397-06-31
2018-09-23,4,0,300,0,66995,0,66995,0,119586075,0,119586075,0,1785.0,1785.0,,,0.0,1397-07-01
2018-09-24,12,0,501,3,115918,0,115213,705,217230332,0,215909162,1321170,1874.0,1874.0,,1874.0,705.0,1397-07-02
2018-09-25,12,0,495,3,113687,0,112983,704,223622329,0,222237561,1384768,1967.0,1967.0,,1967.0,704.0,1397-07-03
2018-09-26,16,0,659,1,151038,0,151036,2,311893470,0,311889340,4130,2065.0,2065.0,,2065.0,2.0,1397-07-04
2018-09-29,4,1,828,4,172438,20000,191498,940,373845584,43360000,415167664,2037920,2168.0,2168.0,2168.0,2168.0,-19060.0,1397-07-07
2018-09-30,13,0,648,3,151139,0,150434,705,343992364,0,342387784,1604580,2276.0,2276.0,,2276.0,705.0,1397-07-08
2018-10-01,31,0,1495,10,348609,0,346265,2344,832826901,0,827227085,5599816,2389.0,2389.0,,2389.0,2344.0,1397-07-09
2018-10-02,114,0,1989,9,1474150,0,472271,1001879,3697168200,0,1184455668,2512712532,2508.0,2508.0,,2508.0,1001879.0,1397-07-10
2018-10-03,114,0,991,6,1231932,0,230760,1001172,3243676956,0,607591080,2636085876,2633.0,2633.0,,2633.0,1001172.0,1397-07-11
2018-10-06,104,1,1956,11,1487395,10000,495171,1002224,4111159780,27640000,1368652644,2770147136,2764.0,2764.0,2764.0,2764.0,992224.0,1397-07-14
2018-10-07,327,0,12484,32,5345449,0,3338172,2007277,15512492998,0,9687375144,5825117854,2902.0,2902.0,,2902.0,2007277.0,1397-07-15
2018-10-08,382,0,15316,21,6496214,0,4491517,2004697,19793964058,0,13685652299,6108311759,3047.0,3047.0,,3047.0,2004697.0,1397-07-16
2018-10-09,257,1,4631,9,13439687,30000,3468276,10001411,45074814971,100740000,11590854198,33584700773,3353.858982802204,3341.964191431132,3358.0,3357.9962640271456,9971411.0,1397-07-17
2018-10-10,235,0,3691,5,6505656,0,1504953,5000703,22906414776,0,5298939513,17607475263,3521.0,3521.0,,3521.0,5000703.0,1397-07-18
2018-10-13,2050,3,32075,112,44451982,48078,28414458,16085602,164267796613,177744366,104977154036,59468386943,3695.398702649524,3694.497851621875,3697.0,3696.994799635102,16037524.0,1397-07-21
2018-10-14,656,2,7861,10,9943956,11000,8545235,1409721,38525377731,42669000,33099739674,5468307057,3874.250623293184,3873.473306936556,3879.0,3878.999502029125,1398721.0,1397-07-22
2018-10-15,22,0,473,0,223903,0,223903,0,910613501,0,910613501,0,4067.0,4067.0,,,0.0,1397-07-23
2018-10-16,743,0,2647,6,14532275,0,6101335,8430940,65124734232,0,27328830212,37795904020,4481.386034327041,4479.155826061018,,4483.0,8430940.0,1397-07-24
2018-10-17,84,2,1728,3,2512773,47000,2559536,237,11822596965,221135000,12042616880,1115085,4705.0,4705.0,4705.0,4705.0,-46763.0,1397-07-25
2018-10-20,12,0,438,2,142518,0,142049,469,704038920,0,701722060,2316860,4940.0,4940.0,,4940.0,469.0,1397-07-28
2018-10-21,16,0,112,0,176054,0,176054,0,913192098,0,913192098,0,5187.0,5187.0,,,0.0,1397-07-29
2018-10-23,3125,1,13563,66,45715080,20000,38693278,7041802,253946547959,114360000,213798371096,40262536863,5554.9842187523245,5525.465459297608,5718.0,5717.646827189972,7021802.0,1397-08-01
2018-10-24,1115,3,3892,1,7450456,502030,7952251,235,39848349730,2649869260,42496978660,1240330,5348.444407966438,5344.018776570307,5278.308587136227,5278.0,-501795.0,1397-08-02
2018-10-27,108,1,108,0,558915,400000,958915,0,2837611455,2030800000,4868411455,0,5077.0,5077.0,5077.0,,-400000.0,1397-08-05
2018-10-28,94,1,131,1,513964,400000,913729,235,2479362336,1929600000,4407828696,1133640,4824.0,4824.0,4824.0,4824.0,-399765.0,1397-08-06
2018-10-29,129,2,215,2,792934,400001,1192465,470,3634016522,1833204583,5465067095,2154010,4583.0,4583.0,4583.0,4583.0,-399531.0,1397-08-07
2018-10-31,63,0,157,2,1076373,0,1056373,20000,4686528042,0,4599448042,87080000,4354.0,4354.0,,4354.0,20000.0,1397-08-09
2018-11-03,439,1,4782,27,10460394,8297,10062592,406099,49833575985,39817303,47925346433,1948046855,4764.02475709806,4762.723802475545,4799.0,4796.975257264854,397802.0,1397-08-12
2018-11-04,1511,2,13998,22,25889289,400002,25925992,363299,123125385906,1895609858,123268360509,1752635255,4755.842692551349,4754.624644989476,4739.00094999525,4824.22262378922,-36703.0,1397-08-13
2018-11-05,625,0,3900,8,9355796,0,7454615,1901181,46574936876,0,37110525735,9464411141,4978.19072540701,4978.194814219111,,4978.174692993461,1901181.0,1397-08-14
2018-11-06,811,5,7444,13,9212918,116235,9199255,129898,45516046463,570323025,45430138463,656231025,4940.459305401394,4938.45843636251,4906.6376306620205,5051.894755885387,13663.0,1397-08-15
2018-11-10,575,2,1091,3,4683724,400462,5033606,50580,22128043529,1879368166,23765758555,241653140,4724.455055208206,4721.418115561687,4693.0,4777.642151047845,-349882.0,1397-08-19
2018-11-11,179,1,136,0,971222,400000,1371222,0,4356901892,1794400000,6151301892,0,4486.0,4486.0,4486.0,,-400000.0,1397-08-20
2018-11-12,1035,2,3482,6,12635233,410000,12944294,100939,56208062726,1749337830,57493187406,464213150,4448.518102198827,4441.585412537756,4266.677634146342,4598.947384063642,-309061.0,1397-08-21
2018-11-13,575,1,2069,1,5784334,10000,5394334,400000,26571570260,46611068,24752884793,1865296535,4593.712994443267,4588.682271620556,4661.1068,4663.2413375,390000.0,1397-08-22
2018-11-14,375,1,1815,5,3589780,200000,3744096,45684,16058670624,889056070,16740744452,206982242,4473.4414432082185,4471.238037699888,4445.28035,4530.738157779529,-154316.0,1397-08-23
2018-11-17,513,1,3145,2,5750321,300000,5950086,100235,24806661301,1307000000,25669960201,443701100,4313.96113382192,4314.216668633025,4356.666666666667,4426.608470095276,-199765.0,1397-08-26
2018-11-18,701,1,1407,2,5278619,400000,5570634,107985,21958846226,1668700000,23160696491,466849735,4159.960441547306,4157.641031703034,4171.75,4323.283187479743,-292015.0,1397-08-27
2018-11-19,356,2,1178,1,2034818,135569,2119706,50681,8545627127,570891096,8903505980,213012243,4199.700969325021,4200.3494729929525,4211.074036099698,4203.0,-84888.0,1397-08-28
2018-11-20,292,2,1087,1,2500552,101300,2601617,235,10333974597,425371600,10758369537,976660,4132.677343642524,4135.2626220539,4199.127344521224,4156.0,-101065.0,1397-08-29
2018-11-21,302,1,1165,3,2393709,100000,2493006,703,10001249587,413500000,10411796987,2952600,4178.139275492552,4176.402698990696,4135.0,4200.0,-99297.0,1397-08-30
2018-11-24,432,1,1289,1,2917273,400000,3317038,235,11671314820,1601117430,13271499770,932480,4000.761951315492,4001.009264892353,4002.793575,3968.0,-399765.0,1397-09-03
2018-11-26,229,1,535,1,1244454,400000,1634454,10000,4746608637,1552875650,6261184287,38300000,3814.209795621213,3830.749771483321,3882.189125,3830.0,-390000.0,1397-09-05
2018-11-27,440,2,1476,1,5071878,137134,4809012,400000,20132458155,538569982,19089828137,1581200000,3969.4287116133314,3969.594614652656,3927.326425248297,3953.0,262866.0,1397-09-06
2018-11-28,276,0,683,2,3362389,0,2462389,900000,13999845479,0,10251045479,3748800000,4163.660266257117,4163.048762401067,,4165.333333333333,900000.0,1397-09-07
2018-12-01,1226,0,1761,6,12995384,0,12124455,870929,56158348686,0,52359260063,3799088623,4321.40740789191,4318.483598891661,,4362.110600290035,870929.0,1397-09-10
2018-12-02,748,3,975,5,6912894,212800,6805214,320480,30208527325,920521000,29725146587,1403901738,4369.881459921127,4367.995861261674,4325.756578947368,4380.621998252621,107680.0,1397-09-11
2018-12-03,503,1,873,3,3624761,400000,3944556,80205,15599244188,1714800000,16967061378,346982810,4303.523511757051,4301.386867875624,4287.0,4326.1992394489125,-319795.0,1397-09-12
2018-12-04,409,3,591,3,3306019,414200,3619750,100469,13799299337,1731557100,15106597210,424259227,4173.992749890427,4173.381368879066,4180.485514244327,4222.787397107565,-313731.0,1397-09-13
2018-12-05,375,1,800,1,3705266,100000,3544257,261009,15677391605,411100000,14982422635,1106068970,4231.11096612227,4227.239343817336,4111.0,4237.666019179415,161009.0,1397-09-14
2018-12-08,144,0,607,4,2922141,0,2521437,400704,12876056178,0,11122631122,1753425056,4406.377439692335,4411.227059014364,,4375.861124421019,400704.0,1397-09-17
2018-12-09,463,1,934,2,7810777,100000,7510543,400234,35083170876,438500000,33698767202,1822903674,4491.636475602875,4486.861629312288,4385.0,4554.5947470729625,300234.0,1397-09-18
2018-12-10,314,1,619,4,2801956,17298,2336888,482366,12875062400,79125880,10725034897,2229153383,4595.026617120326,4589.4518252479365,4574.279107411261,4621.290437136946,465068.0,1397-09-19
2018-12-11,20,0,63,1,130154,0,99757,30397,590305974,0,451938830,138367144,4535.442429737081,4530.397165111221,,4552.0,30397.0,1397-09-20
2018-12-12,385,3,903,2,2947653,403400,3342090,8963,12995826455,1766458448,14722317251,39967652,4408.872569125335,4405.122917396001,4378.925255329697,4459.182416601584,-394437.0,1397-09-21
2018-12-15,286,2,560,3,2444608,250000,2594138,100470,10481543671,1067164598,11115715234,432993035,4287.617348466502,4284.935972565839,4268.658392,4309.674878073057,-149530.0,1397-09-24
2018-12-16,342,2,341,4,3310391,410000,3676610,43781,13766937493,1701875825,15282801878,186011440,4158.704362415195,4156.764486306679,4150.916646341463,4248.679564194514,-366219.0,1397-09-25
2018-12-17,292,0,626,2,4067233,0,3768936,298297,17335841095,0,16078404927,1257436168,4262.318164462178,4266.0328875311225,,4215.383218738371,298297.0,1397-09-26
2018-12-18,162,1,356,1,741645,134534,785764,90415,3125293513,558357149,3300032647,383618015,4214.001999608978,4199.775819457242,4150.305119895343,4242.858098766797,-44119.0,1397-09-27
2018-12-19,202,2,291,1,1476028,230000,1506028,200000,6176407543,956979765,6290787308,842600000,4184.478575609677,4177.071945541517,4160.781586956522,4213.0,-30000.0,1397-09-28
2018-12-22,141,0,364,3,1364028,0,1122696,241332,5777815554,0,4754025573,1023789981,4235.848203995813,4234.472709442272,,4242.247116006166,241332.0,1397-10-01
2018-12-23,206,1,595,1,2585421,7000,2307609,284812,11303298244,31080000,10077550871,1256827373,4371.937198622584,4367.096362945369,4440.0,4412.831527463731,277812.0,1397-10-02
2018-12-24,185,1,384,4,2895986,66629,2592381,370234,12670829701,287903909,11335037266,1623696344,4375.307650313227,4372.442656384227,4321.0,4385.594904843963,303605.0,1397-10-03
2018-12-25,240,1,270,1,1417169,100000,1516934,235,6019547008,423000000,6441548493,998515,4247.585861672108,4246.426339577068,4230.0,4249.0,-99765.0,1397-10-04
