date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-06-07,1,0,1,0,2017,0,2017,0,2117850,0,2117850,0,1050.0,1050.0,,,0.0,1393-03-17
2014-07-07,1,0,1,0,2000,0,2000,0,2100000,0,2100000,0,1050.0,1050.0,,,0.0,1393-04-16
2014-07-08,2,0,1,0,1083,0,1083,0,1141150,0,1141150,0,1053.6934441366575,1053.6934441366575,,,0.0,1393-04-17
2014-07-12,1,0,1,0,6917,0,6917,0,7193680,0,7193680,0,1040.0,1040.0,,,0.0,1393-04-21
2014-07-15,6,0,5,0,5994,0,5994,0,6094000,0,6094000,0,1016.6833500166832,1016.6833500166832,,,0.0,1393-04-24
2014-08-24,1,0,2,0,7911,0,7911,0,7911000,0,7911000,0,1000.0,1000.0,,,0.0,1393-06-02
2014-09-24,3,0,1,0,2105,0,2105,0,2231300,0,2231300,0,1060.0,1060.0,,,0.0,1393-07-02
2014-10-27,2,0,12,1,38007,0,38002,5,38401740,0,38396745,4995,1010.3859815297184,1010.3874796063365,,999.0,5.0,1393-08-05
2014-10-28,3,0,6,0,16487,0,16487,0,19403200,0,19403200,0,1176.8787529568751,1176.8787529568751,,,0.0,1393-08-06
2014-11-18,1,0,2,0,3024,0,3024,0,3628800,0,3628800,0,1200.0,1200.0,,,0.0,1393-08-27
2014-11-19,1,0,1,0,256,0,256,0,332800,0,332800,0,1300.0,1300.0,,,0.0,1393-08-28
2014-12-01,2,0,2,0,7256,0,7256,0,8198400,0,8198400,0,1129.8787210584344,1129.8787210584344,,,0.0,1393-09-10
2014-12-08,1,0,1,0,700,0,700,0,980700,0,980700,0,1401.0,1401.0,,,0.0,1393-09-17
2014-12-09,1,0,1,0,2000,0,2000,0,2420000,0,2420000,0,1210.0,1210.0,,,0.0,1393-09-18
2014-12-10,1,0,1,0,2339,0,2339,0,5847500,0,5847500,0,2500.0,2500.0,,,0.0,1393-09-19
2014-12-15,1,0,1,0,2000,0,2000,0,5998000,0,5998000,0,2999.0,2999.0,,,0.0,1393-09-24
2015-01-24,1,0,1,0,8000,0,8000,0,10560000,0,10560000,0,1320.0,1320.0,,,0.0,1393-11-04
2015-02-02,2,0,3,0,17550,0,17550,0,31018000,0,31018000,0,1767.4074074074074,1767.4074074074074,,,0.0,1393-11-13
2015-02-04,1,0,1,0,1025,0,1025,0,2050000,0,2050000,0,2000.0,2000.0,,,0.0,1393-11-15
2015-02-15,4,0,8,0,12452,0,12452,0,47991600,0,47991600,0,3854.127850947639,3854.127850947639,,,0.0,1393-11-26
2015-02-21,1,0,1,0,5000,0,5000,0,20000000,0,20000000,0,4000.0,4000.0,,,0.0,1393-12-02
