date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-05-18,22,0,36,0,103471,0,103471,0,1190019971,0,1190019971,0,11501.0,11501.0,,,0.0,1399-02-29
2020-05-19,108,0,232,0,1202714,0,1202714,0,13779811123,0,13779811123,0,11457.26342505367,11457.26342505367,,,0.0,1399-02-30
2020-05-20,19,0,14,0,193336,0,193336,0,2148736304,0,2148736304,0,11114.0,11114.0,,,0.0,1399-02-31
2020-05-23,15,0,2,0,30901,0,30901,0,333143681,0,333143681,0,10781.0,10781.0,,,0.0,1399-03-03
2020-05-26,238,0,1070,0,5780985,0,5780985,0,59612001422,0,59612001422,0,10311.737778596556,10311.737778596556,,,0.0,1399-03-06
2020-05-27,264,0,655,0,3764273,0,3764273,0,38819634260,0,38819634260,0,10312.651144058893,10312.651144058893,,,0.0,1399-03-07
2020-05-30,227,0,489,1,3155442,0,3144972,10470,32083075051,0,31976852547,106222504,10167.537559238928,10167.611205123609,,10145.415854823304,10470.0,1399-03-10
2020-05-31,150,0,273,0,2552759,0,2552759,0,25226902853,0,25226902853,0,9882.210914935566,9882.210914935566,,,0.0,1399-03-11
2020-06-01,128,2,268,0,1993117,13079,2006196,0,19134668768,125394788,19260063556,0,9600.374071366608,9600.290079334223,9587.490480923618,,-13079.0,1399-03-12
2020-06-02,192,1,484,0,3087825,11922,3099747,0,29733404755,111138897,29844543652,0,9629.238948126918,9628.057919565694,9322.168847508809,,-11922.0,1399-03-13
2020-06-06,4,0,139,0,282849,0,282849,0,2804730684,0,2804730684,0,9916.0,9916.0,,,0.0,1399-03-17
2020-06-07,136,0,197,0,1873909,0,1873909,0,19099906815,0,19099906815,0,10192.547671738595,10192.547671738595,,,0.0,1399-03-18
2020-06-08,149,1,197,1,1228011,95437,1309077,14371,12599611180,990835191,13440980811,149465560,10260.177783423764,10267.524989744685,10382.086517807558,10400.498225593208,-81066.0,1399-03-19
2020-06-20,174,0,198,1,1812028,0,1801398,10630,23132511324,0,22996447324,136064000,12766.0893341604,12765.889228254944,,12800.0,10630.0,1399-03-31
2020-06-21,155,0,474,0,4241837,0,4241837,0,52533815753,0,52533815753,0,12384.6851618768,12384.6851618768,,,0.0,1399-04-01
2020-06-22,112,0,398,0,3165686,0,3165686,0,38034319305,0,38034319305,0,12014.558394294318,12014.558394294318,,,0.0,1399-04-02
2020-06-23,142,0,393,0,2425449,0,2425449,0,28503116775,0,28503116775,0,11751.686708316687,11751.686708316687,,,0.0,1399-04-03
2020-06-24,83,0,117,0,1198247,0,1198247,0,13690416769,0,13690416769,0,11425.371203933746,11425.371203933746,,,0.0,1399-04-04
2020-06-27,114,0,149,0,1497411,0,1497411,0,16645422608,0,16645422608,0,11116.134854091497,11116.134854091497,,,0.0,1399-04-07
2020-06-28,51,0,73,0,566606,0,566606,0,6140964221,0,6140964221,0,10838.1560043487,10838.1560043487,,,0.0,1399-04-08
2020-06-29,69,0,125,0,1978569,0,1978569,0,20837366980,0,20837366980,0,10531.534144121331,10531.534144121331,,,0.0,1399-04-09
