date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2012-03-13,64,1,27,1,1133867,30000,369290,794577,1478739060,43837500,517371330,1005205230,1304.1556549401296,1400.9892767201927,1461.25,1265.0822135551368,764577.0,1390-12-23
2012-03-14,3,0,2,0,55500,0,55500,0,68986500,0,68986500,0,1243.0,1243.0,,,0.0,1390-12-24
2012-03-24,1,0,1,0,2500,0,2500,0,2952500,0,2952500,0,1181.0,1181.0,,,0.0,1391-01-05
2012-03-25,1,0,2,0,10000,0,10000,0,11220000,0,11220000,0,1122.0,1122.0,,,0.0,1391-01-06
2012-03-27,7,0,13,0,158500,0,158500,0,169381000,0,169381000,0,1068.6498422712934,1068.6498422712934,,,0.0,1391-01-08
2012-03-28,2,0,2,0,6100,0,6100,0,6844200,0,6844200,0,1122.0,1122.0,,,0.0,1391-01-09
2012-04-02,1,0,1,0,2500,0,2500,0,2945000,0,2945000,0,1178.0,1178.0,,,0.0,1391-01-14
2012-04-03,11,0,9,0,170835,0,170835,0,211152060,0,211152060,0,1236.0,1236.0,,,0.0,1391-01-15
2012-04-04,5,0,3,0,44890,0,44890,0,58222330,0,58222330,0,1297.0,1297.0,,,0.0,1391-01-16
2012-04-07,15,0,15,0,296000,0,296000,0,390465185,0,390465185,0,1319.1391385135134,1319.1391385135134,,,0.0,1391-01-19
2012-04-08,2,0,2,0,13300,0,13300,0,16685700,0,16685700,0,1254.563909774436,1254.563909774436,,,0.0,1391-01-20
2012-04-09,4,0,6,1,59790,0,49790,10000,71339470,0,59399470,11940000,1193.1672520488376,1193.0,,1194.0,10000.0,1391-01-21
2012-04-10,4,0,4,0,72000,0,72000,0,89543998,0,89543998,0,1243.6666388888889,1243.6666388888889,,,0.0,1391-01-22
2012-04-11,3,0,6,0,64000,0,64000,0,83583997,0,83583997,0,1305.999953125,1305.999953125,,,0.0,1391-01-23
2012-04-14,9,0,11,1,118500,0,98500,20000,160381000,0,132961000,27420000,1353.4261603375528,1349.8578680203043,,1371.0,20000.0,1391-01-26
2012-04-15,2,0,5,0,85000,0,85000,0,120680000,0,120680000,0,1419.764705882353,1419.764705882353,,,0.0,1391-01-27
2012-04-16,1,0,2,0,2000,0,2000,0,2982000,0,2982000,0,1491.0,1491.0,,,0.0,1391-01-28
2012-04-18,2,0,3,0,22500,0,22500,0,31890000,0,31890000,0,1417.3333333333333,1417.3333333333333,,,0.0,1391-01-30
2012-04-21,1,0,3,0,50000,0,50000,0,70800000,0,70800000,0,1416.0,1416.0,,,0.0,1391-02-02
2012-05-14,1,0,1,0,10000,0,10000,0,13460000,0,13460000,0,1346.0,1346.0,,,0.0,1391-02-25
2013-09-08,5,0,2,0,115000,0,115000,0,213845000,0,213845000,0,1859.5217391304348,1859.5217391304348,,,0.0,1392-06-17
2013-09-09,1,0,1,0,1000,0,1000,0,1953000,0,1953000,0,1953.0,1953.0,,,0.0,1392-06-18
2013-09-10,1,0,1,0,1033,0,1033,0,2117650,0,2117650,0,2050.0,2050.0,,,0.0,1392-06-19
2013-09-11,1,0,1,0,1010,0,1010,0,2173520,0,2173520,0,2152.0,2152.0,,,0.0,1392-06-20
