date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-03-04,1679444,2079,0,1,699128745,8628734,0,707757479,2377037733000,29337695600,0,2406375428600,3400.0,,3400.0,3400.0,699128745.0,1398-12-14
2020-03-07,142,7,3272,6,13993092,1294693,1285683,14002102,49955338440,4622054010,4589888310,49987504140,3570.0,3570.0,3570.0,3570.0,12707409.0,1398-12-17
2020-03-09,249,18,3744,8,21541377,4920000,1458808,25002569,80737080996,18440160000,5467612384,93709628612,3748.0,3748.0,3748.0,3748.0,20082569.0,1398-12-19
2020-03-10,543,25,3523,7,66249107,5013900,1360485,69902522,260690236045,19729696500,5353508475,275066424070,3935.0,3935.0,3935.0,3935.0,64888622.0,1398-12-20
2020-03-11,420,12,6328,9,31177216,2285768,2550671,30912313,128793079296,9442507608,10536821901,127698765003,4131.0,4131.0,4131.0,4131.0,28626545.0,1398-12-21
2020-03-14,84,6,7297,14,8408060,700000,3792084,5315976,36465756220,3035900000,16446268308,23055387912,4337.0,4337.0,4337.0,4337.0,4615976.0,1398-12-24
2020-03-15,31,0,5630,8,2932308,0,2928947,3361,13195386000,0,13180261500,15124500,4500.0,4500.0,,4500.0,3361.0,1398-12-25
2020-03-16,21,3,5762,18,2151847,500000,2644283,7564,9799511238,2277000000,12042064782,34446456,4554.0,4554.0,4554.0,4554.0,-492436.0,1398-12-26
2020-03-17,38,0,4841,12,2627412,0,2622370,5042,12096604848,0,12073391480,23213368,4604.0,4604.0,,4604.0,5042.0,1398-12-27
2020-03-18,22,2,5695,19,2273728,200000,2466063,7665,10581930112,930800000,11477057202,35672910,4654.0,4654.0,4654.0,4654.0,-192335.0,1398-12-28
2020-03-24,33,3,5286,7,2172632,217521,2387532,2621,10213543032,1022566221,11223787932,12321321,4701.0,4701.0,4701.0,4701.0,-214900.0,1399-01-05
2020-03-25,30,2,6026,9,2578744,200000,2774962,3782,12254191488,950400000,13186619424,17972064,4752.0,4752.0,4752.0,4752.0,-196218.0,1399-01-06
2020-03-28,89,8,5238,15,9503674,1200000,2371695,8331979,45722175614,5773200000,11410224645,40085150969,4811.0,4811.0,4811.0,4811.0,7131979.0,1399-01-09
