date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-09-07,0,1,0,2,0,100000,0,100000,0,140000000,0,140000000,,,1400.0,1400.0,0.0,1394-06-16
2015-09-08,1,0,1,0,7928,0,7928,0,11099200,0,11099200,0,1400.0,1400.0,,,0.0,1394-06-17
2015-09-15,1,0,1,0,1852,0,1852,0,2592800,0,2592800,0,1400.0,1400.0,,,0.0,1394-06-24
2015-09-20,1,0,1,0,4890,0,4890,0,6846000,0,6846000,0,1400.0,1400.0,,,0.0,1394-06-29
2015-09-22,0,1,2,0,0,50222,50222,0,0,70310800,70310800,0,,1400.0,1400.0,,-50222.0,1394-06-31
2015-09-27,0,1,1,0,0,100000,100000,0,0,140000000,140000000,0,,1400.0,1400.0,,-100000.0,1394-07-05
2015-09-30,1,0,1,0,100,0,100,0,140000,0,140000,0,1400.0,1400.0,,,0.0,1394-07-08
2015-10-13,0,1,1,0,0,40000,40000,0,0,56000000,56000000,0,,1400.0,1400.0,,-40000.0,1394-07-21
2015-10-17,0,1,1,0,0,40000,40000,0,0,56000000,56000000,0,,1400.0,1400.0,,-40000.0,1394-07-25
2015-10-20,0,1,1,0,0,70000,70000,0,0,98000000,98000000,0,,1400.0,1400.0,,-70000.0,1394-07-28
2015-11-02,1,0,1,0,444,0,444,0,621600,0,621600,0,1400.0,1400.0,,,0.0,1394-08-11
2015-11-07,1,0,1,0,1159,0,1159,0,1622600,0,1622600,0,1400.0,1400.0,,,0.0,1394-08-16
2015-11-17,1,0,1,0,5853,0,5853,0,8194200,0,8194200,0,1400.0,1400.0,,,0.0,1394-08-26
2015-12-13,1,0,1,0,963,0,963,0,1348200,0,1348200,0,1400.0,1400.0,,,0.0,1394-09-22
2015-12-26,1,0,2,0,2941,0,2941,0,3968794,0,3968794,0,1349.4709282556953,1349.4709282556953,,,0.0,1394-10-05
2015-12-30,1,0,1,0,444,0,444,0,577200,0,577200,0,1300.0,1300.0,,,0.0,1394-10-09
2016-01-02,1,1,5,0,2444,9113,11557,0,3158680,11691004,14849684,0,1292.4222585924713,1284.9081941680367,1282.8930099857346,,-9113.0,1394-10-12
2016-01-18,0,1,1,0,0,1037,1037,0,0,1348100,1348100,0,,1300.0,1300.0,,-1037.0,1394-10-28
2016-01-24,1,0,3,0,8890,0,8890,0,11947440,0,11947440,0,1343.9190101237346,1343.9190101237346,,,0.0,1394-11-04
2016-01-26,1,0,1,0,370,0,370,0,481000,0,481000,0,1300.0,1300.0,,,0.0,1394-11-06
2016-01-30,1,0,2,0,4371,0,4371,0,5682300,0,5682300,0,1300.0,1300.0,,,0.0,1394-11-10
2016-02-01,1,0,1,0,889,0,889,0,1155700,0,1155700,0,1300.0,1300.0,,,0.0,1394-11-12
2016-02-03,1,0,1,0,222,0,222,0,288600,0,288600,0,1300.0,1300.0,,,0.0,1394-11-14
2016-02-06,1,0,1,0,444,0,444,0,577200,0,577200,0,1300.0,1300.0,,,0.0,1394-11-17
2016-02-07,1,0,1,0,518,0,518,0,673400,0,673400,0,1300.0,1300.0,,,0.0,1394-11-18
2016-02-09,1,0,1,0,5187,0,5187,0,6743100,0,6743100,0,1300.0,1300.0,,,0.0,1394-11-20
2016-02-10,1,0,3,0,2394,0,2394,0,3112200,0,3112200,0,1300.0,1300.0,,,0.0,1394-11-21
2016-02-13,1,0,1,0,2249,0,2249,0,2923700,0,2923700,0,1300.0,1300.0,,,0.0,1394-11-24
2016-02-14,1,0,1,0,3578,0,3578,0,4651400,0,4651400,0,1300.0,1300.0,,,0.0,1394-11-25
2016-02-15,46,1,1,1,36000,4422,4422,36000,50400000,5748600,5748600,50400000,1400.0,1300.0,1300.0,1400.0,31578.0,1394-11-26
2016-02-21,1,0,2,0,2618,0,2618,0,3403400,0,3403400,0,1300.0,1300.0,,,0.0,1394-12-02
2016-03-16,1,0,4,0,5444,0,5444,0,7672200,0,7672200,0,1409.2946362968405,1409.2946362968405,,,0.0,1394-12-26
2016-04-20,1,0,3,0,1258,0,1258,0,1509600,0,1509600,0,1200.0,1200.0,,,0.0,1395-02-01
2016-04-23,1,0,3,0,8742,0,8742,0,10490400,0,10490400,0,1200.0,1200.0,,,0.0,1395-02-04
2016-05-17,1,0,7,0,6666,0,6666,0,7999200,0,7999200,0,1200.0,1200.0,,,0.0,1395-02-28
2016-05-21,1,0,1,0,518,0,518,0,621600,0,621600,0,1200.0,1200.0,,,0.0,1395-03-01
2016-06-20,1,1,12,0,53,156207,156260,0,61957,217857705,217919662,0,1169.0,1394.5965826187123,1394.6731260442873,,-156207.0,1395-03-31
2016-08-22,1,0,1,0,5000,0,5000,0,6435000,0,6435000,0,1287.0,1287.0,,,0.0,1395-06-01
2016-09-14,1,0,1,0,1333,0,1333,0,1639590,0,1639590,0,1230.0,1230.0,,,0.0,1395-06-24
2016-09-18,1,0,1,0,667,0,667,0,820410,0,820410,0,1230.0,1230.0,,,0.0,1395-06-28
2016-10-24,5,1,10,0,15242,2665,17907,0,18747660,3150960,21898620,0,1230.0,1222.9083598592729,1182.3489681050658,,-2665.0,1395-08-03
2016-10-31,1,0,1,0,30000,0,30000,0,36000000,0,36000000,0,1200.0,1200.0,,,0.0,1395-08-10
2016-12-26,5,0,1,0,45349,0,45349,0,53466471,0,53466471,0,1179.0,1179.0,,,0.0,1395-10-06
2017-02-04,1,0,1,0,148,0,148,0,174344,0,174344,0,1178.0,1178.0,,,0.0,1395-11-16
2017-02-13,1,0,3,0,4404,0,4404,0,4800360,0,4800360,0,1090.0,1090.0,,,0.0,1395-11-25
2017-02-14,1,0,6,0,5288,0,5288,0,5504742,0,5504742,0,1040.9875189107413,1040.9875189107413,,,0.0,1395-11-26
2017-02-25,1,0,3,0,9410,0,9410,0,9871832,0,9871832,0,1049.0788522848034,1049.0788522848034,,,0.0,1395-12-07
2017-03-14,1,0,1,0,445,0,445,0,445000,0,445000,0,1000.0,1000.0,,,0.0,1395-12-24
2017-03-18,1,0,4,0,2366,0,2366,0,2602600,0,2602600,0,1100.0,1100.0,,,0.0,1395-12-28
2017-03-26,1,0,1,0,90,0,90,0,101250,0,101250,0,1125.0,1125.0,,,0.0,1396-01-06
2017-03-28,1,0,5,0,10000,0,10000,0,12147274,0,12147274,0,1214.7274,1214.7274,,,0.0,1396-01-08
2017-03-29,2,0,5,0,4576,0,4576,0,5271395,0,5271395,0,1151.9656905594406,1151.9656905594406,,,0.0,1396-01-09
2017-04-03,1,0,3,0,17577,0,17577,0,19334700,0,19334700,0,1100.0,1100.0,,,0.0,1396-01-14
2017-04-04,1,0,1,0,444,0,444,0,488400,0,488400,0,1100.0,1100.0,,,0.0,1396-01-15
2017-04-05,3,0,6,0,22449,0,22449,0,24510630,0,24510630,0,1091.8361619671257,1091.8361619671257,,,0.0,1396-01-16
2017-04-08,2,0,5,0,4367,0,4367,0,4787455,0,4787455,0,1096.2800549576368,1096.2800549576368,,,0.0,1396-01-19
2017-04-09,3,0,12,0,14171,0,14171,0,15581584,0,15581584,0,1099.5401877072895,1099.5401877072895,,,0.0,1396-01-20
2017-04-10,2,0,5,0,6890,0,6890,0,7589372,0,7589372,0,1101.5053701015966,1101.5053701015966,,,0.0,1396-01-21
2017-04-12,4,0,8,0,18866,0,18866,0,21160160,0,21160160,0,1121.6028834941164,1121.6028834941164,,,0.0,1396-01-23
2017-04-15,4,0,3,0,64222,0,64222,0,75015080,0,75015080,0,1168.0589206191023,1168.0589206191023,,,0.0,1396-01-26
2017-04-17,6,0,9,0,18400,0,18400,0,24987412,0,24987412,0,1358.0115217391303,1358.0115217391303,,,0.0,1396-01-28
2017-04-18,2,1,4,0,922,2000,2922,0,1286028,2950028,4236056,0,1394.824295010846,1449.7111567419577,1475.014,,-2000.0,1396-01-29
