date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-01-20,1,1,0,1,5000,35000,0,40000,12500000,91500000,0,104000000,2500.0,,2614.285714285714,2600.0,5000.0,1387-11-01
2009-02-15,1,0,1,0,400,0,400,0,1008800,0,1008800,0,2522.0,2522.0,,,0.0,1387-11-27
2009-03-10,1,0,1,0,1381,0,1381,0,3482882,0,3482882,0,2522.0,2522.0,,,0.0,1387-12-20
2009-05-05,1,0,6,2,120000,0,5744,114256,302640000,0,14486368,288153632,2522.0,2522.0,,2522.0,114256.0,1388-02-15
2009-06-08,0,1,4,2,0,2633053,122123,2510930,0,6680678192,305795992,6374882200,,2504.0,2537.236505303919,2538.853014620081,-122123.0,1388-03-18
2009-07-27,1,0,0,1,800,0,0,800,1968800,0,0,1968800,2461.0,,,2461.0,800.0,1388-05-05
2009-07-28,1,0,0,1,142,0,0,142,349462,0,0,349462,2461.0,,,2461.0,142.0,1388-05-06
2009-08-08,0,1,0,1,0,4598,0,4598,0,11315678,0,11315678,,,2461.0,2461.0,0.0,1388-05-17
2009-08-10,0,1,0,1,0,10000,0,10000,0,24610000,0,24610000,,,2461.0,2461.0,0.0,1388-05-19
2009-08-11,1,1,1,1,4325,10000,400,13925,10643825,24608800,983200,34269425,2461.0,2458.0,2460.88,2461.0,3925.0,1388-05-20
2009-08-12,2,0,0,1,2371,0,0,2371,5835031,0,0,5835031,2461.0,,,2461.0,2371.0,1388-05-21
2009-08-16,0,1,0,1,0,10000,0,10000,0,24570000,0,24570000,,,2457.0,2457.0,0.0,1388-05-25
2009-08-23,1,0,1,0,400,0,400,0,982000,0,982000,0,2455.0,2455.0,,,0.0,1388-06-01
2009-08-26,1,0,1,0,405,0,405,0,994275,0,994275,0,2455.0,2455.0,,,0.0,1388-06-04
2009-09-14,1,0,1,1,2027,0,355,1672,4976285,0,871525,4104760,2455.0,2455.0,,2455.0,1672.0,1388-06-23
2009-09-16,1,0,0,1,6888,0,0,6888,16910040,0,0,16910040,2455.0,,,2455.0,6888.0,1388-06-25
2009-09-21,1,0,0,1,640,0,0,640,1570560,0,0,1570560,2454.0,,,2454.0,640.0,1388-06-30
2009-09-26,2,0,0,1,21447,0,0,21447,52630938,0,0,52630938,2454.0,,,2454.0,21447.0,1388-07-04
2010-03-30,2,0,0,1,10000,0,0,10000,21500000,0,0,21500000,2150.0,,,2150.0,10000.0,1389-01-10
2010-04-03,1,0,0,1,10000,0,0,10000,21510000,0,0,21510000,2151.0,,,2151.0,10000.0,1389-01-14
2010-04-05,1,0,1,0,2000,0,2000,0,4200000,0,4200000,0,2100.0,2100.0,,,0.0,1389-01-16
2010-04-10,0,1,1,0,0,2000,2000,0,0,4304000,4304000,0,,2152.0,2152.0,,-2000.0,1389-01-21
2010-04-11,5,0,1,1,50440,0,440,50000,108546880,0,946880,107600000,2152.0,2152.0,,2152.0,50000.0,1389-01-22
2010-04-13,5,0,1,1,53500,0,3500,50000,115399500,0,7549500,107850000,2157.0,2157.0,,2157.0,50000.0,1389-01-24
2010-04-18,4,1,0,1,20000,20000,0,40000,43260000,43260000,0,86520000,2163.0,,2163.0,2163.0,20000.0,1389-01-29
2010-04-21,5,0,0,1,60000,0,0,60000,130020000,0,0,130020000,2167.0,,,2167.0,60000.0,1389-02-01
2010-04-24,3,1,2,0,4600,25072,29672,0,9982000,54481456,64463456,0,2170.0,2172.534915071448,2173.0,,-25072.0,1389-02-04
2010-04-25,3,0,0,1,22645,0,0,22645,49275520,0,0,49275520,2176.0,,,2176.0,22645.0,1389-02-05
2010-04-26,1,0,1,0,550,0,550,0,1157750,0,1157750,0,2105.0,2105.0,,,0.0,1389-02-06
2010-04-27,0,1,2,0,0,9810,9810,0,0,21366180,21366180,0,,2178.0,2178.0,,-9810.0,1389-02-07
2010-04-28,2,1,1,1,5000,10869,5869,10000,10895000,23683551,12788551,21790000,2179.0,2179.0,2179.0,2179.0,-869.0,1389-02-08
