date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-05-24,36089,328,0,1,20679349,9288151,0,29967500,45494567800,20433932200,0,65928500000,2200.0,,2200.0,2200.0,20679349.0,1395-03-04
2016-05-25,9,0,53,2,56297,0,23300,32997,130046070,0,53823000,76223070,2310.0,2310.0,,2310.0,32997.0,1395-03-05
2016-05-28,9,0,119,0,50230,0,50230,0,121807750,0,121807750,0,2425.0,2425.0,,,0.0,1395-03-08
2016-05-29,24,0,279,1,146703,0,146303,400,373505838,0,372487438,1018400,2546.0,2546.0,,2546.0,400.0,1395-03-09
2016-05-30,117,1,500,16,884714,50000,271614,663100,2364840522,133650000,726024222,1772466300,2673.0,2673.0,2673.0,2673.0,613100.0,1395-03-10
2016-05-31,186,2,1358,61,2223744,30000,852994,1400750,6239825664,84180000,2393501164,3930504500,2806.0,2806.0,2806.0,2806.0,1370750.0,1395-03-11
2016-06-01,918,7,12898,128,14171110,930000,10659370,4441740,41670808435,2738479893,31356374000,13052914328,2940.54653693324,2941.6723502420878,2944.602035483871,2938.693919049742,3511740.0,1395-03-12
2016-06-05,905,6,6896,34,9871409,680118,9337027,1214500,28213563807,1943406225,26693272856,3463697176,2858.109091316144,2858.862125599508,2857.454478487557,2851.953212021408,534382.0,1395-03-16
2016-06-06,361,3,2420,19,3729615,51500,3640620,140495,10189580309,140276610,9946941876,382915043,2732.072964367636,2732.210962967846,2723.8176699029127,2725.47096337948,88995.0,1395-03-17
2016-06-07,458,2,1784,13,5044437,67000,4472400,639037,13193824731,174637280,11703721673,1664740338,2615.519775745044,2616.877218719256,2606.526567164179,2605.076604328075,572037.0,1395-03-18
2016-06-08,204,2,1340,3,2161609,140000,2226609,75000,5655253666,362189096,5821739363,195703399,2616.224148770661,2614.6213201329915,2587.0649714285714,2609.378653333333,-65000.0,1395-03-19
2016-06-11,323,3,839,8,2550594,523309,2991783,82120,6370494235,1307287449,7472001353,205780331,2497.651227517982,2497.507791507606,2498.117649419368,2505.8491354115927,-441189.0,1395-03-22
2016-06-12,234,0,516,4,1960609,0,1863209,97400,4711716801,0,4477094027,234622774,2403.1904377670407,2402.8941610951856,,2408.8580492813144,97400.0,1395-03-23
2016-06-13,219,1,393,1,1650047,5000,1654347,700,4109899372,12425000,4120602372,1722000,2490.7771548325595,2490.772716969293,2485.0,2460.0,-4300.0,1395-03-24
2016-06-14,161,2,239,7,1334026,170223,1414429,89820,3185301433,405746336,3375483085,215564684,2387.7356460818605,2386.4634315331487,2383.616409063405,2399.9630817189936,-80403.0,1395-03-25
2016-06-15,98,1,211,2,895423,30000,852723,72700,2146901098,73072011,2043827009,176146100,2397.638990733988,2396.824067135517,2435.7337,2422.917469050894,42700.0,1395-03-26
2016-06-18,67,1,164,4,732055,50000,737855,44200,1740918142,118649500,1752917110,106650532,2378.1247884380277,2375.6932053045653,2372.99,2412.907963800905,-5800.0,1395-03-29
2016-06-19,47,3,340,0,785795,149255,935050,0,1833219391,348523970,2181743361,0,2332.948658365095,2333.290584460724,2335.090750728619,,-149255.0,1395-03-30
2016-06-20,65,2,166,1,435979,153268,516247,73000,1006856842,354354761,1193152356,168059247,2309.415916821682,2311.2044350863057,2311.994421536133,2302.1814657534246,-80268.0,1395-03-31
2016-06-21,68,0,138,3,549374,0,402374,147000,1270992037,0,931952692,339039345,2313.527828037002,2316.135466009235,,2306.390102040816,147000.0,1395-04-01
2016-06-22,107,1,129,4,999434,70500,817832,252102,2372598613,167475170,1941089460,598984323,2373.942264321606,2373.457458255485,2375.5343262411347,2375.960218482995,181602.0,1395-04-02
2016-06-25,84,2,131,0,1355146,82700,1437846,0,3123336150,190340000,3313676150,0,2304.7967894234275,2304.611307469645,2301.571946795647,,-82700.0,1395-04-05
2016-06-26,119,4,377,2,2339354,109230,2370668,77916,5617946850,261199334,5691014464,188131720,2401.4949639943334,2400.595302252361,2391.2783484390734,2414.545407875148,-31314.0,1395-04-06
2016-06-28,74,1,170,0,961315,51000,1012315,0,2309526429,122862166,2432388595,0,2402.465819216386,2402.7981359557057,2409.0620784313724,,-51000.0,1395-04-08
2016-06-29,52,2,95,1,883833,49000,931333,1500,2063835999,114401390,2174685389,3552000,2335.097240089474,2335.024517546356,2334.722244897959,2368.0,-47500.0,1395-04-09
2016-07-02,50,1,98,1,504724,20000,481724,43000,1172714136,46340000,1119400976,99653160,2323.476070089792,2323.73926978934,2317.0,2317.5153488372093,23000.0,1395-04-12
2016-07-03,49,2,85,1,658823,2441,588264,73000,1531229931,5643682,1367499986,169373627,2324.190155777804,2324.636533937144,2312.0368701351904,2320.1866712328765,70559.0,1395-04-13
2016-07-04,40,1,76,0,352078,30000,382078,0,816964457,69750000,886714457,0,2320.407571617653,2320.7681599045222,2325.0,,-30000.0,1395-04-14
2016-07-05,50,2,70,1,431189,111000,541189,1000,998241469,256800164,1252725633,2316000,2315.0902945112234,2314.765512602806,2313.514990990991,2316.0,-110000.0,1395-04-15
2016-07-09,62,3,71,1,358302,206000,494301,70001,825010585,474395152,1138269121,161136616,2302.5564607509864,2302.785389873781,2302.889087378641,2301.918772588963,-135999.0,1395-04-19
2016-07-10,31,1,68,0,279969,163023,442992,0,642048976,374733651,1016782627,0,2293.2859566594875,2295.261826398671,2298.655103881048,,-163023.0,1395-04-20
2016-07-11,37,0,81,0,516599,0,516599,0,1185314132,0,1185314132,0,2294.456884353241,2294.456884353241,,,0.0,1395-04-21
2016-07-12,46,2,112,1,857270,125000,978270,4000,1968856991,287078460,2246799451,9136000,2296.6591517258275,2296.706891757899,2296.62768,2284.0,-121000.0,1395-04-22
2016-07-13,26,4,60,1,241555,185101,424156,2500,551819069,422571415,968687984,5702500,2284.4448220902077,2283.8012052169483,2282.923458004009,2281.0,-182601.0,1395-04-23
2016-07-16,39,2,66,0,375266,57450,432716,0,850613994,129974150,980588144,0,2266.6961408707425,2266.1240721396944,2262.3872932985205,,-57450.0,1395-04-26
2016-07-17,58,3,50,0,257511,210955,468466,0,580962140,477013750,1057975890,0,2256.067274796028,2258.38351129004,2261.2109217605653,,-210955.0,1395-04-27
2016-07-18,37,2,46,0,233855,60762,294617,0,528933215,136919562,665852777,0,2261.799897372304,2260.062308013454,2253.374839537869,,-60762.0,1395-04-28
2016-07-19,35,9,93,2,413387,739365,911602,241150,953112819,1709878175,2105428044,557562950,2305.618751920113,2309.591295324056,2312.6306695610424,2312.100145137881,-498215.0,1395-04-29
2016-07-20,37,6,73,0,307568,151700,459268,0,711506956,350827843,1062334799,0,2313.3321932060558,2313.104329062769,2312.642340145023,,-151700.0,1395-04-30
2016-07-23,52,1,167,3,1248199,30304,1095504,182999,2979159241,72238685,2614248672,437149254,2386.76624560667,2386.3433378609298,2383.800323389652,2388.8067912939414,152695.0,1395-05-02
2016-07-24,43,2,69,0,449881,40000,489881,0,1065592163,95581963,1161174126,0,2368.6089499223126,2370.3187631281885,2389.549075,,-40000.0,1395-05-03
2016-07-25,48,5,136,5,948672,459143,1232815,175000,2275618691,1097215295,2951538686,421295300,2398.7412836048707,2394.1456633801504,2389.702761449048,2407.401714285714,-284143.0,1395-05-04
2016-07-26,26,1,108,0,640324,7269,647593,0,1545157835,17524828,1562682663,0,2413.0874916448547,2413.0629315017304,2410.89943596093,,-7269.0,1395-05-05
2016-07-27,31,2,85,0,431762,139885,571647,0,1047232729,338041670,1385274399,0,2425.4860988229625,2423.3038903379183,2416.5683954677056,,-139885.0,1395-05-06
2016-07-31,18,1,65,1,360639,50000,360639,50000,870560760,120000000,869670940,120889820,2413.939590560089,2411.47224787114,2400.0,2417.7964,0.0,1395-05-10
2016-08-14,100,0,116,2,1388660,0,876160,512500,3136400258,0,1982975951,1153424307,2258.5803998098886,2263.2577965211835,,2250.5840136585366,512500.0,1395-05-24
2016-08-15,47,1,48,0,220889,20000,240889,0,497374449,45992619,543367068,0,2251.6940590070126,2255.6740573459147,2299.63095,,-20000.0,1395-05-25
2016-08-16,30,1,70,1,187634,96604,191676,92562,429338284,221778040,438608584,212507740,2288.1689032904483,2288.281182829358,2295.7438615378246,2295.842138242476,-4042.0,1395-05-26
2016-08-17,58,0,33,1,477583,0,427583,50000,1073465499,0,961493499,111972000,2247.7045853809705,2248.671015919716,,2239.44,50000.0,1395-05-27
2016-08-20,40,2,47,4,353319,136903,410222,80000,789309577,309735958,916805535,182240000,2233.985653191592,2234.900943879168,2262.448288204057,2278.0,-56903.0,1395-05-30
2016-08-21,19,0,41,0,321600,0,321600,0,721668380,0,721668380,0,2243.9937189054726,2243.9937189054726,,,0.0,1395-05-31
2016-08-22,30,1,61,0,269894,7100,276994,0,612591085,16055800,628646885,0,2269.746956212439,2269.532498898893,2261.3802816901407,,-7100.0,1395-06-01
2016-08-23,29,1,41,0,246517,40000,286517,0,557661153,90774500,648435653,0,2262.1610396037595,2263.1664194445707,2269.3625,,-40000.0,1395-06-02
2016-08-24,26,1,23,1,117213,100000,50599,166614,261740508,226900000,113271629,375368879,2233.0330935988327,2238.613984466096,2269.0,2252.9251983626827,66614.0,1395-06-03
2016-08-27,13,0,33,1,243454,0,228454,15000,547464185,0,513699185,33765000,2248.7376876124445,2248.589147049297,,2251.0,15000.0,1395-06-06
