date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-09-09,5177874,2588,0,5,4235842807,2194603,0,4238037410,7412724912250,3840555250,0,7416565467500,1750.0,,1750.0,1750.0,4235842807.0,1399-06-19
2020-09-12,167,1,9433,39,40223207,400000,7275009,33348198,73608468810,732000000,13313266470,61027202340,1830.0,1830.0,1830.0,1830.0,32948198.0,1399-06-22
2020-09-13,277,1,8257,22,71523540,400000,6906472,65017068,137325196800,768000000,13260426240,124832770560,1920.0,1920.0,1920.0,1920.0,64617068.0,1399-06-23
2020-09-14,129,1,8097,39,55808746,400000,6175936,50032810,112175579460,804000000,12413631360,100565948100,2010.0,2010.0,2010.0,2010.0,49632810.0,1399-06-24
2020-09-15,124,0,11915,15,33162228,0,8950139,24212089,69972301080,0,18884793290,51087507790,2110.0,2110.0,,2110.0,24212089.0,1399-06-25
2020-09-16,141,0,21965,20,28895608,0,16791559,12104049,63859293680,0,37109345390,26749948290,2210.0,2210.0,,2210.0,12104049.0,1399-06-26
2020-09-19,79,1,29868,18,22959980,400000,22341835,1018145,53267153600,928000000,51833057200,2362096400,2320.0,2320.0,2320.0,2320.0,618145.0,1399-06-29
2020-09-20,189,1,61831,28,48029787,273755,47879816,423726,116712382410,665224650,116347952880,1029654180,2430.0,2430.0,2430.0,2430.0,149971.0,1399-06-30
2020-09-21,82,4,17910,23,21266998,1600000,16834873,6032125,54230844900,4080000000,42928926150,15381918750,2550.0,2550.0,2550.0,2550.0,4432125.0,1399-06-31
2020-09-22,71,0,13545,5,14246232,0,14241915,4317,38037439440,0,38025913050,11526390,2670.0,2670.0,,2670.0,4317.0,1399-07-01
2020-09-26,8293,6,138169,357,573243908,6002000,339187232,240058676,1581984375030,16565520000,936045017190,662504877840,2759.705516190152,2759.6705562018324,2760.0,2759.762275119771,234056676.0,1399-07-05
2020-09-27,9587,5,17981,8,158672666,4808137,163377895,102908,422013864320,12981969900,434717982620,277851600,2659.650681863504,2660.8127287966345,2700.0,2700.0,-4705229.0,1399-07-06
2020-09-28,1775,0,109,0,13520766,0,13520766,0,34207537980,0,34207537980,0,2530.0,2530.0,,,0.0,1399-07-07
2020-09-29,1840,1,192,1,12949882,10000,12559882,400000,31727210900,24500000,30771710900,980000000,2450.0,2450.0,2450.0,2450.0,390000.0,1399-07-08
2020-09-30,2381,4,511,9,22477529,110572,21781257,806844,53271743730,262055640,51621579090,1912220280,2370.0,2370.0,2370.0,2370.0,696272.0,1399-07-09
2020-10-03,7493,5,228224,271,583157277,2389839,380098912,205448204,1396956832480,5461650760,903831851330,498586631910,2395.50613115302,2377.885920731075,2285.3634742758823,2426.8239984711668,203058365.0,1399-07-12
2020-10-05,10140,5,119561,65,409369429,13643161,371392959,51619631,1037477582620,33945151640,938104431360,133318302900,2534.3308735933965,2525.907959822146,2488.0708832799087,2582.705461416413,37976470.0,1399-07-14
2020-10-06,58,0,26537,16,34828723,0,34416729,411994,92296115950,0,91204331850,1091784100,2650.0,2650.0,,2650.0,411994.0,1399-07-15
2020-10-07,5667,8,40301,32,292337533,7605643,251517680,48425496,811800988780,21143234320,698321378780,134622844320,2776.9304216574888,2776.4305824544817,2779.9404100350225,2779.99928632636,40819853.0,1399-07-16
2020-10-10,6943,1,52208,43,276359310,48000,251556898,24850412,790126482270,127200000,718824324080,71429358190,2859.0550550658127,2857.501940097862,2650.0,2874.3731971123857,24802412.0,1399-07-19
2020-10-11,6379,1,34171,32,155817869,50000,153952666,1915203,466386090100,150000000,460798576040,5737514060,2993.148944297268,2993.118521507124,3000.0,2995.773325334181,1865203.0,1399-07-20
2020-10-12,8926,4,91669,26,432064635,71199,400518580,31617254,1344908271800,218052870,1246190471240,98935853430,3112.7478688460583,3111.4423486670707,3062.5833227994776,3129.1728696616096,31546055.0,1399-07-21
2020-10-13,6572,2,60830,32,213620178,403931,211670801,2353308,692870270810,1316815060,686515335480,7671750390,3243.468277654932,3243.316188329632,3260.0,3259.985683981867,1949377.0,1399-07-22
2020-10-14,9268,0,72112,26,315779289,0,305142883,10636406,1070382814130,0,1034219128770,36163685360,3389.654899533325,3389.2946104530315,,3399.9910646509734,10636406.0,1399-07-23
2020-10-18,2942,1,1793,0,35265528,2500000,37765528,0,113907655440,8075000000,121982655440,0,3230.0,3230.0,3230.0,,-2500000.0,1399-07-27
2020-10-19,558,1,63,0,4803501,2500000,7303501,0,14746748070,7675000000,22421748070,0,3070.0,3070.0,3070.0,,-2500000.0,1399-07-28
2020-10-24,520,1,48,1,3787679,6000000,8187679,1600000,11363037000,18000000000,24563037000,4800000000,3000.0,3000.0,3000.0,3000.0,-4400000.0,1399-08-03
2020-10-26,438,1,76,1,2522822,5000000,7122822,400000,7341412020,14550000000,20727412020,1164000000,2910.0,2910.0,2910.0,2910.0,-4600000.0,1399-08-05
2020-10-27,400,1,156,2,2696610,10000000,12295747,400863,7685338500,28500000000,35042878950,1142459550,2850.0,2850.0,2850.0,2850.0,-9599137.0,1399-08-06
2020-10-28,974,2,222,3,13713130,6001900,18914167,800863,37573976200,16445206000,51824817580,2194364620,2740.0,2740.0,2740.0,2740.0,-5201037.0,1399-08-07
2020-10-31,10734,8,133120,53,528592417,16797768,527219021,18171164,1431419254720,45310387000,1427521353330,49208288390,2707.9829537547075,2707.6438756370285,2697.40521478806,2708.042720323255,1373396.0,1399-08-10
2020-11-01,1643,2,1929,1,32061589,8053406,40114131,864,83100344330,20792787480,103890876770,2255040,2591.897249072714,2589.882272907769,2581.862565975191,2610.0,-8052542.0,1399-08-11
2020-11-02,866,2,231,0,17183539,7580000,24763539,0,42443341330,18722600000,61165941330,0,2470.0,2470.0,2470.0,,-7580000.0,1399-08-12
