date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-08-12,5273612,2973,0,4,3420260581,1969863,0,3422230444,7524573278200,4333698600,0,7528906976800,2200.0,,2200.0,2200.0,3420260581.0,1399-05-22
2020-08-15,221,3,1491,2,60844179,1599999,1014104,61430074,140550053490,3695997690,2342580240,141903470940,2310.0,2310.0,2310.0,2310.0,59830075.0,1399-05-25
2020-08-16,8,0,2320,3,1435364,0,1433355,2009,3473580880,0,3468719100,4861780,2420.0,2420.0,,2420.0,2009.0,1399-05-26
2020-08-17,18,0,8385,33,5261758,0,5239658,22100,12786071940,0,12732368940,53703000,2430.0,2430.0,,2430.0,22100.0,1399-05-27
2020-08-18,128,0,7712,30,22469991,0,5250613,17219378,55276177860,0,12916507980,42359669880,2460.0,2460.0,,2460.0,17219378.0,1399-05-28
2020-08-19,100,0,6589,14,20629181,0,4019801,16609380,53223286980,0,10371086580,42852200400,2580.0,2580.0,,2580.0,16609380.0,1399-05-29
2020-08-22,103,0,9635,15,17754731,0,5957658,11797073,47760226390,0,16026100020,31734126370,2690.0,2690.0,,2690.0,11797073.0,1399-06-01
2020-08-23,113,1,12033,10,23268535,400000,7497183,16171352,65384583350,1124000000,21067084230,45441499120,2810.0,2810.0,2810.0,2810.0,15771352.0,1399-06-02
2020-08-24,102,1,14960,9,19316959,400000,10071953,9645006,56985029050,1180000000,29712261350,28452767700,2950.0,2950.0,2950.0,2950.0,9245006.0,1399-06-03
2020-08-25,136,1,11563,11,29235290,400000,7072643,22562647,90337046100,1236000000,21854466870,69718579230,3090.0,3090.0,3090.0,3090.0,22162647.0,1399-06-04
2020-08-26,113,0,8654,23,27310617,0,5193010,22117607,88486399080,0,16825352400,71661046680,3240.0,3240.0,,3240.0,22117607.0,1399-06-05
2020-08-31,23,0,8205,3,5419380,0,5417372,2008,18425892000,0,18419064800,6827200,3400.0,3400.0,,3400.0,2008.0,1399-06-10
2020-09-02,67,0,24202,19,20263111,0,15251053,5012058,70110364060,0,52768643380,17341720680,3460.0,3460.0,,3460.0,5012058.0,1399-06-12
2020-09-05,102,2,25559,14,25436787,800000,16228082,10008705,92335536810,2904000000,58907937660,36331599150,3630.0,3630.0,3630.0,3630.0,9208705.0,1399-06-15
2020-09-06,104,2,23525,20,23398501,521526,14356895,9563132,89148288810,1987014060,54699769950,36435532920,3810.0,3810.0,3810.0,3810.0,9041606.0,1399-06-16
2020-09-07,29767,21,240679,504,1164557659,12797729,783003863,394351525,4648022247750,50828272780,3126282856020,1572567664510,3991.2341066403137,3992.6787130295434,3971.663470917379,3987.7306535330376,381553796.0,1399-06-17
2020-09-08,9785,5,6132,6,62773571,39176,61989381,823366,238539569800,148868800,235559647800,3128790800,3800.0,3800.0,3800.0,3800.0,784190.0,1399-06-18
2020-09-09,17018,9,193981,89,599843038,5920866,598347187,7416717,2276332840770,22481419610,2269319134650,29495125730,3794.880821422487,3792.646115757539,3796.9816594396834,3976.8438960256944,1495851.0,1399-06-19
2020-09-13,21737,7,99108,48,569888567,5278975,529775368,45392174,2303413860430,21048861020,2142322984160,182139737290,4041.8671189625743,4043.8327516956206,3987.3007581964303,4012.580170537767,40113199.0,1399-06-23
2020-09-14,343,0,33902,27,29870739,0,29479424,391315,126651933360,0,124992757760,1659175600,4240.0,4240.0,,4240.0,391315.0,1399-06-24
2020-09-15,181,1,29323,11,36368506,400000,21480589,15287917,161839851700,1780000000,95588621050,68031230650,4450.0,4450.0,4450.0,4450.0,14887917.0,1399-06-25
2020-09-16,2160,2,55157,34,80057282,51330,69629848,10478764,373867506940,239711100,325171390160,48935827880,4670.0,4670.0,4670.0,4670.0,10427434.0,1399-06-26
2020-09-19,25876,14,234719,102,621703593,1117876,610064987,12756482,2911552059750,5307566370,2857107699660,59751926460,4683.183582228388,4683.284175526696,4747.902602793154,4684.044273334921,11638606.0,1399-06-29
2020-09-20,10870,0,80761,118,172683263,0,167558179,5125084,778648974880,0,755819055770,22829919110,4509.116641373635,4510.785807537333,,4454.545351842038,5125084.0,1399-06-30
2020-09-21,1801,1,169,0,9734269,1990,9736259,0,41760014010,8537100,41768551110,0,4290.0,4290.0,4290.0,,-1990.0,1399-06-31
2020-09-22,7085,6,68953,12,348274111,487981,339183095,9578997,1437805217330,2034140800,1400191451150,39647906980,4128.372370836372,4128.128647301835,4168.483608992973,4139.04576648265,9091016.0,1399-07-01
2020-09-23,16316,6,74515,49,386007027,110798,361343371,24774454,1562953617290,448391120,1465786129820,97615878590,4049.0289242584176,4056.4909929397872,4046.924312713226,3940.1828427782903,24663656.0,1399-07-02
2020-09-26,4240,1,17920,13,68409813,35380,66806929,1638264,268072622790,138613000,261903156310,6308079480,3918.62820601483,3920.299289763791,3917.8349349915206,3850.465785734167,1602884.0,1399-07-05
2020-09-27,760,1,61,0,3202249,1500,3203749,0,11944388770,5595000,11949983770,0,3730.0,3730.0,3730.0,,-1500.0,1399-07-06
2020-09-28,442,0,21,0,2816043,0,2816043,0,10363038240,0,10363038240,0,3680.0,3680.0,,,0.0,1399-07-07
2020-09-29,702,1,34,0,4136486,8000,4144486,0,15056809040,29120000,15085929040,0,3640.0,3640.0,3640.0,,-8000.0,1399-07-08
2020-09-30,948,2,45,0,5483142,6500,5489642,0,19684479780,23335000,19707814780,0,3590.0,3590.0,3590.0,,-6500.0,1399-07-09
2020-10-03,9673,5,108407,69,299646393,5541200,297241109,7946484,1115910702840,19753265640,1105501279260,30162689220,3724.091892672975,3719.2072219727856,3564.799256478741,3795.727672766975,2405284.0,1399-07-12
2020-10-05,5719,5,59959,27,304560190,1487086,284217547,21829729,1086059090890,5320253040,1016015332480,75364011450,3565.9916382702545,3574.780456746395,3577.636424524204,3452.356712719613,20342643.0,1399-07-14
2020-10-06,1716,3,26877,23,76767847,1098550,77290414,575983,286902116880,4108577000,288856517460,2154176420,3737.269287752723,3737.287750328262,3740.0,3740.0,-522567.0,1399-07-15
2020-10-07,13582,3,45322,451,284714676,343184,280570513,4487347,1093023543790,1345231280,1077210467390,17158307680,3839.0137071472914,3839.357371777696,3919.854305562031,3823.7086813210567,4144163.0,1399-07-16
2020-10-10,9800,3,47103,24,201553324,502000,196199522,5855802,758425891030,1937560000,738835821030,21527630000,3762.90440652817,3765.7371103585056,3859.6812749003984,3676.2906259467104,5353802.0,1399-07-19
2020-10-11,11401,5,42453,16,213703066,21005,212211070,1513001,824263904920,80877650,818598728710,5746053860,3857.0523125765535,3857.474205798972,3850.399904784575,3797.7858970350976,1491996.0,1399-07-20
2020-10-12,5194,2,32177,11,122602635,18008000,139742187,868448,451763247390,66089360000,514639410060,3213197330,3684.776003305312,3682.77770019443,3670.0,3699.930600335311,-17139552.0,1399-07-21
2020-10-13,5832,1,45940,15,122422464,6393444,128406606,409302,433816844280,22430054000,454791053230,1455845050,3543.604908001198,3541.804175012616,3508.2897418042608,3556.896985599875,-5984142.0,1399-07-22
2020-10-14,3850,2,48871,22,165924230,2272321,145076519,23120032,602228612020,7948373030,525036292650,85140692400,3629.539893118684,3619.0301247164607,3497.909419487828,3682.550802697851,20847711.0,1399-07-23
2020-10-18,7924,5,54647,13,348161540,2172532,343627280,6706792,1323859584730,8276200220,1306599976310,25535808640,3802.429138870422,3802.375574808845,3809.472182688218,3807.45498593068,4534260.0,1399-07-27
2020-10-19,990,1,314,0,12050559,6000000,18050559,0,43502517990,21660000000,65162517990,0,3610.0,3610.0,3610.0,,-6000000.0,1399-07-28
2020-10-20,4103,1,31955,12,172617744,8100000,178129167,2588577,605828032190,27783000000,624541680420,9069351770,3509.6509672261736,3506.1168866298017,3430.0,3503.605173807849,-5511423.0,1399-07-29
2020-10-21,5172,2,29486,17,156327455,4703548,157317552,3713451,554756381020,16643056640,558022663130,13376774530,3548.681714417982,3547.110007979275,3538.4047616820326,3602.2488326895923,-990097.0,1399-07-30
2020-10-24,1080,2,1909,0,16336456,8003331,24339787,0,55487831030,27051258780,82539089810,0,3396.564776962641,3391.1179999233354,3380.0,,-8003331.0,1399-08-03
2020-10-26,468,1,77,1,5350367,8000000,13349697,670,17281685410,25840000000,43119521310,2164100,3230.0,3230.0,3230.0,3230.0,-7999330.0,1399-08-05
2020-10-27,936,2,7914,4,35938438,16120000,51904075,154363,110780976160,49658600000,159950482870,489093290,3082.520619287905,3081.6555900476023,3080.558312655087,3168.461937122238,-15965637.0,1399-08-06
2020-10-28,4805,5,35753,18,179129340,6979000,184606621,1501719,530808919840,20552810000,546877838840,4483891000,2963.2717891999155,2962.395584067377,2944.950565983665,2985.838895292661,-5477281.0,1399-08-07
2020-10-31,5101,2,30670,18,164001077,28979,159615426,4414630,499830986500,89714900,486282488410,13638212990,3047.729903017649,3046.5882941038544,3095.8590703612963,3089.321866158659,4385651.0,1399-08-10
2020-11-01,2207,2,8834,10,64968158,10005000,74068640,904518,189142233900,29268624600,215787749600,2623108900,2911.3067035085096,2913.3483428344302,2925.39976011994,2900.007407259999,-9100482.0,1399-08-11
2020-11-02,2935,3,15692,10,101485811,10783330,112243695,25446,282521598440,30035893600,312486824220,70667820,2783.853187516036,2784.0033617923928,2785.400576630781,2777.168120726244,-10757884.0,1399-08-12
2020-11-04,2340,2,23000,15,97089293,2589950,91004203,8675040,276329264550,7234248090,258795864390,24767648250,2846.1353050536686,2843.779252591224,2793.19990347304,2855.0471525203343,6085090.0,1399-08-14
2020-11-07,1471,3,6443,5,57679516,12390000,70051982,17534,158522540410,33712800000,192185870890,49469520,2748.333401584021,2743.4751366492387,2720.968523002421,2821.348237709593,-12372466.0,1399-08-17
2020-11-08,438,1,2005,0,8110692,10000000,18110692,0,21168906120,26100000000,47268906120,0,2610.0,2610.0,2610.0,,-10000000.0,1399-08-18
2020-11-09,3086,2,23122,16,115771541,6380000,111755711,10395830,292978403130,16047592000,282721350410,26304644720,2530.659958391674,2529.8156835134805,2515.2965517241378,2530.3073174532483,4015830.0,1399-08-19
2020-11-10,2852,1,23864,14,171865753,2000,149856655,22011098,451233069080,5100000,393604129090,57634039990,2625.497291947396,2626.53753408549,2550.0,2618.408222524837,22009098.0,1399-08-20
2020-11-11,2285,1,16325,13,157834729,10000,125440239,32404490,435188198540,27600000,345779426220,89436372320,2757.2398121581973,2756.527163663966,2760.0,2759.999380332787,32394490.0,1399-08-21
2020-11-14,2763,1,13144,14,139636194,200000,121358574,18477620,403316457960,578000000,350494136160,53400321800,2888.337517706906,2888.0871339177074,2890.0,2890.0,18277620.0,1399-08-24
2020-11-15,7047,3,16160,11,234615630,19170030,253768982,16678,659264225490,53922375580,713139670420,46930650,2809.9757270647315,2810.1924230440427,2812.847740979017,2813.9255306391656,-19153352.0,1399-08-25
2020-11-16,3499,1,18734,14,120962437,4200000,123254404,1908033,339346819590,11689917810,345620318620,5416418780,2805.390069894177,2804.1214545161406,2783.313764285714,2838.7448120656195,-2291967.0,1399-08-26
2020-11-17,3816,3,24603,11,225961462,7064655,214622608,18403509,655762949840,20765519850,622687859400,53840610290,2902.100845143231,2901.315314368,2939.353705170316,2925.562200665101,11338854.0,1399-08-27
2020-11-18,4284,5,21653,16,156156332,3133145,131991956,27297521,470767488050,9320383170,397298192840,82789678380,3014.719172899117,3010.018222928676,2974.7691760196226,3032.8643535066794,24164376.0,1399-08-28
2020-11-21,5497,6,17468,12,166281242,19188135,185242322,227055,483506269620,56302453680,539119533810,689189490,2907.7619568177147,2910.3475274403004,2934.232726630285,3035.3416132655084,-18961080.0,1399-09-01
2020-11-22,3878,4,16683,9,130043573,19032208,149069756,6025,362586841590,53225893860,415795885560,16849890,2788.1950120672245,2789.270585241986,2796.6221186737766,2796.6622406639003,-19026183.0,1399-09-02
2020-11-23,3174,4,23127,16,112413901,9647933,120780084,1281750,312457642470,26766159120,335622912510,3600889080,2779.528507510828,2778.793501335866,2774.2894897798315,2809.353680514921,-8366183.0,1399-09-03
2020-11-24,2534,2,15728,11,96133799,10700000,106140161,693638,268668927180,29763544790,296469578770,1962893200,2794.739519032219,2793.1894579470254,2781.6397,2829.8524590636616,-10006362.0,1399-09-04
2020-11-25,3278,2,23377,8,117540708,14931826,129291125,3181409,326324131800,41278497710,358762442730,8840186780,2776.2648137188357,2774.841991126614,2764.4641526093324,2778.701757617458,-11750417.0,1399-09-05
2020-11-28,3902,3,28927,20,179989253,1753605,165333544,16409314,514634816950,4785705060,472091403760,47329118250,2859.2530296795,2855.3879166831384,2729.066728254082,2884.283782368964,14655709.0,1399-09-08
2020-11-29,5475,5,19124,12,156112758,1841190,154706525,3247423,455045593040,5293460250,450820131160,9518922130,2914.8520522582785,2914.034370302093,2875.021181952976,2931.2233515621465,1406233.0,1399-09-09
2020-11-30,5911,7,23001,11,187754738,4070446,191317156,508028,547906559180,11890962980,558295207480,1502314680,2918.2036363843986,2918.165935312147,2921.292403829949,2957.1493697197798,-3562418.0,1399-09-10
2020-12-01,5350,6,22696,13,154288398,12497108,166777871,7635,435796357310,35276050110,471050731430,21675990,2824.556888003983,2824.419862213015,2822.7370772501927,2839.0294695481334,-12489473.0,1399-09-11
2020-12-02,4011,3,24437,9,115580370,6640434,121250154,970650,324568033400,18462317180,340261411120,2768939460,2808.158802398712,2806.276115080233,2780.287731193473,2852.6651831247104,-5669784.0,1399-09-12
2020-12-05,3705,4,21850,12,124353267,1368503,120773330,4948440,356124116440,3852756370,345832195850,14144676960,2863.8098944356643,2863.481497529297,2815.307215256378,2858.4113296311566,3579937.0,1399-09-15
2020-12-06,5263,2,23414,13,150502447,1252682,150942502,812627,432888626770,3546856520,434105494150,2329989140,2876.289624513547,2875.9659366849505,2831.41014239847,2867.230771313284,-440055.0,1399-09-16
2020-12-07,3201,2,43059,15,177530342,17012141,192734270,1808213,503066451770,48047912680,545951153420,5163211030,2833.6927992286523,2832.6625743309687,2824.330734150393,2855.4219165551845,-15203928.0,1399-09-17
2020-12-08,1919,1,40866,16,248819597,216463,205753818,43282242,735793905480,642895110,608098707650,128338092940,2957.1380805668614,2955.4674297708534,2970.0,2965.1442949743687,43065779.0,1399-09-18
2020-12-09,272,2,26281,12,75314193,800000,37908675,38205518,233473998300,2480000000,117516892500,118437105800,3100.0,3100.0,3100.0,3100.0,37405518.0,1399-09-19
2020-12-12,11579,10,26057,9,543700103,17493123,530662411,30530815,1752463918850,56728464390,1710586289100,98606094140,3223.217926905561,3223.492475897261,3242.9009039723783,3229.7236133395063,13037692.0,1399-09-22
2020-12-13,5513,4,19315,15,205632826,18429000,222152192,1909634,652467490630,58083820820,704317788330,6233523120,3172.9734173375605,3170.429163849979,3151.7619415052363,3264.250175688116,-16519366.0,1399-09-23
2020-12-14,2678,1,19000,12,83437922,17764355,99709748,1492529,257467058860,54381356980,307269025360,4579390480,3085.7319152794817,3081.634760123955,3061.2626791121884,3068.208711522523,-16271826.0,1399-09-24
2020-12-15,537,2,780,0,5279523,18100000,23379523,0,15469002390,53033000000,68502002390,0,2930.0,2930.0,2930.0,,-18100000.0,1399-09-25
2020-12-16,4333,7,20294,8,153765642,19788225,172330518,1223349,432085195200,55465210800,484103581900,3446824100,2810.0243304027567,2809.157585773635,2802.940172754252,2817.531301370255,-18564876.0,1399-09-26
2020-12-19,3147,3,21919,13,126604254,1769405,110320717,18052942,367195120160,4932110040,319368616930,52758613270,2900.337931456869,2894.9106352345407,2787.439868204284,2922.438529409777,16283537.0,1399-09-29
2020-12-20,2544,4,13851,11,66655032,18943805,84040818,1558019,189920493840,53989045260,239435756930,4473782170,2849.304668250703,2849.041247194905,2849.957823151157,2871.455463636836,-17385786.0,1399-09-30
2020-12-21,3213,2,13860,12,99033751,15209574,111809073,2434252,274722812750,42353591590,310149978300,6926426040,2774.0321857545314,2773.9249595603037,2784.66652583432,2845.40221801194,-12775322.0,1399-10-01
