date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-05-31,5,0,0,2,355000,0,0,355000,147250000,0,0,147250000,414.7887323943662,,,414.7887323943662,355000.0,1395-03-11
2016-06-05,3,0,1,1,197000,0,40000,157000,103655000,0,21000000,82655000,526.1675126903554,525.0,,526.4649681528663,157000.0,1395-03-16
2016-06-06,7,0,5,1,617000,0,222000,395000,342345000,0,134770000,207575000,554.8541329011346,607.072072072072,,525.506329113924,395000.0,1395-03-17
2016-06-07,6,0,1,1,485260,0,260,485000,244775800,0,150800,244625000,504.4219593619915,580.0,,504.3814432989691,485000.0,1395-03-18
2016-06-08,2,0,0,1,25000,0,0,25000,12535000,0,0,12535000,501.4,,,501.4,25000.0,1395-03-19
2016-06-11,6,0,4,1,437000,0,187000,250000,216217526,0,92419005,123798521,494.7769473684211,494.2192780748664,,495.194084,250000.0,1395-03-22
2016-06-12,1,0,0,1,63000,0,0,63000,30870000,0,0,30870000,490.0,,,490.0,63000.0,1395-03-23
2016-06-13,2,0,1,1,200000,0,100000,100000,97300000,0,48600000,48700000,486.5,486.0,,487.0,100000.0,1395-03-24
2016-06-14,5,0,0,1,460000,0,0,460000,215150000,0,0,215150000,467.7173913043478,,,467.7173913043478,460000.0,1395-03-25
2016-06-19,11,0,0,1,1354138,0,0,1354138,561265330,0,0,561265330,414.4816333342688,,,414.4816333342688,1354138.0,1395-03-30
2016-06-20,1,0,0,1,2000000,0,0,2000000,751000000,0,0,751000000,375.5,,,375.5,2000000.0,1395-03-31
2016-06-21,8,0,2,0,420000,0,420000,0,152330000,0,152330000,0,362.6904761904762,362.6904761904762,,,0.0,1395-04-01
2016-06-22,3,0,1,0,100000,0,100000,0,43600000,0,43600000,0,436.0,436.0,,,0.0,1395-04-02
2016-06-25,4,0,2,1,292500,0,50000,242500,128175000,0,22200000,105975000,438.2051282051282,444.0,,437.0103092783505,242500.0,1395-04-05
2016-06-26,3,0,0,1,57500,0,0,57500,25875000,0,0,25875000,450.0,,,450.0,57500.0,1395-04-06
2016-06-28,4,0,0,1,155500,0,0,155500,71584500,0,0,71584500,460.3504823151125,,,460.3504823151125,155500.0,1395-04-08
2016-06-29,2,0,0,1,80000,0,0,80000,36000000,0,0,36000000,450.0,,,450.0,80000.0,1395-04-09
2016-07-02,1,0,0,1,50000,0,0,50000,22500000,0,0,22500000,450.0,,,450.0,50000.0,1395-04-12
2016-07-03,1,0,1,1,20000,0,3000,17000,8600000,0,1290000,7310000,430.0,430.0,,430.0,17000.0,1395-04-13
2016-07-04,4,0,2,1,178362,0,175000,3362,73915144,0,72496380,1418764,414.4108274183963,414.26502857142856,,422.0,3362.0,1395-04-14
2016-07-10,1,0,1,0,7000,0,7000,0,3290000,0,3290000,0,470.0,470.0,,,0.0,1395-04-20
2016-07-18,1,0,1,0,100,0,100,0,46900,0,46900,0,469.0,469.0,,,0.0,1395-04-28
