date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-06-25,57,1,47,1,448493,2000000,2067807,380686,957838337,4358000000,4487270277,828568060,2135.681798824062,2170.062427006002,2179.0,2176.5130842741787,-1619314.0,1393-04-04
2014-06-28,9,0,24,0,335990,0,335990,0,700539150,0,700539150,0,2085.0,2085.0,,,0.0,1393-04-07
2014-06-29,4,0,1,0,2494,0,2494,0,5055338,0,5055338,0,2027.0,2027.0,,,0.0,1393-04-08
2014-06-30,1,0,1,0,500,0,500,0,1013500,0,1013500,0,2027.0,2027.0,,,0.0,1393-04-09
2014-07-01,263,3,229,1,4730067,155000,4819067,66000,9668836331,317170000,9848472323,137534008,2044.122489385457,2043.647104927157,2046.258064516129,2083.848606060606,-89000.0,1393-04-10
2014-07-02,138,3,164,0,2423951,1020000,3443951,0,5091739888,2157909864,7249649752,0,2100.595221603077,2105.038588528118,2115.5979058823527,,-1020000.0,1393-04-11
2014-07-05,74,1,85,1,1936811,200000,2086811,50000,4224724796,437800000,4555124796,107400000,2181.2788114069986,2182.8161707025697,2189.0,2148.0,-150000.0,1393-04-14
2014-07-06,56,2,116,0,1282593,1500000,2782593,0,2689602540,3142700000,5832302540,0,2097.0039131665308,2095.9955480373883,2095.133333333333,,-1500000.0,1393-04-15
2014-07-07,117,4,85,0,2334400,880000,3214400,0,4714197824,1771440000,6485637824,0,2019.447320082248,2017.68224987556,2013.0,,-880000.0,1393-04-16
2014-07-08,43,1,90,0,1317527,500000,1817527,0,2743525721,1047722644,3791248365,0,2082.329789825939,2085.9378512671337,2095.445288,,-500000.0,1393-04-17
2014-07-09,134,0,81,0,2643732,0,2643732,0,5363040100,0,5363040100,0,2028.5868991259329,2028.5868991259329,,,0.0,1393-04-18
2014-07-12,91,2,89,0,1989818,520000,2509818,0,3926805586,1025381187,4952186773,0,1973.449625041084,1973.125849364376,1971.886898076923,,-520000.0,1393-04-21
2014-07-13,52,1,65,0,1490137,807916,2298053,0,2849391760,1551795560,4401187320,0,1912.1676463305048,1915.1809466535367,1920.738740166057,,-807916.0,1393-04-22
2014-07-14,71,1,45,0,2006815,2000000,4006815,0,3840282766,3810000000,7650282766,0,1913.620720395253,1909.317691483136,1905.0,,-2000000.0,1393-04-23
2014-07-15,92,0,71,0,2439568,0,2439568,0,4582595084,0,4582595084,0,1878.445316547848,1878.445316547848,,,0.0,1393-04-24
2014-07-16,75,2,76,0,1264941,165000,1429941,0,2372405615,312463600,2684869215,0,1875.506932734412,1877.608387339058,1893.718787878788,,-165000.0,1393-04-25
2014-07-20,68,1,57,0,873158,20000,893158,0,1621200283,36830000,1658030283,0,1856.7089610356888,1856.3683950655984,1841.5,,-20000.0,1393-04-29
2014-07-21,25,0,70,0,733964,0,733964,0,1410603422,0,1410603422,0,1921.897289240344,1921.897289240344,,,0.0,1393-04-30
2014-07-22,164,1,86,1,7923356,100000,3984238,4039118,15825759682,199800000,7955401918,8070157764,1997.3556258231995,1996.7185489421065,1998.0,1998.0,3939118.0,1393-04-31
2014-07-23,156,1,176,0,4289799,100000,4389799,0,8504488309,196200000,8700688309,0,1982.4910931724307,1982.02430430186,1962.0,,-100000.0,1393-05-01
