date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2010-10-26,1432,136,0,1,24444434,34930566,0,59375000,70888858600,101298641400,0,172187500000,2900.0,,2900.0,2900.0,24444434.0,1389-08-04
2010-10-27,81,8,459,24,1407235,9116475,7774785,2748925,3999982078,26601297254,22577138652,8024140680,2842.4407280944547,2903.892345833357,2917.936730370017,2919.0104058859374,-6367550.0,1389-08-05
2010-10-30,33,4,101,4,308262,1195406,1334508,169160,904825478,3539316799,3942204877,501937400,2935.2481914734867,2954.0511386968083,2960.765462947317,2967.234570820525,-1026246.0,1389-08-08
2010-10-31,10,3,82,3,76307,2111409,1933183,254533,217583797,6118182437,5594556584,741209650,2851.4264353204817,2893.96119456875,2897.677539974491,2912.0375354079824,-1856876.0,1389-08-09
2010-11-01,26,2,102,4,172039,1387229,1384511,174757,500786405,4025937234,4019278759,507444880,2910.888839158563,2903.031293359172,2902.143217882556,2903.717047099687,-1212472.0,1389-08-10
2010-11-02,1,4,126,4,5000,2786916,2441916,350000,14520000,8089838448,7088638721,1015719727,2904.0,2902.900313114784,2902.792351114996,2902.056362857142,-2436916.0,1389-08-11
2010-11-03,0,2,75,2,0,1053748,955748,98000,0,3060382547,2775790547,284592000,,2904.312169107338,2904.283136954946,2904.0,-955748.0,1389-08-12
2010-11-06,2,2,62,4,54111,1898509,1424170,528450,157188344,5513882136,4136451680,1534618800,2904.924026538042,2904.464832147848,2904.322358229537,2904.0,-1370059.0,1389-08-15
2010-11-07,8,1,10,1,167628,1000,158628,10000,471743472,2884500,446570092,28057880,2814.22836280335,2815.203444536904,2884.5,2805.788,9000.0,1389-08-16
2010-11-08,5,3,10,1,57040,163000,120040,100000,162155488,457267500,338478278,280944710,2842.8381486676017,2819.712412529157,2805.32208588957,2809.4471,-63000.0,1389-08-17
2010-11-09,4,0,6,0,32501,0,32501,0,91512375,0,91512375,0,2815.678748346205,2815.678748346205,,,0.0,1389-08-18
2010-11-10,5,2,31,1,26471,291907,283378,35000,73186757,814969286,791406793,96749250,2764.790034377243,2792.760175454693,2791.8799001051707,2764.264285714285,-256907.0,1389-08-19
2010-11-13,4,4,30,2,64125,221233,271958,13400,174262775,613194220,751549795,35907200,2717.5481481481484,2763.477430338508,2771.7122671572506,2679.6417910447763,-207833.0,1389-08-22
2010-11-14,7,1,16,1,150000,155000,155000,150000,395836000,423450200,423450200,395836000,2638.9066666666668,2731.9367741935484,2731.9367741935484,2638.9066666666668,-5000.0,1389-08-23
2010-11-15,2,2,24,0,3000,251525,254525,0,7860000,692172217,700032217,0,2620.0,2750.3475768588546,2751.9022641884503,,-251525.0,1389-08-24
2010-11-16,6,2,29,2,31770,415875,237145,210500,86682810,1145597910,652881470,579399250,2728.448536355052,2753.0897552130555,2754.668854824166,2752.490498812352,-205375.0,1389-08-25
2010-11-20,3,1,24,1,308000,50000,337229,20771,859213279,135100000,936175250,58138029,2789.653503246753,2776.081683366496,2702.0,2799.0,-29229.0,1389-08-29
2010-11-21,4,2,16,0,42601,86099,128700,0,118094977,240012023,358107000,0,2772.117485505035,2782.4941724941723,2787.6284625837698,,-86099.0,1389-08-30
2010-11-22,1,1,5,0,1000,49100,50100,0,2797000,135778808,138575808,0,2797.0,2765.9841916167666,2765.3525050916496,,-49100.0,1389-09-01
2010-11-23,4,2,15,1,15600,205770,122784,98586,42122400,566950600,337961500,271111500,2700.153846153846,2752.488109199896,2755.2636438742284,2750.0,-107184.0,1389-09-02
2010-11-24,1,1,5,0,20000,26411,46411,0,55020000,72696547,127716547,0,2751.0,2751.8594083299217,2752.5102040816328,,-26411.0,1389-09-03
2010-11-27,5,1,17,0,30791,109393,140184,0,84136716,302090125,386226841,0,2732.510019161444,2755.14210608914,2761.5123911036358,,-109393.0,1389-09-06
2010-11-28,0,2,4,0,0,14330,14330,0,0,39704360,39704360,0,,2770.715980460572,2770.715980460572,,-14330.0,1389-09-07
2010-11-29,1,4,14,0,2000,74309,76309,0,5422000,205300520,210722520,0,2711.0,2761.437314078287,2762.794816240294,,-74309.0,1389-09-08
2010-11-30,5,6,23,1,26101,495500,335721,185880,70850753,1371117720,923549153,518419320,2714.484234320524,2750.942458172113,2767.139697275479,2789.0,-309620.0,1389-09-09
2010-12-01,5,3,8,1,10000,76029,36029,50000,27000000,211032602,99082602,138950000,2700.0,2750.0791584556887,2775.6856199608046,2779.0,-26029.0,1389-09-10
2010-12-04,3,2,13,1,19000,684741,153741,550000,51213000,1900103158,423166158,1528150000,2695.4210526315787,2752.461334322009,2774.9224276040136,2778.454545454545,-134741.0,1389-09-13
2010-12-05,2,2,8,1,5005,381500,212000,174505,13478835,1051949005,582398000,483029840,2693.073926073926,2747.1603773584907,2757.402372214941,2768.0,-206995.0,1389-09-14
2010-12-06,2,1,19,0,2004,190687,192691,0,5467736,519955276,525423012,0,2728.4111776447107,2726.764675049691,2726.747371346762,,-190687.0,1389-09-15
2010-12-07,0,2,3,0,0,21000,21000,0,0,57170000,57170000,0,,2722.3809523809523,2722.3809523809523,,-21000.0,1389-09-16
2010-12-08,0,1,8,0,0,158158,158158,0,0,427334570,427334570,0,,2701.947229985205,2701.947229985205,,-158158.0,1389-09-17
2010-12-11,4,2,17,1,60200,200631,235336,25495,162258800,542003169,635425469,68836500,2695.328903654485,2700.077629431961,2701.4926357342583,2700.0,-175136.0,1389-09-20
2010-12-12,2,1,13,1,39768,210685,210453,40000,108948244,568863886,570972130,106840000,2739.595755381211,2713.062441495251,2700.068282032418,2671.0,-170685.0,1389-09-21
2010-12-13,4,1,11,0,41710,36180,77890,0,112985990,98384000,211369990,0,2708.846559578039,2713.698677622288,2719.2924267551134,,-36180.0,1389-09-22
2010-12-14,0,2,12,1,0,91715,89615,2100,0,247676040,241966140,5709900,,2700.062935892429,2700.496538188955,2719.0,-89615.0,1389-09-23
2010-12-18,0,2,11,1,0,195750,95750,100000,0,529192500,258392500,270800000,,2698.616187989556,2703.409961685824,2708.0,-95750.0,1389-09-27
2010-12-19,4,2,14,2,14500,150000,156227,8273,37262000,398353000,414369936,21245064,2569.793103448276,2652.358017500176,2655.6866666666665,2568.0,-141727.0,1389-09-28
2010-12-20,22,3,16,2,198185,312689,318747,192127,499532792,822049871,837157737,484424926,2520.537840906224,2626.401933194665,2628.969586394149,2521.37870262899,-120562.0,1389-09-29
2010-12-21,7,2,11,0,25500,101000,126500,0,65394000,265617010,331011010,0,2564.470588235294,2616.6878260869566,2629.871386138614,,-101000.0,1389-09-30
2010-12-22,5,2,17,2,17500,111137,95317,33320,45255400,295195171,252537443,87913128,2586.022857142857,2649.448083762603,2656.1376589254705,2638.449219687875,-77817.0,1389-10-01
2010-12-25,0,2,5,0,0,101450,101450,0,0,272649050,272649050,0,,2687.5214391325776,2687.5214391325776,,-101450.0,1389-10-04
2010-12-26,1,1,11,0,1026,50000,51026,0,2668626,134396612,137065238,0,2601.0,2686.184259005213,2687.93224,,-50000.0,1389-10-05
2010-12-27,2,2,8,1,3146,105000,105976,2170,8100804,279714077,282042681,5772200,2574.953591862683,2661.3825866233865,2663.9435904761904,2660.0,-102830.0,1389-10-06
2010-12-28,0,2,5,1,0,250000,100000,150000,0,660552513,263502513,397050000,,2635.02513,2642.210052,2647.0,-100000.0,1389-10-07
2010-12-29,0,2,11,2,0,265300,124900,140400,0,699679900,327516300,372163600,,2622.228182546037,2637.315868827742,2650.737891737892,-124900.0,1389-10-08
2011-01-01,0,2,9,2,0,110000,76400,33600,0,289709740,202018940,87690800,,2644.2269633507854,2633.724909090909,2609.845238095238,-76400.0,1389-10-11
2011-01-02,1,2,6,1,8000,265884,167114,106770,20272000,698368806,438385706,280255100,2534.0,2623.273370274184,2626.5920702261137,2624.848740282851,-159114.0,1389-10-12
2011-01-03,1,2,6,1,7182,550000,290642,266540,18745020,1430450581,756861791,692333810,2610.0,2604.1032989038063,2600.819238181818,2597.485593156749,-283460.0,1389-10-13
2011-01-04,2,3,10,1,20000,740000,323310,436690,52000000,1918368290,838829190,1131539100,2600.0,2594.504314744363,2592.389581081081,2591.172456433625,-303310.0,1389-10-14
2011-01-05,2,1,5,0,3700,50000,53700,0,9941900,134050600,143992500,0,2687.0,2681.424581005587,2681.012,,-50000.0,1389-10-15
2011-01-08,1,1,9,0,500,100000,100500,0,1280500,268806146,270086646,0,2561.0,2687.429313432836,2688.06146,,-100000.0,1389-10-18
2011-01-09,2,3,24,2,16355,381000,297355,100000,46126028,1039228028,816504056,268850000,2820.301314582696,2745.8897815742125,2727.632619422572,2688.5,-281000.0,1389-10-19
2011-01-10,0,1,10,2,0,158613,142778,15835,0,446201695,400802750,45398945,,2807.174424631245,2813.147062346718,2867.0,-142778.0,1389-10-20
2011-01-11,4,2,20,3,31500,2513164,288818,2255846,91038500,7351034385,839337882,6602735003,2890.1111111111118,2906.1134763068785,2925.0118118037662,2926.9440391764333,-257318.0,1389-10-21
