date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-05-08,17529,175,0,1,25088427,4527842,0,29616269,52685696700,9508468200,0,62194164900,2100.0,,2100.0,2100.0,25088427.0,1392-02-18
2013-05-11,4,0,27,0,15072,0,15072,0,33233760,0,33233760,0,2205.0,2205.0,,,0.0,1392-02-21
2013-05-12,55,1,119,0,172828,10000,182828,0,400096820,23150000,423246820,0,2315.0,2315.0,2315.0,,-10000.0,1392-02-22
2013-05-13,918,12,6049,53,12675643,1773668,12779832,1669479,28805090008,3976337968,29022148049,3759279927,2272.475645456408,2270.9334558545056,2241.8727563444795,2251.7683223328954,-104189.0,1392-02-23
2013-05-14,349,7,1824,15,3620654,1000000,3733744,886910,7849413527,2164805054,8097330989,1916887592,2167.9546090291974,2168.689387649501,2164.805054,2161.3101577386656,-113090.0,1392-02-24
2013-05-15,238,2,619,7,1817820,30000,1775420,72400,3942291022,64729921,3850941743,156079200,2168.6916317347154,2169.0314083428148,2157.664033333333,2155.790055248619,42400.0,1392-02-25
2013-05-18,175,1,576,2,1434106,781000,2207926,7180,2987849580,1656886589,4629578010,15158159,2083.423108194234,2096.799444365436,2121.4937119078104,2111.1642061281336,-773820.0,1392-02-28
2013-05-19,140,1,404,4,1335045,40000,1301592,73453,2878002430,86388194,2806457354,157933270,2155.734398465969,2156.172866766237,2159.70485,2150.126883857705,33453.0,1392-02-29
2013-05-20,199,4,286,4,1802721,72000,1791721,83000,3829310998,153727895,3806726583,176312310,2124.183940831665,2124.620174123092,2135.1096527777777,2124.2446987951807,11000.0,1392-02-30
2013-05-21,112,2,183,1,967732,40000,990732,17000,2023587664,83709000,2071936664,35360000,2091.062054370425,2091.31900857144,2092.725,2080.0,-23000.0,1392-02-31
2013-05-22,83,3,159,1,792688,43000,815688,20000,1641261762,89668734,1688950496,41980000,2070.501587005228,2070.583968380067,2085.319395348837,2099.0,-23000.0,1392-03-01
