date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-09-16,34992,230,0,1,24029827,6070173,0,30000000,129761065800,32778934200,0,162000000000,5400.0,,5400.0,5400.0,23929827.0,1394-06-25
2015-09-19,11,0,143,1,99439,0,98851,588,563819130,0,560485170,3333960,5670.0,5670.0,,5670.0,588.0,1394-06-28
2015-09-20,2274,18,15518,126,18196970,1666128,15983223,3879875,105042649643,9537781295,91874295817,22706135121,5772.535188165942,5748.170804912125,5724.5189415219,5852.285220786752,2213747.0,1394-06-29
2015-09-21,518,7,4499,14,5376163,1224250,6295513,304900,29571315178,6713903348,34609239262,1675979264,5500.44988926117,5497.445444398257,5484.095036144578,5496.816215152509,-919350.0,1394-06-30
2015-09-22,258,2,1547,10,2799717,61286,2718803,142200,15471043855,336866835,15020705171,787205519,5525.931319129755,5524.749373529454,5496.636018013902,5535.903790436006,80914.0,1394-06-31
2015-09-23,101,0,1102,3,2025384,0,1940384,85000,11260689113,0,10789264541,471424572,5559.77983088639,5560.375957027063,,5546.171435294118,85000.0,1394-07-01
2015-09-26,49,0,805,2,1480702,0,1413702,67000,8133417337,0,7763717337,369700000,5492.946816442472,5491.7637076272085,,5517.910447761194,67000.0,1394-07-04
2015-09-27,48,2,378,2,762807,58328,767135,54000,4154536334,316929400,4175402432,296063302,5446.379403964568,5442.852212452828,5433.572212316554,5482.65374074074,-4328.0,1394-07-05
2015-09-28,94,1,903,1,981377,10000,964377,27000,5409212256,55499900,5317192156,147520000,5511.859617659677,5513.603244374347,5549.99,5463.703703703704,17000.0,1394-07-06
2015-09-29,49,2,237,1,313661,34450,331111,17000,1717103369,188044700,1812131356,93016713,5474.392318458463,5472.881770765695,5458.481857764877,5471.571352941177,-17450.0,1394-07-07
2015-09-30,51,1,161,2,380474,150002,462726,67750,2058180774,810891981,2503011769,366060986,5409.517533392558,5409.274103897339,5405.874461673844,5403.114184501845,-82252.0,1394-07-08
2015-10-03,56,2,259,0,468652,151685,620337,0,2497311887,809259974,3306571861,0,5328.712748478615,5330.283154156531,5335.135141905924,,-151685.0,1394-07-11
2015-10-04,84,1,619,0,784957,5800,790757,0,4074839560,29948000,4104787560,0,5191.162777069318,5190.959498303524,5163.448275862069,,-5800.0,1394-07-12
2015-10-05,56,0,214,1,782277,0,735277,47000,4165635669,0,3913715669,251920000,5325.013606433527,5322.777224093777,,5360.0,47000.0,1394-07-13
2015-10-06,48,2,197,1,295647,106649,401696,600,1569278898,566152170,2132311068,3120000,5307.9479852662125,5308.270602644786,5308.555823308236,5200.0,-106049.0,1394-07-14
2015-10-07,48,1,122,2,258337,25000,282512,825,1358479417,130852071,1484984813,4346675,5258.555363730321,5256.360129835193,5234.08284,5268.69696969697,-24175.0,1394-07-15
2015-10-10,37,0,129,0,245823,0,245823,0,1279200511,0,1279200511,0,5203.746236112976,5203.746236112976,,,0.0,1394-07-18
