,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
176,2016-05-25,6,0,6,1,28501,0,13000,15501,65329830,0,30262500,35067330,2292.194308971615,2327.8846153846152,,2262.2624346816333,15501.0,1395-03-05
175,2016-05-28,8,0,23,0,83587,0,83587,0,192042095,0,192042095,0,2297.511514948497,2297.511514948497,,,0.0,1395-03-08
174,2016-05-29,4,0,16,0,54295,0,54295,0,124577380,0,124577380,0,2294.454001289253,2294.454001289253,,,0.0,1395-03-09
173,2016-05-30,5,1,14,0,78044,114350,192394,0,170801158,251915800,422716958,0,2188.523883962893,2197.1421042236243,2203.024048972453,,-114350.0,1395-03-10
172,2016-05-31,3,2,8,0,4664,6000,10664,0,9797720,12900000,22697720,0,2100.7118353344767,2128.44336084021,2150.0,,-6000.0,1395-03-11
171,2016-06-01,1,1,21,0,23589,18589,42178,0,49824699,40116828,89941527,0,2112.2005595828564,2132.427497747641,2158.0950024207864,,-18589.0,1395-03-12
170,2016-06-05,2,0,6,0,6560,0,6560,0,13878560,0,13878560,0,2115.6341463414637,2115.6341463414637,,,0.0,1395-03-16
169,2016-06-06,4,2,10,1,3466,94381,89847,8000,7063800,192151620,182495420,16720000,2038.0265435660704,2031.179894709896,2035.9142200230976,2090.0,-86381.0,1395-03-17
168,2016-06-07,1,1,20,0,18753,107500,126253,0,37506193,218302053,255808246,0,2000.0102916866635,2026.155782436853,2030.7167720930236,,-107500.0,1395-03-18
167,2016-06-08,2,1,23,1,29232,41138,26213,44157,58556808,82142881,52385689,88314000,2003.1748768472903,1998.462175256552,1996.7640867324612,2000.0,3019.0,1395-03-19
166,2016-06-11,2,0,1,1,10573,0,600,9973,20094700,0,1146000,18948700,1900.567483211955,1910.0,,1900.0,9973.0,1395-03-22
165,2016-06-12,3,1,15,2,75214,47916,22125,101005,143555906,91040400,42663614,191932692,1908.6327811311724,1928.2989378531076,1900.0,1900.2296123954256,53089.0,1395-03-23
164,2016-06-13,8,1,20,1,130500,3005,33505,100000,242323410,5792500,66487510,181628400,1856.884367816092,1984.4056111028208,1927.6206322795344,1816.284,96995.0,1395-03-24
163,2016-06-14,8,1,3,2,215117,819,16493,199443,382395622,1574937,29537331,354433228,1777.6169340405454,1790.9010489298491,1923.0,1777.115406406843,198624.0,1395-03-25
162,2016-06-15,7,1,3,1,36056,62010,2466,95600,61131940,104796900,4325840,161603000,1695.4720434879075,1754.1930251419303,1690.0,1690.4079497907949,33590.0,1395-03-26
161,2016-06-18,5,0,12,1,73150,0,56486,16664,129281300,0,100212436,29068864,1767.345181134655,1774.1110363629923,,1744.4109457513202,16664.0,1395-03-29
160,2016-06-19,2,1,12,0,10600,46027,56627,0,17808600,77304760,95113360,0,1680.0566037735848,1679.6468115916437,1679.5524366132922,,-46027.0,1395-03-30
159,2016-06-20,4,1,8,1,78840,24786,53386,50240,131849770,41424480,88582956,84691294,1672.3715119228818,1659.2918742741542,1671.285403050109,1685.734355095541,25454.0,1395-03-31
158,2016-06-21,2,0,4,1,13873,0,3643,10230,23082498,0,5896098,17186400,1663.8432927268796,1618.4732363436729,,1680.0,10230.0,1395-04-01
157,2016-06-22,3,0,10,2,55851,0,5852,49999,94184094,0,10095774,84088320,1686.3457055379492,1725.1835269993164,,1681.80003600072,49999.0,1395-04-02
156,2016-06-25,1,1,5,0,1201,500,1701,0,1998533,885000,2883533,0,1664.0574521232306,1695.1987066431511,1770.0,,-500.0,1395-04-05
155,2016-06-26,2,0,14,0,191795,0,191795,0,340942015,0,340942015,0,1777.6376600015642,1777.6376600015642,,,0.0,1395-04-06
154,2016-06-28,2,0,7,0,9550,0,9550,0,17111658,0,17111658,0,1791.7966492146595,1791.7966492146595,,,0.0,1395-04-08
153,2016-06-29,6,0,6,0,4815,0,4815,0,8300022,0,8300022,0,1723.7844236760125,1723.7844236760125,,,0.0,1395-04-09
152,2016-07-02,1,0,1,0,700,0,700,0,1267000,0,1267000,0,1810.0,1810.0,,,0.0,1395-04-12
151,2016-07-03,4,0,4,0,5640,0,5640,0,9764140,0,9764140,0,1731.2304964539007,1731.2304964539007,,,0.0,1395-04-13
150,2016-07-04,2,0,2,0,2100,0,2100,0,3556700,0,3556700,0,1693.6666666666667,1693.6666666666667,,,0.0,1395-04-14
149,2016-07-05,4,1,11,0,11796,8533,20329,0,19695792,14400110,34095902,0,1669.700915564598,1677.2050764917117,1687.5788116723309,,-8533.0,1395-04-15
148,2016-07-09,1,1,7,0,821,6500,7321,0,1363681,10927500,12291181,0,1661.0,1678.8937303647042,1681.1538461538462,,-6500.0,1395-04-19
147,2016-07-10,5,1,11,1,49945,28385,31330,47000,82429666,46506941,51433430,77503177,1650.4087696466113,1641.6670922438557,1638.4337149903115,1649.0037659574468,18615.0,1395-04-20
146,2016-07-11,4,0,4,0,10521,0,10521,0,17011120,0,17011120,0,1616.8729208250163,1616.8729208250163,,,0.0,1395-04-21
145,2016-07-12,4,1,29,0,104063,9550,113613,0,173658690,15372500,189031190,0,1668.7841980338833,1663.8165526832315,1609.6858638743456,,-9550.0,1395-04-22
144,2016-07-13,5,1,2,0,3050,6000,9050,0,4876507,9720000,14596507,0,1598.854754098361,1612.8737016574585,1620.0,,-6000.0,1395-04-23
143,2016-07-16,6,1,13,0,69267,5000,74267,0,113628248,8000000,121628248,0,1640.438419449377,1637.7159168944484,1600.0,,-5000.0,1395-04-26
142,2016-07-17,9,1,8,1,110174,500,63674,47000,174665369,824500,100582111,74907758,1585.359240837221,1579.6417847158966,1649.0,1593.782085106383,46500.0,1395-04-27
141,2016-07-18,25,1,18,0,348946,50000,398946,0,526490576,75450000,601940576,0,1508.802439345916,1508.8271996711337,1509.0,,-50000.0,1395-04-28
140,2016-07-19,5,1,16,0,12530,23005,35535,0,19049161,35657750,54706911,0,1520.28419792498,1539.5219079780495,1550.0,,-23005.0,1395-04-29
139,2016-07-20,11,1,25,1,33508,209654,196162,47000,50730608,315475440,295706048,70500000,1513.9849588158052,1507.4583660443918,1504.7432436299807,1500.0,-162654.0,1395-04-30
138,2016-10-29,4,0,0,1,33600,0,0,33600,67200000,0,0,67200000,2000.0,,,2000.0,33600.0,1395-08-08
137,2016-10-30,8,0,0,1,420000,0,0,420000,840000000,0,0,840000000,2000.0,,,2000.0,420000.0,1395-08-09
136,2016-10-31,1,0,0,1,20000,0,0,20000,40000000,0,0,40000000,2000.0,,,2000.0,20000.0,1395-08-10
135,2016-11-01,1,1,0,1,1000,50000,0,51000,2000000,95000000,0,97000000,2000.0,,1900.0,1901.9607843137253,1000.0,1395-08-11
134,2016-11-02,2,0,0,1,36000,0,0,36000,66397000,0,0,66397000,1844.361111111111,,,1844.361111111111,36000.0,1395-08-12
133,2016-11-05,1,1,0,1,1000,5000,0,6000,1844000,9000000,0,10844000,1844.0,,1800.0,1807.3333333333333,1000.0,1395-08-15
132,2016-11-06,2,0,0,1,51000,0,0,51000,87807000,0,0,87807000,1721.7058823529412,,,1721.7058823529412,51000.0,1395-08-16
131,2016-11-07,2,2,0,1,3000,20000,0,23000,5166000,34440000,0,39606000,1722.0,,1722.0,1722.0,3000.0,1395-08-17
130,2016-11-08,2,0,0,1,4000,0,0,4000,6837000,0,0,6837000,1709.25,,,1709.25,4000.0,1395-08-18
129,2016-11-09,3,0,0,1,15700,0,0,15700,26062000,0,0,26062000,1660.0,,,1660.0,15700.0,1395-08-19
128,2016-11-12,5,2,0,1,101969,800000,0,901969,169268540,1328000000,0,1497268540,1660.0,,1660.0,1660.0,101969.0,1395-08-22
127,2016-11-13,2,0,0,1,8560,0,0,8560,14209600,0,0,14209600,1660.0,,,1660.0,8560.0,1395-08-23
126,2016-11-14,62,4,0,1,5925209,4200000,0,10125209,9835938440,6972000000,0,16807938440,1660.015442493252,,1660.0,1660.009036850499,5925209.0,1395-08-24
125,2017-02-27,12,0,16,0,113523,0,113523,0,70928457,0,70928457,0,624.793715810893,624.793715810893,,,0.0,1395-12-09
124,2017-02-28,5,0,27,0,265177,0,265177,0,173807030,0,173807030,0,655.4378019209811,655.4378019209811,,,0.0,1395-12-10
123,2017-03-01,15,0,38,0,579539,0,579539,0,398092589,0,398092589,0,686.912509770697,686.912509770697,,,0.0,1395-12-11
122,2017-03-04,12,1,14,1,198634,32831,91465,140000,130035004,21438643,59829861,91643786,654.6462539142342,654.1284753730936,653.0,654.5984714285714,107169.0,1395-12-14
121,2017-03-05,5,0,21,0,99093,0,99093,0,65720924,0,65720924,0,663.2246879194292,663.2246879194292,,,0.0,1395-12-15
120,2017-03-06,5,0,8,0,29684,0,29684,0,19404331,0,19404331,0,653.6966379194179,653.6966379194179,,,0.0,1395-12-16
119,2017-03-07,5,0,9,0,46980,0,46980,0,29730229,0,29730229,0,632.8273520647084,632.8273520647084,,,0.0,1395-12-17
118,2017-03-08,5,0,9,0,65066,0,65066,0,39322942,0,39322942,0,604.3546860111271,604.3546860111271,,,0.0,1395-12-18
117,2017-03-11,5,0,6,0,78606,0,78606,0,45601102,0,45601102,0,580.12240795868,580.12240795868,,,0.0,1395-12-21
116,2017-03-12,4,0,8,0,78054,0,78054,0,44753893,0,44753893,0,573.3709098829016,573.3709098829016,,,0.0,1395-12-22
115,2017-03-13,8,0,23,1,355303,0,203490,151813,208461315,0,122134689,86326626,586.7141988668826,600.1999557717824,,568.63790320987,151813.0,1395-12-23
114,2017-03-14,10,0,17,1,837426,0,337426,500000,513395460,0,205395460,308000000,613.0636736857944,608.7126066159691,,616.0,500000.0,1395-12-24
113,2017-03-15,6,0,6,0,47135,0,47135,0,28782591,0,28782591,0,610.6415826880237,610.6415826880237,,,0.0,1395-12-25
112,2017-03-18,3,0,4,0,6433,0,6433,0,3930905,0,3930905,0,611.0531633763408,611.0531633763408,,,0.0,1395-12-28
111,2017-03-25,6,0,6,0,52912,0,52912,0,32385749,0,32385749,0,612.0681319927427,612.0681319927427,,,0.0,1396-01-05
