date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-06-17,467375,1067,0,2,199528477,471523,0,200000000,4489390732500,10609267500,0,4500000000000,22500.0,,22500.0,22500.0,199528477.0,1398-03-27
2019-06-18,2,3,1137,4,115904,250000,364121,1783,2738232000,5906250000,8602358625,42123375,23625.0,23625.0,23625.0,23625.0,-248217.0,1398-03-28
2019-06-19,93,20,19680,52,5567733,2500000,8044568,23165,136949528601,61492500000,197872239096,569789505,24597.0,24597.0,24597.0,24597.0,-2476835.0,1398-03-29
2019-06-24,9395,43,62291,184,31360080,4116080,32339425,3136735,927884838613,121476831680,955778121834,93583548459,29588.08901676909,29554.57995415812,29512.747973800317,29834.70024053673,-979345.0,1398-04-03
2019-06-25,7690,22,42280,129,17060983,4004232,20908391,156824,483877094014,113211936141,592673239848,4415790307,28361.61867191357,28346.19076369865,28273.071125998693,28157.618138805286,-3847408.0,1398-04-04
2019-06-26,9600,28,55968,87,25625652,3602315,29094466,133501,730321580648,103516483887,830002285727,3835778808,28499.629224965676,28527.840508466456,28736.099948782936,28732.210305540782,-3468814.0,1398-04-05
2019-06-30,6226,18,25169,38,13981768,892846,14848829,25785,394037042145,25033557308,418338602038,731997415,28182.20429240422,28173.17123377204,28037.934098377547,28388.49777002133,-867061.0,1398-04-09
2019-07-01,4671,26,20307,27,8833753,3182393,11928293,87853,240796381825,86710638500,325124423649,2382596676,27258.672709662587,27256.57591149044,27246.9925933095,27120.26539788055,-3094540.0,1398-04-10
2019-07-02,2961,12,15136,26,6904747,1765203,8553485,116465,190569360613,48523275856,235897746510,3194889959,27599.760079985557,27579.1383874526,27488.77939591084,27432.18957626755,-1648738.0,1398-04-11
2019-07-03,2251,13,15773,23,3854070,2612223,6193954,272339,107742458276,73161777261,173314239507,7589996030,27955.501139315063,27981.195776881777,28007.47763916021,27869.66255292117,-2339884.0,1398-04-12
2019-07-06,3580,12,9648,27,5427460,1314838,6685725,56573,147345437388,35657962393,181468284229,1535115552,27148.138795679748,27142.648587699918,27119.662188801965,27135.127216163182,-1258265.0,1398-04-15
2019-07-07,2497,13,8776,5,3479555,2152769,5630096,2228,93983305987,58216089790,152139199052,60196725,27010.151006953474,27022.487547636843,27042.42293994386,27018.278725314183,-2150541.0,1398-04-16
2019-07-08,2773,13,7632,21,4667842,1474553,6111418,30977,126200752597,39870426735,165233002630,838176702,27036.209151252333,27036.769965661,27038.991975873367,27058.033444168253,-1443576.0,1398-04-17
2019-07-09,2501,27,17029,21,5191311,4153949,9233723,111537,137065628750,109712262434,243837058055,2940833129,26402.892978286214,26407.231195369408,26411.55739610669,26366.435613294245,-4042412.0,1398-04-18
2019-07-10,2772,60,18277,8,5434678,4270964,9631323,74319,141795612538,111487424178,251347541578,1935495138,26090.894904537123,26096.886334099687,26103.57384843328,26043.07294231623,-4196645.0,1398-04-19
2019-07-13,3915,35,26770,24,8491015,3966839,12348937,108917,218538724013,102115057910,317833796087,2819985836,25737.64432320517,25737.74536925729,25742.17353162052,25891.144963596133,-3857922.0,1398-04-22
2019-07-14,1861,4,4041,13,3299799,155252,3372375,82676,88797125379,4144012951,90713575085,2227563245,26909.85886685825,26899.017779754624,26692.17112178909,26943.28759252988,-72576.0,1398-04-23
2019-07-15,4490,9,5468,30,6741255,711553,7244642,208166,184074186924,19399704862,197754748556,5719143230,27305.62586996041,27296.690237557632,27263.89300867258,27473.954584322128,-503387.0,1398-04-24
