date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-10-19,0,1,4,0,0,700000,700000,0,0,1012900000,1012900000,0,,1447.0,1447.0,,-700000.0,1392-07-27
2013-12-11,1,0,1,0,15000,0,15000,0,30000000,0,30000000,0,2000.0,2000.0,,,0.0,1392-09-20
2013-12-22,1,0,1,0,1658,0,1658,0,4974000,0,4974000,0,3000.0,3000.0,,,0.0,1392-10-01
2013-12-25,1,0,1,0,3300,0,3300,0,9900000,0,9900000,0,3000.0,3000.0,,,0.0,1392-10-04
2014-01-14,1,0,1,0,10042,0,10042,0,21289040,0,21289040,0,2120.0,2120.0,,,0.0,1392-10-24
2014-02-10,1,0,1,0,15000,0,15000,0,31800000,0,31800000,0,2120.0,2120.0,,,0.0,1392-11-21
2014-02-24,1,0,1,0,15000,0,15000,0,31800000,0,31800000,0,2120.0,2120.0,,,0.0,1392-12-05
2014-03-02,1,0,1,0,3300,0,3300,0,6996000,0,6996000,0,2120.0,2120.0,,,0.0,1392-12-11
2014-03-04,1,0,1,0,15000,0,15000,0,31800000,0,31800000,0,2120.0,2120.0,,,0.0,1392-12-13
2014-03-10,1,0,1,0,469,0,469,0,994749,0,994749,0,2121.0,2121.0,,,0.0,1392-12-19
2014-03-26,1,0,1,0,15000,0,15000,0,30000000,0,30000000,0,2000.0,2000.0,,,0.0,1393-01-06
2014-04-05,1,0,1,0,15000,0,15000,0,24000000,0,24000000,0,1600.0,1600.0,,,0.0,1393-01-16
2014-04-14,1,0,1,0,10000,0,10000,0,15500000,0,15500000,0,1550.0,1550.0,,,0.0,1393-01-25
2014-04-15,1,0,1,0,10000,0,10000,0,15000000,0,15000000,0,1500.0,1500.0,,,0.0,1393-01-26
2014-04-26,1,0,1,0,2438,0,2438,0,3681380,0,3681380,0,1510.0,1510.0,,,0.0,1393-02-06
2014-05-05,2,0,2,0,1100,0,1100,0,1610000,0,1610000,0,1463.6363636363635,1463.6363636363635,,,0.0,1393-02-15
2014-05-10,1,0,1,0,100,0,100,0,150000,0,150000,0,1500.0,1500.0,,,0.0,1393-02-20
2014-05-14,1,0,1,0,10000,0,10000,0,14500000,0,14500000,0,1450.0,1450.0,,,0.0,1393-02-24
2014-05-21,1,0,1,0,10000,0,10000,0,14000000,0,14000000,0,1400.0,1400.0,,,0.0,1393-02-31
2014-06-02,1,0,1,0,15000,0,15000,0,21015000,0,21015000,0,1401.0,1401.0,,,0.0,1393-03-12
2014-06-03,1,0,1,0,7562,0,7562,0,10586800,0,10586800,0,1400.0,1400.0,,,0.0,1393-03-13
2014-06-23,2,0,2,0,3400,0,3400,0,4885000,0,4885000,0,1436.764705882353,1436.764705882353,,,0.0,1393-04-02
2014-07-02,1,0,1,0,2000,0,2000,0,2800000,0,2800000,0,1400.0,1400.0,,,0.0,1393-04-11
2014-07-06,1,0,1,0,15000,0,15000,0,21000000,0,21000000,0,1400.0,1400.0,,,0.0,1393-04-15
2014-07-22,1,0,1,0,15000,0,15000,0,21000000,0,21000000,0,1400.0,1400.0,,,0.0,1393-04-31
2014-07-26,1,0,1,0,5000,0,5000,0,7000000,0,7000000,0,1400.0,1400.0,,,0.0,1393-05-04
2014-09-07,2,0,1,0,1250,0,1250,0,1825000,0,1825000,0,1460.0,1460.0,,,0.0,1393-06-16
2014-09-16,1,0,1,0,1500,0,1500,0,1500000,0,1500000,0,1000.0,1000.0,,,0.0,1393-06-25
2014-10-22,2,0,5,0,26810,0,26810,0,37948000,0,37948000,0,1415.4419992540095,1415.4419992540095,,,0.0,1393-07-30
2014-10-28,1,0,1,0,5000,0,5000,0,6000000,0,6000000,0,1200.0,1200.0,,,0.0,1393-08-06
2014-11-30,1,0,1,0,5000,0,5000,0,7750000,0,7750000,0,1550.0,1550.0,,,0.0,1393-09-09
2014-12-24,2,0,1,0,10525,0,10525,0,11525525,0,11525525,0,1095.061757719715,1095.061757719715,,,0.0,1393-10-03
2015-01-11,2,0,2,0,25000,0,25000,0,24190000,0,24190000,0,967.6,967.6,,,0.0,1393-10-21
2015-01-25,1,0,1,0,5525,0,5525,0,5027750,0,5027750,0,910.0,910.0,,,0.0,1393-11-05
