date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2017-10-09,126199,618,0,1,79609413,390587,0,80000000,95531295600,468704400,0,96000000000,1200.0,,1200.0,1200.0,79609413.0,1396-07-17
2017-10-10,7,0,130,0,55411,0,55411,0,69817860,0,69817860,0,1260.0,1260.0,,,0.0,1396-07-18
2017-10-11,19,0,297,0,184833,0,184833,0,244534059,0,244534059,0,1323.0,1323.0,,,0.0,1396-07-19
2017-10-14,20,0,302,6,188194,0,185033,3161,261401466,0,257010837,4390629,1389.0,1389.0,,1389.0,3161.0,1396-07-22
2017-10-15,92,2,380,2,1003241,20000,222609,800632,1462725378,29160000,324563922,1167321456,1458.0,1458.0,1458.0,1458.0,780632.0,1396-07-23
2017-10-16,3668,33,35183,260,72627321,710000,26835132,46502189,111116596530,1086279144,41054544832,71148330842,1529.955876108937,1529.8804877128982,1529.9706253521126,1529.9996058680165,45792189.0,1396-07-24
2017-10-17,1977,3,46156,189,41923810,6460000,48149185,234625,61945113642,9499975814,71098028777,347060679,1477.5640296528393,1476.6195684724466,1470.5844913312694,1479.214401704848,-6225375.0,1396-07-25
2017-10-18,622,2,14673,56,11420302,11060000,22427425,52877,16725313821,16156249506,32804159299,77404028,1464.5246527631232,1462.6805930239427,1460.7820529837252,1463.8505966677385,-11007123.0,1396-07-26
2017-10-21,619,2,5239,10,8307826,6992248,15285017,15057,11811525494,9906446889,21696607288,21365095,1421.7348189526358,1419.4689667666055,1416.775676291802,1418.9476655376236,-6977191.0,1396-07-29
2017-10-22,551,2,3807,15,8750255,3440000,12180775,9480,11972181198,4728865420,16688070394,12976224,1368.209406240161,1370.0335482758692,1374.670180232558,1368.8,-3430520.0,1396-07-30
2017-10-23,341,2,2706,16,4520475,1396521,5618740,298256,6126471700,1888253477,7609995758,404729419,1355.271669459515,1354.395426376732,1352.112483091912,1356.9866792285825,-1098265.0,1396-08-01
2017-10-24,289,3,1905,2,3303259,651205,3943200,11264,4400618043,882375405,5268062960,14930488,1332.2049657625998,1335.9867518766484,1354.9886825193296,1325.504971590909,-639941.0,1396-08-02
2017-10-25,279,2,1221,6,3670865,541110,4205192,6783,4842311977,733801048,5567125970,8987055,1319.1201466139453,1323.8696283071022,1356.1032839903162,1324.938080495356,-534327.0,1396-08-03
2017-10-28,264,0,1085,4,4124094,0,4082198,41896,5513524848,0,5457067816,56457032,1336.905717473947,1336.7964552429844,,1347.5518426580104,41896.0,1396-08-06
2017-10-29,200,0,562,0,2619909,0,2619909,0,3454645150,0,3454645150,0,1318.6126502867085,1318.6126502867085,,,0.0,1396-08-07
2017-10-30,285,1,601,4,4187865,100000,4277222,10643,5425648927,128970000,5540913288,13705639,1295.5644288915712,1295.4467380930894,1289.7,1287.7608756929435,-89357.0,1396-08-08
