date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-08-31,2,0,1,0,15000,0,15000,0,19050000,0,19050000,0,1270.0,1270.0,,,0.0,1393-06-09
2014-10-08,2,0,1,0,10000,0,10000,0,19990000,0,19990000,0,1999.0,1999.0,,,0.0,1393-07-16
2014-10-15,2,0,2,0,2100,0,2100,0,4600000,0,4600000,0,2190.4761904761904,2190.4761904761904,,,0.0,1393-07-23
2014-10-19,2,0,1,0,9000,0,9000,0,22500000,0,22500000,0,2500.0,2500.0,,,0.0,1393-07-27
2014-10-20,3,0,4,0,14900,0,14900,0,47200000,0,47200000,0,3167.7852348993288,3167.7852348993288,,,0.0,1393-07-28
2014-10-21,2,0,2,0,6800,0,6800,0,26840000,0,26840000,0,3947.058823529412,3947.058823529412,,,0.0,1393-07-29
2014-10-22,2,0,1,0,5900,0,5900,0,40300000,0,40300000,0,6830.508474576272,6830.508474576272,,,0.0,1393-07-30
2014-10-25,3,0,1,0,4900,0,4900,0,48510000,0,48510000,0,9900.0,9900.0,,,0.0,1393-08-03
2014-10-26,5,0,2,0,11885,0,11885,0,118850000,0,118850000,0,10000.0,10000.0,,,0.0,1393-08-04
2014-10-28,3,0,4,0,30240,0,30240,0,137460000,0,137460000,0,4545.6349206349205,4545.6349206349205,,,0.0,1393-08-06
2014-11-02,8,0,2,0,37164,0,37164,0,112827000,0,112827000,0,3035.9218598643847,3035.9218598643847,,,0.0,1393-08-11
2014-11-05,7,0,5,0,52736,0,52736,0,161010000,0,161010000,0,3053.1325849514565,3053.1325849514565,,,0.0,1393-08-14
2014-11-08,2,0,3,0,24000,0,24000,0,81400000,0,81400000,0,3391.6666666666665,3391.6666666666665,,,0.0,1393-08-17
2014-11-09,3,0,4,0,32500,0,32500,0,120117500,0,120117500,0,3695.923076923077,3695.923076923077,,,0.0,1393-08-18
2014-11-10,7,0,6,0,57750,0,57750,0,259378500,0,259378500,0,4491.402597402597,4491.402597402597,,,0.0,1393-08-19
2014-11-11,6,0,6,0,67721,0,67721,0,326490800,0,326490800,0,4821.1160496744,4821.1160496744,,,0.0,1393-08-20
2014-11-12,3,0,4,0,37000,0,37000,0,156638400,0,156638400,0,4233.470270270271,4233.470270270271,,,0.0,1393-08-21
2014-11-16,7,0,5,0,31500,0,31500,0,125964500,0,125964500,0,3998.873015873016,3998.873015873016,,,0.0,1393-08-25
2014-11-17,1,0,1,0,2000,0,2000,0,8000000,0,8000000,0,4000.0,4000.0,,,0.0,1393-08-26
2014-11-19,4,0,4,0,15750,0,15750,0,60705500,0,60705500,0,3854.31746031746,3854.31746031746,,,0.0,1393-08-28
2014-11-22,8,0,4,0,35541,0,35541,0,127778709,0,127778709,0,3595.247995273065,3595.247995273065,,,0.0,1393-09-01
2014-11-23,3,0,2,0,120958,0,120958,0,435448800,0,435448800,0,3600.0,3600.0,,,0.0,1393-09-02
2014-11-24,5,0,3,0,18000,0,18000,0,64816000,0,64816000,0,3600.8888888888887,3600.8888888888887,,,0.0,1393-09-03
2014-11-25,2,0,2,0,7000,0,7000,0,25427500,0,25427500,0,3632.5,3632.5,,,0.0,1393-09-04
2014-11-26,3,0,5,0,15500,0,15500,0,58820000,0,58820000,0,3794.83870967742,3794.83870967742,,,0.0,1393-09-05
2014-12-01,2,0,3,0,22000,0,22000,0,77242000,0,77242000,0,3511.0,3511.0,,,0.0,1393-09-10
2014-12-02,3,0,4,0,23048,0,23048,0,80838931,0,80838931,0,3507.416305102395,3507.416305102395,,,0.0,1393-09-11
2014-12-03,1,0,1,0,1453,0,1453,0,4882080,0,4882080,0,3360.0,3360.0,,,0.0,1393-09-12
2014-12-06,7,0,3,0,46115,0,46115,0,142085500,0,142085500,0,3081.112436300553,3081.112436300553,,,0.0,1393-09-15
2014-12-07,1,0,1,0,4000,0,4000,0,11208000,0,11208000,0,2802.0,2802.0,,,0.0,1393-09-16
2014-12-08,1,0,2,0,3200,0,3200,0,8960000,0,8960000,0,2800.0,2800.0,,,0.0,1393-09-17
2014-12-15,2,0,3,0,25800,0,25800,0,72190000,0,72190000,0,2798.062015503876,2798.062015503876,,,0.0,1393-09-24
2014-12-20,1,0,1,0,1111,0,1111,0,2559744,0,2559744,0,2304.0,2304.0,,,0.0,1393-09-29
2014-12-24,2,0,2,0,87889,0,87889,0,243960300,0,243960300,0,2775.777401039948,2775.777401039948,,,0.0,1393-10-03
2014-12-27,1,0,2,0,700,0,700,0,2250760,0,2250760,0,3215.3714285714286,3215.3714285714286,,,0.0,1393-10-06
2014-12-30,3,1,4,0,1940,18500,20440,0,6311550,59181500,65493050,0,3253.3762886597938,3204.160958904109,3199.0,,-18500.0,1393-10-09
2015-01-07,1,0,1,0,3300,0,3300,0,8250000,0,8250000,0,2500.0,2500.0,,,0.0,1393-10-17
2015-01-12,1,0,1,0,84,0,84,0,210000,0,210000,0,2500.0,2500.0,,,0.0,1393-10-22
2015-01-17,2,0,2,0,79700,0,79700,0,206754700,0,206754700,0,2594.161856963613,2594.161856963613,,,0.0,1393-10-27
2015-01-21,2,0,2,0,4714,0,4714,0,12100400,0,12100400,0,2566.9070852778955,2566.9070852778955,,,0.0,1393-11-01
2015-01-25,1,0,1,0,75000,0,75000,0,192525000,0,192525000,0,2567.0,2567.0,,,0.0,1393-11-05
2015-01-27,2,0,1,0,19068,0,19068,0,44257760,0,44257760,0,2321.04887770086,2321.04887770086,,,0.0,1393-11-07
2015-01-31,2,0,1,0,3000,0,3000,0,6960000,0,6960000,0,2320.0,2320.0,,,0.0,1393-11-11
2015-02-03,1,0,1,0,2000,0,2000,0,5560000,0,5560000,0,2780.0,2780.0,,,0.0,1393-11-14
2015-02-04,1,0,1,0,1500,0,1500,0,3930000,0,3930000,0,2620.0,2620.0,,,0.0,1393-11-15
2015-02-07,3,0,3,0,7210,0,7210,0,19102300,0,19102300,0,2649.4174757281558,2649.4174757281558,,,0.0,1393-11-18
2015-02-08,2,0,3,0,20000,0,20000,0,46458000,0,46458000,0,2322.9,2322.9,,,0.0,1393-11-19
2015-02-16,2,0,1,0,12000,0,12000,0,26666000,0,26666000,0,2222.1666666666665,2222.1666666666665,,,0.0,1393-11-27
2015-02-17,2,0,2,0,24000,0,24000,0,53292000,0,53292000,0,2220.5,2220.5,,,0.0,1393-11-28
2015-02-18,1,0,1,0,25000,0,25000,0,55000000,0,55000000,0,2200.0,2200.0,,,0.0,1393-11-29
2015-03-02,8,0,6,0,117300,0,117300,0,235710000,0,235710000,0,2009.462915601023,2009.462915601023,,,0.0,1393-12-11
2015-03-03,3,0,2,0,5700,0,5700,0,10077000,0,10077000,0,1767.8947368421052,1767.8947368421052,,,0.0,1393-12-12
2015-03-04,2,0,2,0,9000,0,9000,0,15790000,0,15790000,0,1754.4444444444443,1754.4444444444443,,,0.0,1393-12-13
2015-03-08,2,0,1,0,7500,0,7500,0,13275000,0,13275000,0,1770.0,1770.0,,,0.0,1393-12-17
2015-03-29,3,0,2,0,35000,0,35000,0,74000000,0,74000000,0,2114.285714285714,2114.285714285714,,,0.0,1394-01-09
2015-03-30,3,0,3,0,24000,0,24000,0,56361000,0,56361000,0,2348.375,2348.375,,,0.0,1394-01-10
2015-03-31,1,0,1,0,7469,0,7469,0,18224360,0,18224360,0,2440.0,2440.0,,,0.0,1394-01-11
