date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2012-03-05,123,0,49,1,2432330,0,932330,1500000,11528584401,0,4756496821,6772087580,4739.728737876851,5101.730954704879,,4514.725053333334,1500000.0,1390-12-15
2012-03-06,18,0,2,1,400200,0,200,400000,1991795400,0,995400,1990800000,4977.0,4977.0,,4977.0,400000.0,1390-12-16
2012-03-07,41,0,1,1,300430,0,430,300000,1569746750,0,2246750,1567500000,5225.0,5225.0,,5225.0,300000.0,1390-12-17
2012-03-10,71,1,39,1,869350,50000,419350,500000,4768741400,274297500,2300038900,2743000000,5485.410249036637,5484.771431978062,5485.95,5486.0,450000.0,1390-12-20
2012-03-11,14,0,6,1,227500,0,27500,200000,1310172500,0,158372500,1151800000,5759.0,5759.0,,5759.0,200000.0,1390-12-21
2012-03-12,43,1,52,0,498800,5000,503800,0,2838185100,27392500,2865577600,0,5690.026263031275,5687.926955140929,5478.5,,-5000.0,1390-12-22
2012-03-13,7,0,5,0,34800,0,34800,0,188405700,0,188405700,0,5413.956896551724,5413.956896551724,,,0.0,1390-12-23
2012-03-14,20,0,17,0,186800,0,186800,0,961280800,0,961280800,0,5146.042826552462,5146.042826552462,,,0.0,1390-12-24
2012-03-17,10,0,11,0,73050,0,73050,0,368760000,0,368760000,0,5048.049281314168,5048.049281314168,,,0.0,1390-12-27
2012-03-18,1,0,1,0,100,0,100,0,479600,0,479600,0,4796.0,4796.0,,,0.0,1390-12-28
2012-03-24,6,0,5,0,17800,0,17800,0,81957300,0,81957300,0,4604.342696629214,4604.342696629214,,,0.0,1391-01-05
2012-03-25,27,0,21,0,152003,0,152003,0,678214100,0,678214100,0,4461.846805655152,4461.846805655152,,,0.0,1391-01-06
2012-03-26,5,0,3,0,7600,0,7600,0,32565500,0,32565500,0,4284.934210526316,4284.934210526316,,,0.0,1391-01-07
2012-03-27,25,2,11,0,136478,38500,174978,0,565870602,162950000,728820602,0,4146.24043435572,4165.21278103533,4232.467532467533,,-38500.0,1391-01-08
2012-03-28,11,1,14,0,69968,2500,72468,0,302311758,10875000,313186758,0,4320.714583809741,4321.724871667495,4350.0,,-2500.0,1391-01-09
2012-04-02,1,1,1,0,1500,8500,10000,0,6483000,36737000,43220000,0,4322.0,4322.0,4322.0,,-8500.0,1391-01-14
2012-04-03,7,0,3,0,28000,0,28000,0,116567000,0,116567000,0,4163.107142857143,4163.107142857143,,,0.0,1391-01-15
2012-04-04,6,1,14,0,121035,100,121135,0,493670201,408000,494078201,0,4078.7392159292767,4078.7402567383497,4080.0,,-100.0,1391-01-16
