date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-07-22,5957,257,0,1,109199505,44244795,0,153444300,152891663227,61946998174,0,214838661401,1400.1131527748223,,1400.0968514827564,1400.1084523895645,109199505.0,1388-04-31
2009-07-25,1291,55,1,2,18289036,4930964,20000,23200000,26372789912,7110450088,28840000,33454400000,1442.0,1442.0,1442.0,1442.0,18269036.0,1388-05-03
2009-07-26,1623,92,4,2,31452640,8563860,16500,40000000,46707170400,12717332100,24502500,59400000000,1485.0,1485.0,1485.0,1485.0,31436140.0,1388-05-04
2009-07-27,1017,49,51,21,15917247,4739800,617047,20040000,24337470663,7247154200,943464863,30641160000,1529.0,1529.0,1529.0,1529.0,15300200.0,1388-05-05
2009-07-28,1457,80,89,50,39794094,11511818,1005912,50300000,62635903956,18119601532,1583305488,79172200000,1574.0,1574.0,1574.0,1574.0,38788182.0,1388-05-06
2009-07-29,1063,84,1367,87,56654243,48368613,43931764,61091092,91836427903,78405501673,71213269444,99028660132,1620.9982349071363,1620.9972684911993,1620.9995865087135,1621.0,12722479.0,1388-05-07
2009-08-01,597,34,477,47,28227635,20564666,15066761,33725540,47085605417,34299166163,25108060320,56276711260,1668.067672583977,1666.4537467608334,1667.8688660929383,1668.667462700375,13160874.0,1388-05-10
2009-08-02,725,43,928,32,19603020,17556168,29622595,7536593,33309241558,29760599072,50240725814,12829114816,1699.1892860385797,1696.02716487195,1695.164860122095,1702.2432836694247,-10019575.0,1388-05-11
2009-08-03,270,24,497,18,11020104,15359325,23317353,3062076,18316343008,25468115501,38694708772,5089749737,1662.0844057370057,1659.4811929124205,1658.1533043281524,1662.189226198174,-12297249.0,1388-05-12
2009-08-04,468,27,564,23,16050139,15055746,23218508,7887377,26259132122,24592542949,37830653541,13021021530,1636.0688291858407,1629.3318046534257,1633.4323751875197,1650.8684103726753,-7168369.0,1388-05-13
2009-08-05,324,24,113,24,18726271,6204913,5324734,19606450,31530679326,10444373380,8957890906,33017161800,1683.767116581833,1682.3170708621312,1683.2425176630195,1683.9948996376193,13401537.0,1388-05-14
2009-08-08,52,2,42,2,980582,92570,886192,186960,1700329188,160516380,1536656928,324188640,1734.0,1734.0,1734.0,1734.0,94390.0,1388-05-17
2009-08-09,73,4,17,1,1089409,131000,1192879,27530,1934790384,232656000,2118553104,48893280,1776.0,1776.0,1776.0,1776.0,-103470.0,1388-05-18
2009-08-10,1004,66,818,40,40514471,37790784,56645555,21659700,73843696170,68933595010,103275578447,39501712733,1822.649891442492,1823.189453205993,1824.0848088782705,1823.742375610004,-16131084.0,1388-05-19
