date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-05-28,32005,214,0,1,4697339,301361,0,4998700,59656205300,3827284700,0,63483490000,12700.0,,12700.0,12700.0,4697339.0,1395-03-08
2016-05-29,7,0,28,0,4139,0,4139,0,55193565,0,55193565,0,13335.0,13335.0,,,0.0,1395-03-09
2016-05-30,3,0,43,1,4881,0,4681,200,68338881,0,65538681,2800200,14001.0,14001.0,,14001.0,200.0,1395-03-10
2016-05-31,3,0,78,0,9967,0,9967,0,146524867,0,146524867,0,14701.0,14701.0,,,0.0,1395-03-11
2016-06-01,4,0,246,0,26133,0,26133,0,403388988,0,403388988,0,15436.0,15436.0,,,0.0,1395-03-12
2016-06-05,6,0,300,0,31804,0,31804,0,515447428,0,515447428,0,16207.0,16207.0,,,0.0,1395-03-16
2016-06-06,279,4,473,3,2686167,370000,55867,3000300,45710503839,6296290000,950688739,51056105100,17017.0,17017.0,17017.0,17017.0,2630300.0,1395-03-17
2016-06-07,218,11,734,6,2673763,429999,103032,3000730,47772123521,7682792133,1840872744,53614042910,17867.0,17867.0,17867.0,17867.0,2570731.0,1395-03-18
2016-06-08,973,25,9829,85,12561852,5799999,5959316,12402535,235657365496,108807927140,111793916036,232671376600,18759.762931134675,18759.52140077821,18759.990672412187,18759.985486837973,6602536.0,1395-03-19
2016-06-11,458,20,11113,54,5207955,1931953,6751649,388259,99833562879,36956273677,129378309989,7411526567,19169.43654063831,19162.475713562715,19128.971396819696,19089.13010902516,-1543694.0,1395-03-22
2016-06-12,168,3,2187,9,1397778,227158,1621886,3050,26233121631,4203004099,30378747680,57378050,18767.73109249108,18730.507372281405,18502.55812694248,18812.475409836065,-224108.0,1395-03-23
2016-06-13,86,5,771,7,308352,1025422,1293574,40200,5694901111,18880310272,23831626783,743584600,18468.831436150893,18423.08734019082,18412.234447866344,18497.12935323383,-985222.0,1395-03-24
2016-06-14,111,5,500,8,505020,1456646,1938416,23250,8930765949,25819222008,34339284988,410702969,17683.98469169538,17715.126674563147,17725.117844692533,17664.64382795699,-1433396.0,1395-03-25
2016-06-15,236,10,411,4,1222849,367459,824127,766181,22662579030,6787970652,15199924763,14250624919,18532.60625800896,18443.66798199792,18472.72934395402,18599.55404662867,398722.0,1395-03-26
2016-06-18,82,6,253,4,206968,266207,447245,25930,3816872124,4885166020,8221992454,480045690,18441.846681612617,18383.643090476136,18351.00512007573,18513.13883532588,-240277.0,1395-03-29
2016-06-19,49,4,299,3,116893,1676908,763771,1030030,2106124824,30521297764,13740746263,18886676325,18017.54445518551,17990.662466891255,18200.93753742006,18336.04489675058,-646878.0,1395-03-30
2016-06-20,39,2,176,1,84150,406435,490335,250,1515585014,7301165070,8812275084,4475000,18010.517100415924,17971.947921319097,17963.918141892307,17900.0,-406185.0,1395-03-31
2016-06-21,57,3,179,3,110649,659950,729899,40700,1972959956,11823216996,13075701621,720475331,17830.797892434635,17914.398596244137,17915.322366845972,17702.096584766583,-619250.0,1395-04-01
2016-06-22,52,2,119,3,136999,81188,164178,54009,2501844327,1481117091,3000350972,982610446,18261.77072095417,18274.987952100768,18243.0542814209,18193.45749782444,-27179.0,1395-04-02
2016-06-25,42,2,98,3,184822,578812,623805,139829,3308850089,10287195930,11124179148,2471866871,17902.901651318567,17832.782917738718,17772.948608529194,17677.78408627681,-438983.0,1395-04-05
2016-06-26,39,1,89,1,47220,530000,504572,72648,839512090,9387469331,8931815236,1295166185,17778.73972892842,17701.76552801186,17712.20628490566,17827.967528355908,-457352.0,1395-04-06
2016-06-28,61,3,145,0,213290,400896,614186,0,3762640958,7047461000,10810101958,0,17640.962811196023,17600.697440189128,17579.27492416986,,-400896.0,1395-04-08
2016-06-29,49,3,119,2,165023,327898,482921,10000,2837309102,5697209620,8362509382,172009340,17193.416081394716,17316.516328757705,17374.944708415424,17200.934,-317898.0,1395-04-09
2016-07-02,26,3,133,2,60694,254035,304619,10110,1045055638,4392445768,5260627636,176873770,17218.434079151153,17269.532222218575,17290.710996516227,17494.932739861524,-243925.0,1395-04-12
2016-07-03,18,2,57,2,42040,5010,41340,5710,730535016,86819000,718511696,98842320,17377.14119885823,17380.544170295114,17329.141716566864,17310.388791593694,700.0,1395-04-13
2016-07-04,39,2,57,0,39481,60000,99481,0,661569706,1006414495,1667984201,0,16756.660317621136,16766.86202390406,16773.57491666667,,-60000.0,1395-04-14
2016-07-05,77,5,70,4,273972,238500,147090,365382,4497548136,4047853168,2487559192,6057842112,16416.086811790985,16911.817200353526,16972.130683438154,16579.476033302133,126882.0,1395-04-15
2016-07-09,44,6,43,0,90805,65550,156355,0,1446599718,1056092334,2502692052,0,15930.837707174716,16006.472783089765,16111.24842105263,,-65550.0,1395-04-19
2016-07-10,19,2,49,0,17755,53120,70875,0,280345069,845588036,1125933105,0,15789.640608279358,15886.181375661376,15918.449472891569,,-53120.0,1395-04-20
2016-07-11,34,3,87,1,62897,396340,439237,20000,980697459,6269427302,6942349761,307775000,15592.118209135571,15805.475770483816,15818.305752636625,15388.75,-376340.0,1395-04-21
2016-07-12,20,0,49,1,96237,0,86237,10000,1537251890,0,1375851890,161400000,15973.605681806372,15954.310678710994,,16140.0,10000.0,1395-04-22
2016-07-13,20,1,50,1,59968,45438,105006,400,933033233,708037731,1634830964,6240000,15558.851937700108,15568.929051673238,15582.502112769049,15600.0,-45038.0,1395-04-23
2016-07-16,31,3,48,2,41895,45877,80819,6953,655809780,714951457,1261745937,109015300,15653.652703186535,15611.996399361537,15584.09348911219,15678.886811448296,-38924.0,1395-04-26
2016-07-17,29,1,57,0,42031,31011,73042,0,655806780,476761872,1132568652,0,15602.930694011562,15505.717970482736,15373.959949695269,,-31011.0,1395-04-27
2016-07-18,43,2,45,0,72332,49566,121898,0,1111659141,760346788,1872005929,0,15368.842849637782,15357.150478268715,15340.087721421942,,-49566.0,1395-04-28
2016-07-19,39,2,40,0,84524,12300,96824,0,1302170713,188335050,1490505763,0,15405.928647484738,15393.970121044367,15311.792682926827,,-12300.0,1395-04-29
2016-07-20,62,2,49,1,189945,91319,171389,109875,2934936828,1410339080,2642044023,1703231885,15451.508742004264,15415.481874566043,15444.092467066,15501.541615472128,18556.0,1395-04-30
2016-07-23,67,11,50,0,274351,281764,556115,0,4233085288,4340084250,8573169538,0,15429.450915068654,15416.181074058422,15403.26035263554,,-281764.0,1395-05-02
2016-07-24,106,8,119,3,627930,402186,177352,852764,9896026062,6328395411,2825378477,13399042996,15759.75994457981,15930.908458884029,15734.996770151123,15712.48668564808,450578.0,1395-05-03
2016-07-25,52,34,55,1,329343,482720,110174,701889,5208108534,7608561162,1753107866,11063561830,15813.630573596523,15912.174070107283,15761.851926582698,15762.551956220996,219169.0,1395-05-04
2016-07-26,22,16,50,2,54101,105059,99060,60100,854125074,1666295310,1565160384,955260000,15787.602336370865,15800.125015142336,15860.567014725058,15894.50915141431,-44959.0,1395-05-05
2016-07-27,186,24,92,3,4828076,1491204,269803,6049477,76721928289,23707182195,4385676780,96043433704,15890.787197426056,16255.107541428377,15898.014084592049,15876.320168503822,4558273.0,1395-05-06
2016-07-31,29,1,107,3,503341,7200,226669,283872,8368058627,118762700,3750133135,4736688192,16625.02881148168,16544.534695966366,16494.819444444445,16686.0,276672.0,1395-05-10
2016-08-01,155,3,232,10,1467351,60001,1066932,460420,25504938516,1040200416,18513041865,8032097067,17381.620700159674,17351.660522882434,17336.384660255662,17445.152397810696,400419.0,1395-05-11
2016-08-02,57,1,156,0,418208,100,418308,0,7157462410,1714000,7159176410,0,17114.599457686127,17114.60552989663,17140.0,,-100.0,1395-05-12
2016-08-03,24,0,62,1,243336,0,223336,20000,4274664299,0,3921437539,353226760,17566.921043331033,17558.465894437082,,17661.338,20000.0,1395-05-13
2016-08-06,48,11,75,0,253462,425151,678613,0,4311517944,7248171772,11559689716,0,17010.510230330387,17034.288638738133,17048.46459728426,,-425151.0,1395-05-16
2016-08-07,41,7,59,1,114726,155856,262171,8411,1916219833,2609089901,4383377287,141932447,16702.576861391488,16719.535291851502,16740.38792860076,16874.622161455238,-147445.0,1395-05-17
2016-08-08,19,19,51,1,89898,119132,140388,68642,1498436539,1989392627,2339767745,1148061421,16668.185487997507,16666.436910562155,16699.061771816137,16725.349217680137,-50490.0,1395-05-18
