date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,2,1,9,1,23038,10,23038,10,66602713,28670,66602713,28670,2890.9937060508723,2890.9937060508723,2867.0,2867.0,0.0,1387-09-06
2008-11-29,6,1,6,1,38356,10,38356,10,113265268,29310,113265268,29310,2953.0,2953.0,2931.0,2931.0,0.0,1387-09-09
2008-11-30,2,1,2,1,21000,10,21000,10,63378000,29670,63378000,29670,3018.0,3018.0,2967.0,2967.0,0.0,1387-09-10
2008-12-01,1,1,5,1,26899,10,26899,10,82203344,30140,82203344,30140,3056.0,3056.0,3014.0,3014.0,0.0,1387-09-11
2008-12-02,13,2,33,1,78479,269727,348196,10,242854216,836782266,1079605482,31000,3094.512111520279,3100.56830635619,3102.3303784938103,3100.0,-269717.0,1387-09-12
2008-12-03,6,1,15,2,176186,1200000,170935,1205251,562561898,3938400000,545795455,3955166443,3193.0,3193.0,3282.0,3281.612247573327,5251.0,1387-09-13
2008-12-06,2,0,4,0,22874,0,22874,0,72216844,0,72216844,0,3157.158520591064,3157.158520591064,,,0.0,1387-09-16
2008-12-07,3,1,10,0,127224,5902,133126,0,395040562,18237180,413277742,0,3105.078931648117,3104.410423208089,3090.0,,-5902.0,1387-09-17
2008-12-08,2,1,8,0,38981,20229,59210,0,120566860,62529068,183095928,0,3092.9647777122186,3092.3142712379668,3091.060754362549,,-20229.0,1387-09-18
2008-12-10,3,1,6,0,65494,41477,106971,0,208396096,131970281,340366377,0,3181.91125904663,3181.856549906049,3181.770161776406,,-41477.0,1387-09-20
2008-12-13,4,0,5,0,22213,0,22213,0,69228761,0,69228761,0,3116.5876288659792,3116.5876288659792,,,0.0,1387-09-23
2008-12-14,0,2,2,0,0,5000,5000,0,0,15692000,15692000,0,,3138.4,3138.4,,-5000.0,1387-09-24
2008-12-15,1,0,3,0,26800,0,26800,0,85782214,0,85782214,0,3200.828880597015,3200.828880597015,,,0.0,1387-09-25
2008-12-16,2,0,2,0,1800,0,1800,0,5891400,0,5891400,0,3273.0,3273.0,,,0.0,1387-09-26
2008-12-20,2,0,3,0,6215,0,6215,0,19588274,0,19588274,0,3151.773773129525,3151.773773129525,,,0.0,1387-09-30
2008-12-21,1,0,2,0,2200,0,2200,0,7044000,0,7044000,0,3201.818181818182,3201.818181818182,,,0.0,1387-10-01
2008-12-22,2,1,3,0,18800,1160,19960,0,59327700,3596000,62923700,0,3155.728723404255,3152.48997995992,3100.0,,-1160.0,1387-10-02
2008-12-27,1,0,5,0,25591,0,25591,0,81873810,0,81873810,0,3199.320464225704,3199.320464225704,,,0.0,1387-10-07
2008-12-29,2,0,1,0,16000,0,16000,0,49674000,0,49674000,0,3104.625,3104.625,,,0.0,1387-10-09
2008-12-31,1,1,2,0,6890,6830,13720,0,21228800,21145680,42374480,0,3081.103047895501,3088.518950437318,3096.0,,-6830.0,1387-10-11
2009-01-03,1,0,1,0,2425,0,2425,0,7430200,0,7430200,0,3064.0,3064.0,,,0.0,1387-10-14
2009-01-04,0,1,2,0,0,8600,8600,0,0,26222400,26222400,0,,3049.116279069768,3049.116279069768,,-8600.0,1387-10-15
2009-01-05,1,2,3,0,13368,9188,22556,0,40769664,28610720,69380384,0,3049.7953321364453,3075.917006561447,3113.922507618633,,-9188.0,1387-10-16
2009-01-10,1,0,1,0,1000,0,1000,0,3194000,0,3194000,0,3194.0,3194.0,,,0.0,1387-10-21
2009-01-13,2,1,11,1,1168582,3800,150659,1021723,3621794771,11457000,465910471,3167341300,3099.3073408626865,3092.4834958416027,3015.0,3100.0,1017923.0,1387-10-24
2009-01-14,1,0,1,0,1800,0,1800,0,5405400,0,5405400,0,3003.0,3003.0,,,0.0,1387-10-25
2009-01-17,1,1,2,0,7493,4000,11493,0,22464014,11996000,34460014,0,2998.0,2998.348037936135,2999.0,,-4000.0,1387-10-28
2009-01-18,1,1,2,0,15600,1019,16619,0,46784400,3035601,49820001,0,2999.0,2997.7736927612973,2979.0,,-1019.0,1387-10-29
2009-01-19,1,1,4,0,7903,12000,19903,0,23448201,35579948,59028149,0,2967.0,2965.791538963975,2964.9956666666667,,-12000.0,1387-10-30
2009-01-20,1,0,3,0,21500,0,21500,0,66167500,0,66167500,0,3077.558139534884,3077.558139534884,,,0.0,1387-11-01
2009-01-21,1,1,5,0,47767,263,48030,0,148305512,823716,149129228,0,3104.769233989993,3104.9183427024777,3132.0,,-263.0,1387-11-02
2009-01-24,2,1,1,0,20000,10000,30000,0,62400000,31110000,93510000,0,3120.0,3117.0,3111.0,,-10000.0,1387-11-05
2009-01-25,0,2,2,0,0,16740,16740,0,0,50818060,50818060,0,,3035.726403823178,3035.726403823178,,-16740.0,1387-11-06
2009-01-27,0,1,1,0,0,3500,3500,0,0,10479000,10479000,0,,2994.0,2994.0,,-3500.0,1387-11-08
2009-01-28,1,0,1,0,5000,0,5000,0,15450000,0,15450000,0,3090.0,3090.0,,,0.0,1387-11-09
2009-02-01,1,0,1,0,798,0,798,0,2465820,0,2465820,0,3090.0,3090.0,,,0.0,1387-11-13
2009-02-04,2,0,8,0,55352,0,55352,0,168426576,0,168426576,0,3042.8272871802283,3042.8272871802283,,,0.0,1387-11-16
2009-02-07,1,0,1,1,1317,0,1127,190,4127478,0,3532018,595460,3134.0,3134.0,,3134.0,190.0,1387-11-19
2009-02-09,2,0,5,0,17361,0,17361,0,51509394,0,51509394,0,2966.9600829445308,2966.9600829445308,,,0.0,1387-11-21
2009-08-29,14,0,12,0,185941,0,185941,0,279386657,0,279386657,0,1502.5554181164994,1502.5554181164994,,,0.0,1388-06-07
2009-08-30,9,0,2,0,70000,0,70000,0,102060000,0,102060000,0,1458.0,1458.0,,,0.0,1388-06-08
2009-08-31,1,0,2,0,6358,0,6358,0,9543358,0,9543358,0,1501.0,1501.0,,,0.0,1388-06-09
2009-09-01,1,0,2,0,8078,0,8078,0,12165468,0,12165468,0,1506.0,1506.0,,,0.0,1388-06-10
2009-09-05,1,0,1,0,3166,0,3166,0,4793324,0,4793324,0,1514.0,1514.0,,,0.0,1388-06-14
2009-09-06,9,0,1,2,91789,0,40030,51759,139243913,0,60725510,78518403,1517.0,1517.0,,1517.0,51759.0,1388-06-15
2009-09-07,18,0,7,0,155057,0,155057,0,242189034,0,242189034,0,1561.9355075875324,1561.9355075875324,,,0.0,1388-06-16
2009-09-13,4,0,1,0,15000,0,15000,0,24120000,0,24120000,0,1608.0,1608.0,,,0.0,1388-06-22
2009-09-14,8,0,5,0,32167,0,32167,0,52174874,0,52174874,0,1622.0,1622.0,,,0.0,1388-06-23
2009-09-19,1,0,1,0,9,0,9,0,14877,0,14877,0,1653.0,1653.0,,,0.0,1388-06-28
2009-09-22,1,0,1,0,14000,0,14000,0,23142000,0,23142000,0,1653.0,1653.0,,,0.0,1388-06-31
2009-09-23,1,0,1,1,3669,0,3589,80,6112554,0,5979274,133280,1666.0,1666.0,,1666.0,80.0,1388-07-01
2010-03-28,1,0,1,0,12350,0,12350,0,15215200,0,15215200,0,1232.0,1232.0,,,0.0,1389-01-08
2010-03-29,1,0,1,0,20000,0,20000,0,24860000,0,24860000,0,1243.0,1243.0,,,0.0,1389-01-09
2010-03-30,8,0,2,0,38000,0,38000,0,47842000,0,47842000,0,1259.0,1259.0,,,0.0,1389-01-10
2010-03-31,1,0,1,0,3840,0,3840,0,4834560,0,4834560,0,1259.0,1259.0,,,0.0,1389-01-11
2010-04-03,1,0,4,0,28434,0,28434,0,36736728,0,36736728,0,1292.0,1292.0,,,0.0,1389-01-14
2010-04-10,2,0,2,0,812,0,812,0,1074388,0,1074388,0,1323.1379310344828,1323.1379310344828,,,0.0,1389-01-21
2010-04-11,4,0,6,0,86736,0,86736,0,110848699,0,110848699,0,1278.0010491606715,1278.0010491606715,,,0.0,1389-01-22
2010-04-12,4,0,6,0,40740,0,40740,0,52467090,0,52467090,0,1287.8519882179676,1287.8519882179676,,,0.0,1389-01-23
2010-04-13,1,0,1,0,1356,0,1356,0,1742460,0,1742460,0,1285.0,1285.0,,,0.0,1389-01-24
2010-04-14,4,0,4,0,20524,0,20524,0,26354240,0,26354240,0,1284.0693821867085,1284.0693821867085,,,0.0,1389-01-25
2010-04-17,1,0,1,0,15000,0,15000,0,18810000,0,18810000,0,1254.0,1254.0,,,0.0,1389-01-28
2010-04-18,2,0,2,0,6065,0,6065,0,7664030,0,7664030,0,1263.648804616653,1263.648804616653,,,0.0,1389-01-29
2010-04-19,2,0,3,0,6080,0,6080,0,8019520,0,8019520,0,1319.0,1319.0,,,0.0,1389-01-30
2010-04-21,1,0,2,0,5100,0,5100,0,6752400,0,6752400,0,1324.0,1324.0,,,0.0,1389-02-01
2010-04-24,1,0,1,0,561,0,561,0,745008,0,745008,0,1328.0,1328.0,,,0.0,1389-02-04
