date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-02-05,60,1,10,1,173181,457027,134555,495653,1995488237,5255810500,1551289237,5700009500,11522.558692928207,11529.034498903797,11500.0,11500.0,38626.0,1397-11-16
2019-02-06,38,1,23,0,98966,52085,151051,0,1120196283,584304935,1704501218,0,11319.001303477962,11284.276290789205,11218.295766535472,,-52085.0,1397-11-17
2019-02-10,15,2,24,0,14454,123562,138016,0,162108484,1405792480,1567900964,0,11215.475577694757,11360.284054022724,11377.223418203008,,-123562.0,1397-11-21
2019-02-12,8,3,26,1,39311,140176,176487,3000,448006625,1600344240,2014018865,34332000,11396.469817608304,11411.712279091378,11416.677890651752,11444.0,-137176.0,1397-11-23
2019-02-13,7,1,22,1,24245,14586,37725,1106,273637360,163800780,425017760,12420380,11286.341926170344,11266.209675281643,11230.0,11230.0,-13480.0,1397-11-24
2019-02-16,38,2,29,0,112293,171323,283616,0,1243085124,1908154950,3151240074,0,11070.014373113196,11110.938994979128,11137.76288064066,,-171323.0,1397-11-27
2019-02-17,26,3,19,0,46815,145782,192597,0,512045004,1591100180,2103145184,0,10937.626914450497,10919.92701859323,10914.243047838554,,-145782.0,1397-11-28
2019-02-18,24,4,25,2,86529,133194,166948,52775,933568489,1445887594,1808041008,571415075,10789.08214587017,10829.96506696696,10855.500953496405,10827.381809568924,-80419.0,1397-11-29
2019-02-19,14,1,21,3,39258,359971,112336,286893,436153616,3978847860,1234910870,3180090606,11109.929593968109,10993.010878080046,11053.245567004007,11084.58765463082,-73078.0,1397-11-30
2019-02-20,16,3,31,4,86254,233244,171198,148300,976291058,2628163618,1933235976,1671218700,11318.791685023303,11292.398135492236,11267.87234827048,11269.175320296696,-84944.0,1397-12-01
2019-02-23,24,0,17,2,78245,0,48825,29420,902237045,0,561450936,340786109,11530.922678765415,11499.251121351766,,11583.484330387491,29420.0,1397-12-04
2019-02-24,39,2,23,4,126851,285366,61364,350853,1473519439,3272309281,713954661,4031874059,11616.143656731125,11634.747751124438,11467.060830652565,11491.633416274051,65487.0,1397-12-05
2019-02-25,22,3,22,4,31909,164736,138766,57879,370277862,1902786590,1602194765,670869687,11604.182581716756,11546.018224925414,11550.520772630149,11590.899756388328,-106857.0,1397-12-06
2019-02-26,23,3,40,1,94786,139098,233444,440,1069242936,1567635764,2631774700,5104000,11280.599835418732,11273.687479652508,11270.009374685473,11600.0,-138658.0,1397-12-07
