date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-04-07,3,0,0,1,1600,0,0,1600,4953600,0,0,4953600,3096.0,,,3096.0,1600.0,1388-01-18
2009-05-05,1,0,0,3,10136,0,0,10136,31299968,0,0,31299968,3088.0,,,3088.0,10136.0,1388-02-15
2009-05-12,1,0,1,0,100,0,100,0,310000,0,310000,0,3100.0,3100.0,,,0.0,1388-02-22
2009-07-21,0,1,0,1,0,5000,0,5000,0,14000000,0,14000000,,,2800.0,2800.0,0.0,1388-04-30
2010-05-11,2,0,1,0,2538,0,2538,0,4314600,0,4314600,0,1700.0,1700.0,,,0.0,1389-02-21
2010-05-12,1,0,1,0,1163,0,1163,0,1977100,0,1977100,0,1700.0,1700.0,,,0.0,1389-02-22
2010-05-18,1,0,1,0,21218,0,21218,0,34818738,0,34818738,0,1641.0,1641.0,,,0.0,1389-02-28
2010-05-19,1,0,1,0,2342,0,2342,0,3976716,0,3976716,0,1698.0,1698.0,,,0.0,1389-02-29
2010-05-24,2,0,1,0,2789,0,2789,0,4462400,0,4462400,0,1600.0,1600.0,,,0.0,1389-03-03
2010-05-30,1,0,1,0,3090,0,3090,0,5070690,0,5070690,0,1641.0,1641.0,,,0.0,1389-03-09
2010-06-12,0,1,1,0,0,834,834,0,0,1408626,1408626,0,,1689.0,1689.0,,-834.0,1389-03-22
2010-06-23,0,1,1,0,0,100,100,0,0,164500,164500,0,,1645.0,1645.0,,-100.0,1389-04-02
2010-06-29,1,0,1,0,6302,0,6302,0,9944556,0,9944556,0,1578.0,1578.0,,,0.0,1389-04-08
2010-07-04,0,1,0,1,0,10,0,10,0,15570,0,15570,,,1557.0,1557.0,0.0,1389-04-13
2010-07-05,1,1,1,1,660,10,580,90,1027620,15570,903060,140130,1557.0,1557.0,1557.0,1557.0,80.0,1389-04-14
2010-07-06,0,1,1,0,0,10,10,0,0,15550,15550,0,,1555.0,1555.0,,-10.0,1389-04-15
2010-07-07,0,1,1,0,0,10,10,0,0,15550,15550,0,,1555.0,1555.0,,-10.0,1389-04-16
2010-07-12,2,2,2,1,13200,13157,24836,1521,20526000,20459135,38619980,2365155,1555.0,1555.0,1555.0,1555.0,-11636.0,1389-04-21
2010-07-20,1,0,1,0,50000,0,50000,0,78000000,0,78000000,0,1560.0,1560.0,,,0.0,1389-04-29
2010-07-21,1,0,1,0,2459,0,2459,0,3683582,0,3683582,0,1498.0,1498.0,,,0.0,1389-04-30
2010-07-28,0,1,0,1,0,100,0,100,0,149400,0,149400,,,1494.0,1494.0,0.0,1389-05-06
2010-07-31,1,1,0,1,1945,10,0,1955,2905830,14940,0,2920770,1494.0,,1494.0,1494.0,1945.0,1389-05-09
2010-08-01,1,1,0,1,7985,10,0,7995,11905635,14940,0,11920575,1491.0,,1494.0,1491.0037523452158,7985.0,1389-05-10
2010-08-10,1,1,0,1,5000,500,0,5500,7400000,740000,0,8140000,1480.0,,1480.0,1480.0,5000.0,1389-05-19
2010-08-24,1,0,1,0,50,0,50,0,79450,0,79450,0,1589.0,1589.0,,,0.0,1389-06-02
2010-09-05,1,0,0,1,1600,0,0,1600,2452800,0,0,2452800,1533.0,,,1533.0,1600.0,1389-06-14
2010-10-02,1,1,1,1,20000,115674,20000,115674,31600000,182649246,31600000,182649246,1580.0,1580.0,1579.0,1579.0,0.0,1389-07-10
2010-10-17,1,0,1,0,100,0,100,0,157900,0,157900,0,1579.0,1579.0,,,0.0,1389-07-25
2010-10-20,1,0,0,1,317900,0,0,317900,501646200,0,0,501646200,1578.0,,,1578.0,317900.0,1389-07-28
2010-10-30,1,0,1,0,50,0,50,0,75750,0,75750,0,1515.0,1515.0,,,0.0,1389-08-08
2010-11-22,1,0,1,0,2564,0,2564,0,3884460,0,3884460,0,1515.0,1515.0,,,0.0,1389-09-01
2010-11-30,1,0,1,0,10,0,10,0,15120,0,15120,0,1512.0,1512.0,,,0.0,1389-09-09
2010-12-01,1,0,1,0,10,0,10,0,14520,0,14520,0,1452.0,1452.0,,,0.0,1389-09-10
2010-12-04,3,1,3,1,7990,5000,10000,2990,11157220,6970000,13941220,4186000,1396.397997496871,1394.122,1394.0,1400.0,-2010.0,1389-09-13
2011-01-22,1,0,1,0,1020,0,1020,0,1417800,0,1417800,0,1390.0,1390.0,,,0.0,1389-11-02
2011-01-26,1,0,1,0,1980,0,1980,0,2655180,0,2655180,0,1341.0,1341.0,,,0.0,1389-11-06
2011-06-06,0,5,1,0,0,4787,4787,0,0,6400219,6400219,0,,1337.0,1337.0,,-4787.0,1390-03-16
2011-06-20,1,0,1,0,5,0,5,0,6650,0,6650,0,1330.0,1330.0,,,0.0,1390-03-30
2011-08-28,1,0,1,0,3000,0,3000,0,3831000,0,3831000,0,1277.0,1277.0,,,0.0,1390-06-06
2011-09-06,1,0,1,0,100,0,100,0,127300,0,127300,0,1273.0,1273.0,,,0.0,1390-06-15
2011-09-07,2,0,1,0,250,0,250,0,318250,0,318250,0,1273.0,1273.0,,,0.0,1390-06-16
2011-10-17,1,0,1,0,390,0,390,0,476970,0,476970,0,1223.0,1223.0,,,0.0,1390-07-25
2011-11-29,1,0,1,0,250,0,250,0,305750,0,305750,0,1223.0,1223.0,,,0.0,1390-09-08
2011-12-18,1,0,1,0,10,0,10,0,12230,0,12230,0,1223.0,1223.0,,,0.0,1390-09-27
2011-12-31,1,0,1,0,100,0,100,0,122300,0,122300,0,1223.0,1223.0,,,0.0,1390-10-10
2012-01-03,1,0,1,0,10,0,10,0,12230,0,12230,0,1223.0,1223.0,,,0.0,1390-10-13
2012-01-04,1,0,1,0,5,0,5,0,6115,0,6115,0,1223.0,1223.0,,,0.0,1390-10-14
2012-02-20,2,0,4,0,9445,0,9445,0,11551235,0,11551235,0,1223.0,1223.0,,,0.0,1390-12-01
2012-02-21,2,0,2,0,10555,0,10555,0,12782105,0,12782105,0,1211.0,1211.0,,,0.0,1390-12-02
2012-02-25,3,0,2,0,13000,0,13000,0,16077000,0,16077000,0,1236.6923076923076,1236.6923076923076,,,0.0,1390-12-06
2012-02-28,1,0,1,0,1425,0,1425,0,1708575,0,1708575,0,1199.0,1199.0,,,0.0,1390-12-09
