date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-06-20,1,0,1,0,100,0,100,0,97000,0,97000,0,970.0,970.0,,,0.0,1388-03-30
2009-09-19,1,0,1,0,5000,0,5000,0,3000000,0,3000000,0,600.0,600.0,,,0.0,1388-06-28
2009-09-26,1,0,1,0,6970,0,6970,0,4307460,0,4307460,0,618.0,618.0,,,0.0,1388-07-04
2010-04-20,2,0,4,0,33217,0,33217,0,39605400,0,39605400,0,1192.3232079959057,1192.3232079959057,,,0.0,1389-01-31
2010-04-21,1,0,3,0,2154,0,2154,0,2479254,0,2479254,0,1151.0,1151.0,,,0.0,1389-02-01
2010-05-09,2,0,17,2,127557,0,125340,2217,149930550,0,147381000,2549550,1175.4004092288153,1175.849688846338,,1150.0,2217.0,1389-02-19
2010-05-23,1,0,1,0,100,0,100,0,113400,0,113400,0,1134.0,1134.0,,,0.0,1389-03-02
2010-07-05,1,0,1,0,10,0,10,0,11280,0,11280,0,1128.0,1128.0,,,0.0,1389-04-14
2010-07-07,4,0,3,0,12010,0,12010,0,13547280,0,13547280,0,1128.0,1128.0,,,0.0,1389-04-16
2010-07-24,5,0,2,0,48945,0,48945,0,45837240,0,45837240,0,936.5050566962916,936.5050566962916,,,0.0,1389-05-02
2010-07-26,5,0,5,0,32478,0,32478,0,30580910,0,30580910,0,941.5884598805344,941.5884598805344,,,0.0,1389-05-04
2010-07-28,1,0,1,0,13332,0,13332,0,13052028,0,13052028,0,979.0,979.0,,,0.0,1389-05-06
2010-07-31,2,0,2,0,10238,0,10238,0,9427314,0,9427314,0,920.815979683532,920.815979683532,,,0.0,1389-05-09
2010-08-03,1,0,2,0,19632,0,19632,0,19259724,0,19259724,0,981.0372860635696,981.0372860635696,,,0.0,1389-05-12
2010-08-04,1,0,2,0,18000,0,18000,0,17892000,0,17892000,0,994.0,994.0,,,0.0,1389-05-13
2010-08-07,2,0,3,0,34027,0,34027,0,34197135,0,34197135,0,1005.0,1005.0,,,0.0,1389-05-16
2010-08-08,3,0,3,0,26701,0,26701,0,27395226,0,27395226,0,1026.0,1026.0,,,0.0,1389-05-17
2010-08-09,1,0,2,0,26027,0,26027,0,27146161,0,27146161,0,1043.0,1043.0,,,0.0,1389-05-18
2010-08-10,2,0,3,0,19566,0,19566,0,20720394,0,20720394,0,1059.0,1059.0,,,0.0,1389-05-19
2010-08-11,1,0,4,0,42000,0,42000,0,45024000,0,45024000,0,1072.0,1072.0,,,0.0,1389-05-20
2010-08-14,4,0,3,1,13924,0,6239,7685,14393896,0,6585936,7807960,1033.747199080724,1055.607629427793,,1016.0,7685.0,1389-05-23
2010-08-15,2,0,2,0,9436,0,9436,0,9588496,0,9588496,0,1016.1610852055956,1016.1610852055956,,,0.0,1389-05-24
2010-08-16,1,0,1,0,10000,0,10000,0,10100000,0,10100000,0,1010.0,1010.0,,,0.0,1389-05-25
2010-08-21,2,0,3,0,9000,0,9000,0,9240000,0,9240000,0,1026.6666666666667,1026.6666666666667,,,0.0,1389-05-30
