date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-03,1,1,2,1,11000,10,11000,10,21076000,19670,21076000,19670,1916.0,1916.0,1967.0,1967.0,0.0,1387-09-13
2008-12-15,1,0,1,0,100,0,100,0,190800,0,190800,0,1908.0,1908.0,,,0.0,1387-09-25
2008-12-16,1,0,1,0,100,0,100,0,185100,0,185100,0,1851.0,1851.0,,,0.0,1387-09-26
2008-12-20,1,0,1,0,100,0,100,0,179600,0,179600,0,1796.0,1796.0,,,0.0,1387-09-30
2008-12-21,2,0,1,0,4000,0,4000,0,6972000,0,6972000,0,1743.0,1743.0,,,0.0,1387-10-01
2008-12-22,45,0,46,0,854410,0,854410,0,1481563018,0,1481563018,0,1734.018817663651,1734.018817663651,,,0.0,1387-10-02
2008-12-23,19,0,13,0,159065,0,159065,0,281564949,0,281564949,0,1770.1250998019675,1770.1250998019675,,,0.0,1387-10-03
2008-12-24,24,0,16,0,229682,0,229682,0,394950090,0,394950090,0,1719.5517715798364,1719.5517715798364,,,0.0,1387-10-04
2008-12-27,5,0,1,0,28618,0,28618,0,48662626,0,48662626,0,1700.420225033196,1700.420225033196,,,0.0,1387-10-07
2008-12-28,15,0,10,0,80473,0,80473,0,134540197,0,134540197,0,1671.867545636425,1671.867545636425,,,0.0,1387-10-08
2008-12-29,13,0,11,0,88000,0,88000,0,151449792,0,151449792,0,1721.0203636363635,1721.0203636363635,,,0.0,1387-10-09
2008-12-30,1,0,1,0,1700,0,1700,0,2983500,0,2983500,0,1755.0,1755.0,,,0.0,1387-10-10
2008-12-31,5,0,6,0,38227,0,38227,0,66835415,0,66835415,0,1748.382426033955,1748.382426033955,,,0.0,1387-10-11
2009-01-03,4,0,6,0,24460,0,24460,0,43443114,0,43443114,0,1776.0880621422732,1776.0880621422732,,,0.0,1387-10-14
2009-01-04,10,0,7,0,85203,0,85203,0,146525568,0,146525568,0,1719.7231083412555,1719.7231083412555,,,0.0,1387-10-15
2009-01-11,17,0,10,0,153181,0,153181,0,257394914,0,257394914,0,1680.3318557784582,1680.3318557784582,,,0.0,1387-10-22
2009-01-12,9,0,4,0,48343,0,48343,0,80151171,0,80151171,0,1657.968495955981,1657.968495955981,,,0.0,1387-10-23
2009-01-13,12,0,5,0,93735,0,93735,0,153923550,0,153923550,0,1642.113938230117,1642.113938230117,,,0.0,1387-10-24
2009-01-14,43,0,10,1,281450,0,277695,3755,452005939,0,445922839,6083100,1605.9901900870493,1605.800749023209,,1620.0,3755.0,1387-10-25
2009-01-17,21,0,10,0,236338,0,236338,0,375993159,0,375993159,0,1590.9128409312086,1590.9128409312086,,,0.0,1387-10-28
2009-01-18,9,0,4,0,91775,0,91775,0,146878745,0,146878745,0,1600.4221737946064,1600.4221737946064,,,0.0,1387-10-29
2009-01-19,2,0,5,0,12618,0,12618,0,20765664,0,20765664,0,1645.7175463623396,1645.7175463623396,,,0.0,1387-10-30
2009-01-21,2,0,2,0,10000,0,10000,0,16550000,0,16550000,0,1655.0,1655.0,,,0.0,1387-11-02
2009-01-24,5,0,3,0,22000,0,22000,0,36542000,0,36542000,0,1661.0,1661.0,,,0.0,1387-11-05
2009-01-25,1,1,5,0,293,20000,20293,0,490482,33480000,33970482,0,1674.0,1674.0,1674.0,,-20000.0,1387-11-06
2009-01-26,2,0,1,0,5000,0,5000,0,8435000,0,8435000,0,1687.0,1687.0,,,0.0,1387-11-07
2009-01-27,3,0,2,0,22426,0,22426,0,37899940,0,37899940,0,1690.0,1690.0,,,0.0,1387-11-08
2009-01-28,1,0,1,0,1000,0,1000,0,1703000,0,1703000,0,1703.0,1703.0,,,0.0,1387-11-09
2009-01-31,1,0,1,0,5000,0,5000,0,8520000,0,8520000,0,1704.0,1704.0,,,0.0,1387-11-12
2009-02-01,2,0,3,0,12500,0,12500,0,21337500,0,21337500,0,1707.0,1707.0,,,0.0,1387-11-13
2009-02-02,8,0,7,0,62666,0,62666,0,107409524,0,107409524,0,1714.0,1714.0,,,0.0,1387-11-14
2009-02-03,2,0,2,0,6500,0,6500,0,11394500,0,11394500,0,1753.0,1753.0,,,0.0,1387-11-15
2009-02-04,21,1,3,3,185500,30000,5300,210200,325923500,52710000,9312100,369321400,1757.0,1757.0,1757.0,1757.0,180200.0,1387-11-16
2009-02-07,64,4,33,1,546670,130000,583560,93110,968062391,230380000,1036574331,161868060,1770.8350394204913,1776.2943501953528,1772.1538461538462,1738.4605305552573,-36890.0,1387-11-19
2009-02-08,19,1,12,1,205544,30000,219080,16464,353483956,51570000,376768804,28285152,1719.7483555832328,1719.7772685776886,1719.0,1718.0,-13536.0,1387-11-20
2009-02-09,7,1,11,1,67173,10000,67173,10000,115470285,17010000,115280285,17200000,1718.998481532759,1716.1699641224898,1701.0,1720.0,0.0,1387-11-21
2009-02-11,19,1,3,1,132302,5000,18626,118676,225896832,8600000,31754080,202742752,1707.4332360810872,1704.8255127241491,1720.0,1708.371970743874,113676.0,1387-11-23
2009-02-14,15,0,5,1,69800,0,66400,3400,117643129,0,111829129,5814000,1685.4316475644698,1684.1736295180724,,1710.0,3400.0,1387-11-26
2009-02-15,10,0,8,1,58246,0,28246,30000,96525495,0,46930400,49595095,1657.2038423239364,1661.4883523330736,,1653.1698333333334,30000.0,1387-11-27
2009-02-17,6,0,7,0,33304,0,33304,0,54980562,0,54980562,0,1650.8696252702375,1650.8696252702375,,,0.0,1387-11-29
2009-02-18,5,0,4,0,44361,0,44361,0,73093250,0,73093250,0,1647.691666103109,1647.691666103109,,,0.0,1387-11-30
2009-02-21,12,0,10,2,227905,0,53405,174500,379367245,0,89423320,289943925,1664.585002522981,1674.4372249789346,,1661.569770773639,174500.0,1387-12-03
2009-02-22,7,0,5,1,29715,0,23715,6000,49381740,0,39444740,9937000,1661.8455325593134,1663.2823107737718,,1656.1666666666667,6000.0,1387-12-04
2009-02-23,15,1,17,1,108439,32000,133549,6890,181142289,53200000,222885466,11456823,1670.4533332103765,1668.9414821526182,1662.5,1662.819013062409,-25110.0,1387-12-05
2009-02-25,4,0,4,0,51425,0,51425,0,85925937,0,85925937,0,1670.898142926592,1670.898142926592,,,0.0,1387-12-07
2009-02-28,2,0,2,0,5283,0,5283,0,8828553,0,8828553,0,1671.1249290176036,1671.1249290176036,,,0.0,1387-12-10
2009-03-01,8,0,14,0,100399,0,100399,0,170302403,0,170302403,0,1696.255968684947,1696.255968684947,,,0.0,1387-12-11
2009-03-02,8,0,5,1,40444,0,35444,5000,68867980,0,60352980,8515000,1702.7984373454651,1702.7700033856224,,1703.0,5000.0,1387-12-12
2009-03-03,11,0,8,0,52042,0,52042,0,88419660,0,88419660,0,1699.005803005265,1699.005803005265,,,0.0,1387-12-13
2009-03-04,11,0,5,0,82880,0,82880,0,137569825,0,137569825,0,1659.8675796332047,1659.8675796332047,,,0.0,1387-12-14
2009-03-07,11,0,4,0,51000,0,51000,0,84351824,0,84351824,0,1653.9573333333333,1653.9573333333333,,,0.0,1387-12-17
2009-03-08,5,0,8,0,46251,0,46251,0,74649804,0,74649804,0,1614.0149185963546,1614.0149185963546,,,0.0,1387-12-18
2009-03-09,5,0,4,0,27980,0,27980,0,45203025,0,45203025,0,1615.5477126518942,1615.5477126518942,,,0.0,1387-12-19
2009-03-10,1,0,1,0,1000,0,1000,0,1602000,0,1602000,0,1602.0,1602.0,,,0.0,1387-12-20
2009-03-11,10,0,4,0,76200,0,76200,0,124366512,0,124366512,0,1632.1064566929133,1632.1064566929133,,,0.0,1387-12-21
2009-03-14,8,0,5,0,39220,0,39220,0,63808392,0,63808392,0,1626.9350331463538,1626.9350331463538,,,0.0,1387-12-24
2009-03-16,3,0,3,0,32682,0,32682,0,54840396,0,54840396,0,1678.0,1678.0,,,0.0,1387-12-26
2009-03-17,4,0,2,0,60835,0,60835,0,103297830,0,103297830,0,1698.0,1698.0,,,0.0,1387-12-27
2009-03-18,2,0,2,1,26000,0,16000,10000,45084000,0,27744000,17340000,1734.0,1734.0,,1734.0,10000.0,1387-12-28
2009-03-29,2,0,1,1,25000,0,15000,10000,43725000,0,26235000,17490000,1749.0,1749.0,,1749.0,10000.0,1388-01-09
2009-04-05,1,0,1,0,5000,0,5000,0,8825000,0,8825000,0,1765.0,1765.0,,,0.0,1388-01-16
2009-04-06,1,0,1,0,1000,0,1000,0,1768000,0,1768000,0,1768.0,1768.0,,,0.0,1388-01-17
2009-04-07,1,0,2,0,3394,0,3394,0,6003986,0,6003986,0,1769.0,1769.0,,,0.0,1388-01-18
2009-04-08,1,0,1,0,4594,0,4594,0,8135974,0,8135974,0,1771.0,1771.0,,,0.0,1388-01-19
2009-04-11,1,0,2,0,7000,0,7000,0,12418000,0,12418000,0,1774.0,1774.0,,,0.0,1388-01-22
2009-04-12,2,5,2,1,35267,13000,38267,10000,62704726,23114000,68038726,17780000,1778.0,1778.0,1778.0,1778.0,-3000.0,1388-01-23
2009-04-13,3,0,6,0,20049,0,20049,0,36248592,0,36248592,0,1808.0,1808.0,,,0.0,1388-01-24
2009-04-14,8,0,5,1,82729,0,72729,10000,150649509,0,132439509,18210000,1821.0,1821.0,,1821.0,10000.0,1388-01-25
2009-04-15,30,0,39,2,994463,0,954463,40000,1861304035,0,1786344035,74960000,1871.6674577133588,1871.5697046402008,,1874.0,40000.0,1388-01-26
2009-04-18,6,0,8,2,83403,0,57764,25639,160800984,0,111368992,49431992,1928.0,1928.0,,1928.0,25639.0,1388-01-29
2009-04-19,7,0,2,2,42213,0,18000,24213,83792805,0,35730000,48062805,1985.0,1985.0,,1985.0,24213.0,1388-01-30
2009-04-22,43,2,48,3,678732,76000,624732,130000,1523017745,167908000,1396773593,294152152,2243.916221719324,2235.7964583213284,2209.315789473684,2262.7088615384614,54000.0,1388-02-02
2009-04-25,19,1,45,2,501718,122128,559545,64301,1093389306,265901168,1218988274,140302200,2179.2905696028447,2178.5348345530742,2177.233459976418,2181.9598451034976,-57827.0,1388-02-05
2009-04-26,13,1,29,0,181844,20000,201844,0,398933384,44313060,443246444,0,2193.8220892633244,2195.9852361229464,2215.653,,-20000.0,1388-02-06
