date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2012-12-19,34,1,477,14,3188706,6741744,9229014,701436,3188986000,6741744000,9229294000,701436000,1000.0878099141156,1000.0303391023136,1000.0,1000.0,-6040308.0,1391-09-29
2012-12-22,16,1,872,21,329746,7772107,7901064,200789,329879686,7772107000,7901197686,200789000,1000.4054211423338,1000.0169199996355,1000.0,1000.0,-7571318.0,1391-10-02
2012-12-23,8,1,1080,19,161020,18766408,18567428,360000,161040000,18766408000,18567448000,360000000,1000.1242081728976,1000.0010771551129,1000.0,1000.0,-18406408.0,1391-10-03
2012-12-24,6,1,1098,22,51010,9855070,9704415,201665,51021010,9855070000,9704426010,201665000,1000.2158400313664,1000.0011345351576,1000.0,1000.0,-9653405.0,1391-10-04
2012-12-25,9,1,899,17,422000,16505320,16601418,325902,422402000,16505320000,16601820000,325902000,1000.9526066350712,1000.0242147990008,1000.0,1000.0,-16179418.0,1391-10-05
2012-12-26,5,1,892,14,127240,15220699,15083939,264000,127341940,15220699000,15084040940,264000000,1000.80116315624,1000.006758181666,1000.0,1000.0,-14956699.0,1391-10-06
2012-12-29,8,1,759,20,151200,14170960,13922160,400000,151200000,14170960000,13922160000,400000000,1000.0,1000.0,1000.0,1000.0,-13770960.0,1391-10-09
2012-12-30,8,1,637,0,47243,5787984,5835227,0,46178350,5787984000,5834162350,0,977.4643862582816,999.8175478006254,1000.0,,-5787984.0,1391-10-10
2012-12-31,4,1,672,0,19961,6030539,6050500,0,19970450,6030539000,6050509450,0,1000.4734231751916,1000.0015618543922,1000.0,,-6030539.0,1391-10-11
2013-01-01,10,1,647,0,66465,5793793,5860258,0,63660470,5793793000,5857453470,0,957.804408335214,999.5214323328428,1000.0,,-5793793.0,1391-10-12
2013-01-02,8,1,611,5,93000,5566534,5612648,46886,90380000,5566534000,5610021114,46892886,971.8279569892474,999.53197029281,1000.0,1000.1468668685748,-5519648.0,1391-10-13
2013-01-06,7,1,528,3,81433,4843251,4894684,30000,77461850,4843251000,4890712850,30000000,951.2341434062358,999.1886810261908,1000.0,1000.0,-4813251.0,1391-10-17
2013-01-07,5,1,524,4,120751,4813603,4874354,60000,114713450,4813603000,4869816450,58500000,950.0,999.0690971562592,1000.0,975.0,-4753603.0,1391-10-18
2013-01-08,6,2,498,4,48200,4651128,4659328,40000,45795000,4650628000,4656423000,40000000,950.103734439834,999.3765195324304,999.892499195894,1000.0,-4611128.0,1391-10-19
2013-01-09,8,1,477,4,122185,4350751,4432936,40000,116275750,4350751000,4427026750,40000000,951.6368621352866,998.6669669943352,1000.0,1000.0,-4310751.0,1391-10-20
2013-01-13,18,1,401,4,196451,3750555,3907006,40000,186727700,3750555000,3897282700,40000000,950.5052150409008,997.511316849782,1000.0,1000.0,-3710555.0,1391-10-24
2013-01-14,7,1,69,2,100010,638940,668950,70000,94909490,638940000,666909490,66940000,949.0,996.9496823379924,1000.0,956.2857142857144,-568940.0,1391-10-25
2013-01-15,1,1,7,0,10000,55000,65000,0,9440000,51920000,61360000,0,944.0,944.0,944.0,,-55000.0,1391-10-26
2013-01-19,15,1,75,1,381200,559932,931132,10000,341936400,554892612,886919012,9910000,897.0,952.5169492617588,991.0,991.0,-549932.0,1391-10-30
2013-01-20,7,1,553,5,260000,4824464,5024464,60000,243630000,4824464000,5009094000,59000000,937.0384615384615,996.94096723551,1000.0,983.3333333333334,-4764464.0,1391-11-01
