date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2017-11-29,13,0,0,1,200000,0,0,200000,610000000,0,0,610000000,3050.0,,,3050.0,200000.0,1396-09-08
2017-12-02,1,0,1,0,253,0,253,0,771650,0,771650,0,3050.0,3050.0,,,0.0,1396-09-11
2017-12-04,1,0,1,0,5000,0,5000,0,15255000,0,15255000,0,3051.0,3051.0,,,0.0,1396-09-13
2017-12-09,3,0,5,0,26000,0,26000,0,79321000,0,79321000,0,3050.8076923076924,3050.8076923076924,,,0.0,1396-09-18
2017-12-11,2,0,1,0,12580,0,12580,0,38381580,0,38381580,0,3051.0,3051.0,,,0.0,1396-09-20
2017-12-16,0,1,2,0,0,20000,20000,0,0,55980000,55980000,0,,2799.0,2799.0,,-20000.0,1396-09-25
2017-12-20,1,0,1,0,27500,0,27500,0,55027500,0,55027500,0,2001.0,2001.0,,,0.0,1396-09-29
2018-01-01,10,0,6,0,102880,0,102880,0,209742880,0,209742880,0,2038.7138413685848,2038.7138413685848,,,0.0,1396-10-11
2018-01-03,1,0,3,0,20000,0,20000,0,43900000,0,43900000,0,2195.0,2195.0,,,0.0,1396-10-13
2018-01-06,2,0,3,0,14439,0,14439,0,31693605,0,31693605,0,2195.0,2195.0,,,0.0,1396-10-16
2018-01-08,4,0,2,0,51900,0,51900,0,115262500,0,115262500,0,2220.8574181117533,2220.8574181117533,,,0.0,1396-10-18
2018-01-10,5,0,3,0,58600,0,58600,0,130150600,0,130150600,0,2221.0,2221.0,,,0.0,1396-10-20
2018-01-13,3,0,1,0,9500,0,9500,0,21099500,0,21099500,0,2221.0,2221.0,,,0.0,1396-10-23
