date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-07-07,134,1,24,1,12573006,1000000,12573006,1000000,8801104200,700000000,8801104200,700000000,700.0,700.0,700.0,700.0,0.0,1397-04-16
2018-07-11,78,0,131,0,7424612,0,7424612,0,5008680880,0,5008680880,0,674.6050675779421,674.6050675779421,,,0.0,1397-04-20
2018-07-14,235,0,250,3,21705332,0,17584132,4121200,14261046773,0,11586387973,2674658800,657.0296539578386,658.9115671447416,,649.0,4121200.0,1397-04-23
2018-07-16,240,0,249,2,21368397,0,19368397,2000000,14690923362,0,13310923362,1380000000,687.507039578121,687.2496139974826,,690.0,2000000.0,1397-04-25
2018-07-18,111,0,59,0,6982997,0,6982997,0,4470649195,0,4470649195,0,640.2192633048533,640.2192633048533,,,0.0,1397-04-27
2018-07-21,115,0,162,0,11366805,0,11366805,0,7250297397,0,7250297397,0,637.848313312316,637.848313312316,,,0.0,1397-04-30
2018-07-23,129,0,28,0,6342747,0,6342747,0,3803114784,0,3803114784,0,599.6005806317042,599.6005806317042,,,0.0,1397-05-01
2018-07-25,339,0,210,3,24565762,0,22434660,2131102,13633997910,0,12451236300,1182761610,555.0,555.0,,555.0,2131102.0,1397-05-03
2018-07-28,215,0,43,0,17639581,0,17639581,0,9077224436,0,9077224436,0,514.59410719563,514.59410719563,,,0.0,1397-05-06
2018-07-30,159,0,76,4,14152845,0,10264580,3888265,7136139810,0,5219242010,1916897800,504.2194562294719,508.4710733415298,,492.9956677335521,3888265.0,1397-05-08
2018-08-01,189,0,126,1,19379947,0,18967947,412000,10044914460,0,9836914460,208000000,518.3148571046144,518.6072303976808,,504.8543689320388,412000.0,1397-05-10
2018-08-04,212,0,236,4,27425783,0,26075783,1350000,13738430219,0,13062080219,676350000,500.9311937967277,500.9276315499328,,501.0,1350000.0,1397-05-13
2018-08-06,211,0,174,2,24671885,0,23271651,1400234,12152902820,0,11452785820,700117000,492.58104194308623,492.1346500082869,,500.0,1400234.0,1397-05-15
