date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-16,1,0,1,0,1000,0,1000,0,1712000,0,1712000,0,1712.0,1712.0,,,0.0,1387-09-26
2008-12-30,1,0,2,0,10,0,10,0,17150,0,17150,0,1715.0,1715.0,,,0.0,1387-10-10
2009-01-18,1,0,1,0,355,0,355,0,608825,0,608825,0,1715.0,1715.0,,,0.0,1387-10-29
2009-01-21,2,0,1,0,6554,0,6554,0,11253218,0,11253218,0,1717.0,1717.0,,,0.0,1387-11-02
2009-01-25,0,1,1,0,0,577,577,0,0,995902,995902,0,,1726.0,1726.0,,-577.0,1387-11-06
2009-02-02,2,0,0,1,1800,0,0,1800,2946600,0,0,2946600,1637.0,,,1637.0,1800.0,1387-11-14
2009-02-03,1,0,0,1,950,0,0,950,1550400,0,0,1550400,1632.0,,,1632.0,950.0,1387-11-15
2009-02-08,3,0,2,2,34950,0,12140,22810,57006081,0,19780710,37225371,1631.075278969957,1629.3830313014828,,1631.9759316089437,22810.0,1387-11-20
2009-05-26,1,0,2,0,1154,0,1154,0,1788700,0,1788700,0,1550.0,1550.0,,,0.0,1388-03-05
2009-06-03,1,0,1,0,1458,0,1458,0,2259900,0,2259900,0,1550.0,1550.0,,,0.0,1388-03-13
2009-06-09,1,0,1,0,2200,0,2200,0,3511200,0,3511200,0,1596.0,1596.0,,,0.0,1388-03-19
2009-06-14,1,0,1,0,896,0,896,0,1435392,0,1435392,0,1602.0,1602.0,,,0.0,1388-03-24
2009-06-21,2,0,2,0,1459,0,1459,0,2340236,0,2340236,0,1604.0,1604.0,,,0.0,1388-03-31
2009-06-22,2,0,1,0,1457,0,1457,0,2342856,0,2342856,0,1608.0,1608.0,,,0.0,1388-04-01
2009-07-11,4,1,5,1,11347,17327,28097,577,17099562,25990500,42224562,865500,1506.967656649335,1502.8138947218565,1500.0,1500.0,-16750.0,1388-04-20
2009-07-26,0,1,2,0,0,270,270,0,0,417960,417960,0,,1548.0,1548.0,,-270.0,1388-05-04
